,BBOX,Depth
0,"[0, 0, 16, 16]",0
1,"[0, 0, 8, 16]",1
2,"[0, 0, 8, 8]",2
3,"[0, 0, 4, 8]",3
4,"[0, 0, 4, 4]",4
5,"[0, 0, 2, 4]",5
6,"[0, 0, 2, 2]",6
7,"[0, 1, 2, 3]",6
8,"[0, 2, 2, 4]",6
9,"[1, 0, 3, 4]",5
10,"[1, 0, 3, 2]",6
11,"[1, 1, 3, 3]",6
12,"[1, 2, 3, 4]",6
13,"[2, 0, 4, 4]",5
14,"[2, 0, 4, 2]",6
15,"[2, 1, 4, 3]",6
16,"[2, 2, 4, 4]",6
17,"[0, 2, 4, 6]",4
18,"[0, 2, 2, 6]",5
19,"[0, 2, 2, 4]",6
20,"[0, 3, 2, 5]",6
21,"[0, 4, 2, 6]",6
22,"[1, 2, 3, 6]",5
23,"[1, 2, 3, 4]",6
24,"[1, 3, 3, 5]",6
25,"[1, 4, 3, 6]",6
26,"[2, 2, 4, 6]",5
27,"[2, 2, 4, 4]",6
28,"[2, 3, 4, 5]",6
29,"[2, 4, 4, 6]",6
30,"[0, 4, 4, 8]",4
31,"[0, 4, 2, 8]",5
32,"[0, 4, 2, 6]",6
33,"[0, 5, 2, 7]",6
34,"[0, 6, 2, 8]",6
35,"[1, 4, 3, 8]",5
36,"[1, 4, 3, 6]",6
37,"[1, 5, 3, 7]",6
38,"[1, 6, 3, 8]",6
39,"[2, 4, 4, 8]",5
40,"[2, 4, 4, 6]",6
41,"[2, 5, 4, 7]",6
42,"[2, 6, 4, 8]",6
43,"[2, 0, 6, 8]",3
44,"[2, 0, 6, 4]",4
45,"[2, 0, 4, 4]",5
46,"[2, 0, 4, 2]",6
47,"[2, 1, 4, 3]",6
48,"[2, 2, 4, 4]",6
49,"[3, 0, 5, 4]",5
50,"[3, 0, 5, 2]",6
51,"[3, 1, 5, 3]",6
52,"[3, 2, 5, 4]",6
53,"[4, 0, 6, 4]",5
54,"[4, 0, 6, 2]",6
55,"[4, 1, 6, 3]",6
56,"[4, 2, 6, 4]",6
57,"[2, 2, 6, 6]",4
58,"[2, 2, 4, 6]",5
59,"[2, 2, 4, 4]",6
60,"[2, 3, 4, 5]",6
61,"[2, 4, 4, 6]",6
62,"[3, 2, 5, 6]",5
63,"[3, 2, 5, 4]",6
64,"[3, 3, 5, 5]",6
65,"[3, 4, 5, 6]",6
66,"[4, 2, 6, 6]",5
67,"[4, 2, 6, 4]",6
68,"[4, 3, 6, 5]",6
69,"[4, 4, 6, 6]",6
70,"[2, 4, 6, 8]",4
71,"[2, 4, 4, 8]",5
72,"[2, 4, 4, 6]",6
73,"[2, 5, 4, 7]",6
74,"[2, 6, 4, 8]",6
75,"[3, 4, 5, 8]",5
76,"[3, 4, 5, 6]",6
77,"[3, 5, 5, 7]",6
78,"[3, 6, 5, 8]",6
79,"[4, 4, 6, 8]",5
80,"[4, 4, 6, 6]",6
81,"[4, 5, 6, 7]",6
82,"[4, 6, 6, 8]",6
83,"[4, 0, 8, 8]",3
84,"[4, 0, 8, 4]",4
85,"[4, 0, 6, 4]",5
86,"[4, 0, 6, 2]",6
87,"[4, 1, 6, 3]",6
88,"[4, 2, 6, 4]",6
89,"[5, 0, 7, 4]",5
90,"[5, 0, 7, 2]",6
91,"[5, 1, 7, 3]",6
92,"[5, 2, 7, 4]",6
93,"[6, 0, 8, 4]",5
94,"[6, 0, 8, 2]",6
95,"[6, 1, 8, 3]",6
96,"[6, 2, 8, 4]",6
97,"[4, 2, 8, 6]",4
98,"[4, 2, 6, 6]",5
99,"[4, 2, 6, 4]",6
100,"[4, 3, 6, 5]",6
101,"[4, 4, 6, 6]",6
102,"[5, 2, 7, 6]",5
103,"[5, 2, 7, 4]",6
104,"[5, 3, 7, 5]",6
105,"[5, 4, 7, 6]",6
106,"[6, 2, 8, 6]",5
107,"[6, 2, 8, 4]",6
108,"[6, 3, 8, 5]",6
109,"[6, 4, 8, 6]",6
110,"[4, 4, 8, 8]",4
