SRC_random Query: Small,Depth,BBoxes,Data Size
"[12, 13, 13, 14]",6,"[12, 13, 14, 15]",4
"[11, 6, 12, 7]",6,"[10, 5, 12, 7]",4
"[9, 3, 10, 4]",6,"[9, 2, 11, 4]",4
"[10, 6, 11, 7]",6,"[10, 5, 12, 7]",4
"[12, 0, 13, 1]",6,"[11, 0, 13, 2]",4
"[7, 7, 8, 8]",6,"[6, 6, 8, 8]",4
"[3, 9, 4, 10]",6,"[3, 8, 5, 10]",4
"[2, 12, 3, 13]",6,"[2, 11, 4, 13]",4
"[1, 8, 2, 9]",6,"[0, 7, 2, 9]",4
"[2, 12, 3, 13]",6,"[2, 12, 4, 14]",4
"[15, 11, 16, 12]",6,"[14, 10, 16, 12]",4
"[7, 0, 8, 1]",6,"[6, 0, 8, 2]",4
"[13, 1, 14, 2]",6,"[12, 0, 14, 2]",4
"[3, 6, 4, 7]",6,"[2, 6, 4, 8]",4
"[0, 6, 1, 7]",6,"[0, 5, 2, 7]",4
"[13, 3, 14, 4]",6,"[12, 2, 14, 4]",4
"[13, 5, 14, 6]",6,"[12, 4, 14, 6]",4
"[8, 11, 9, 12]",6,"[8, 10, 10, 12]",4
"[10, 8, 11, 9]",6,"[10, 8, 12, 10]",4
"[9, 11, 10, 12]",6,"[9, 10, 11, 12]",4
"[10, 1, 11, 2]",6,"[10, 1, 12, 3]",4
"[11, 4, 12, 5]",6,"[10, 4, 12, 6]",4
"[10, 5, 11, 6]",6,"[10, 4, 12, 6]",4
"[12, 13, 13, 14]",6,"[12, 12, 14, 14]",4
"[14, 15, 15, 16]",6,"[14, 14, 16, 16]",4
"[1, 13, 2, 14]",6,"[1, 12, 3, 14]",4
"[10, 0, 11, 1]",6,"[9, 0, 11, 2]",4
"[6, 9, 7, 10]",6,"[6, 8, 8, 10]",4
"[0, 8, 1, 9]",6,"[0, 7, 2, 9]",4
"[4, 8, 5, 9]",6,"[4, 8, 6, 10]",4
"[11, 1, 12, 2]",6,"[10, 0, 12, 2]",4
"[12, 9, 13, 10]",6,"[12, 9, 14, 11]",4
"[11, 2, 12, 3]",6,"[10, 2, 12, 4]",4
"[9, 11, 10, 12]",6,"[9, 10, 11, 12]",4
"[1, 9, 2, 10]",6,"[1, 9, 3, 11]",4
"[13, 3, 14, 4]",6,"[13, 2, 15, 4]",4
"[15, 3, 16, 4]",6,"[14, 2, 16, 4]",4
"[5, 12, 6, 13]",6,"[4, 11, 6, 13]",4
"[12, 0, 13, 1]",6,"[12, 0, 14, 2]",4
"[13, 2, 14, 3]",6,"[13, 1, 15, 3]",4
"[11, 3, 12, 4]",6,"[10, 2, 12, 4]",4
"[12, 8, 13, 9]",6,"[11, 7, 13, 9]",4
"[14, 12, 15, 13]",6,"[13, 12, 15, 14]",4
"[13, 15, 14, 16]",6,"[12, 14, 14, 16]",4
"[10, 10, 11, 11]",6,"[9, 10, 11, 12]",4
"[9, 15, 10, 16]",6,"[8, 14, 10, 16]",4
"[1, 9, 2, 10]",6,"[0, 9, 2, 11]",4
"[11, 12, 12, 13]",6,"[10, 12, 12, 14]",4
"[13, 15, 14, 16]",6,"[12, 14, 14, 16]",4
"[8, 10, 9, 11]",6,"[8, 10, 10, 12]",4
"[12, 1, 13, 2]",6,"[12, 0, 14, 2]",4
"[1, 15, 2, 16]",6,"[0, 14, 2, 16]",4
"[13, 1, 14, 2]",6,"[12, 1, 14, 3]",4
"[4, 0, 5, 1]",6,"[4, 0, 6, 2]",4
"[12, 15, 13, 16]",6,"[12, 14, 14, 16]",4
"[4, 12, 5, 13]",6,"[4, 12, 6, 14]",4
"[11, 6, 12, 7]",6,"[10, 6, 12, 8]",4
"[8, 0, 9, 1]",6,"[8, 0, 10, 2]",4
"[4, 13, 5, 14]",6,"[4, 12, 6, 14]",4
"[13, 4, 14, 5]",6,"[12, 4, 14, 6]",4
"[10, 8, 11, 9]",6,"[10, 8, 12, 10]",4
"[11, 11, 12, 12]",6,"[10, 10, 12, 12]",4
"[6, 0, 7, 1]",6,"[6, 0, 8, 2]",4
"[7, 4, 8, 5]",6,"[6, 4, 8, 6]",4
"[4, 0, 5, 1]",6,"[4, 0, 6, 2]",4
"[10, 5, 11, 6]",6,"[10, 4, 12, 6]",4
"[4, 7, 5, 8]",6,"[4, 6, 6, 8]",4
"[13, 1, 14, 2]",6,"[12, 0, 14, 2]",4
"[13, 9, 14, 10]",6,"[13, 8, 15, 10]",4
"[7, 14, 8, 15]",6,"[6, 14, 8, 16]",4
"[10, 14, 11, 15]",6,"[9, 13, 11, 15]",4
"[3, 8, 4, 9]",6,"[2, 8, 4, 10]",4
"[13, 5, 14, 6]",6,"[13, 5, 15, 7]",4
"[2, 15, 3, 16]",6,"[2, 14, 4, 16]",4
"[6, 9, 7, 10]",6,"[6, 8, 8, 10]",4
"[15, 7, 16, 8]",6,"[14, 6, 16, 8]",4
"[0, 8, 1, 9]",6,"[0, 8, 2, 10]",4
"[9, 6, 10, 7]",6,"[8, 6, 10, 8]",4
"[3, 7, 4, 8]",6,"[3, 6, 5, 8]",4
"[6, 3, 7, 4]",6,"[6, 3, 8, 5]",4
"[4, 5, 5, 6]",6,"[4, 4, 6, 6]",4
"[9, 11, 10, 12]",6,"[9, 11, 11, 13]",4
"[15, 1, 16, 2]",6,"[14, 0, 16, 2]",4
"[0, 11, 1, 12]",6,"[0, 10, 2, 12]",4
"[0, 11, 1, 12]",6,"[0, 10, 2, 12]",4
