SRC Query,Depth,BBoxes,Data Size
"[[(12, 13), [13, 14]]]",4,"[[12, 16], [12, 16]]",16
"[[(1, 2), [8, 9]]]",0,"[(0, 16), (0, 16)]",256
"[[(15, 16), [12, 13]]]",1,"[[8, 16], (0, 16)]",128
"[[(9, 10), [15, 16]]]",0,"[(0, 16), (0, 16)]",256
"[[(11, 12), [6, 7]]]",1,"[[8, 16], (0, 16)]",128
"[[(4, 5), [9, 10]]]",0,"[(0, 16), (0, 16)]",256
"[[(4, 5), [3, 4]]]",0,"[(0, 16), (0, 16)]",256
"[[(8, 9), [4, 5]]]",1,"[[8, 16], (0, 16)]",128
"[[(9, 10), [3, 4]]]",1,"[[8, 16], (0, 16)]",128
"[[(2, 3), [10, 11]]]",0,"[(0, 16), (0, 16)]",256
