,DAG,KD
0,4,1
1,4,1
2,4,0
3,4,1
4,4,0
5,4,1
6,4,0
7,4,1
8,4,1
9,4,0
10,4,1
11,4,2
12,4,0
13,4,2
14,4,1
15,4,0
16,4,1
17,4,1
18,4,0
19,4,1
20,4,0
21,4,0
22,4,1
23,4,1
24,4,0
25,4,1
26,4,0
27,4,1
28,4,0
29,4,1
30,4,0
31,4,3
32,4,1
33,4,1
34,4,0
35,4,0
36,4,1
37,4,0
38,4,0
39,4,1
40,4,0
41,4,0
42,4,1
43,4,0
44,4,0
45,4,0
46,4,0
47,4,0
48,4,0
49,4,1
50,4,1
51,4,3
52,4,2
53,4,0
54,4,0
55,4,1
56,4,0
57,4,0
58,4,0
59,4,1
60,4,0
61,4,1
62,4,0
63,4,0
64,4,1
65,4,0
66,4,1
67,4,0
68,4,2
69,4,0
70,4,2
71,4,0
72,4,1
73,4,1
74,4,2
75,4,1
76,4,1
77,4,0
78,4,2
79,4,2
80,4,0
81,4,0
82,4,0
83,4,2
84,4,1
85,4,0
86,4,0
87,4,0
88,4,1
89,4,0
90,4,0
91,4,0
92,4,0
93,4,1
94,4,1
95,4,0
96,4,1
97,4,2
98,4,2
99,4,0
