BRC Query: Medium,Points,# Of Points
"[13, 6, 16, 9]","[(13, 6), (13, 7), (14, 6), (14, 7), (15, 6), (15, 7), (13, 8), (13, 9), (14, 8), (14, 9), (15, 8), (15, 9)]",12
"[12, 6, 15, 9]","[(12, 6), (12, 7), (13, 6), (13, 7), (14, 6), (14, 7), (15, 6), (15, 7), (12, 8), (12, 9), (13, 8), (13, 9), (14, 8), (14, 9), (15, 8), (15, 9)]",16
"[0, 4, 3, 7]","[(0, 4), (0, 5), (1, 4), (1, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 4), (2, 5), (3, 4), (3, 5), (2, 6), (2, 7), (3, 6), (3, 7)]",16
"[8, 7, 11, 10]","[(8, 7), (9, 7), (10, 7), (11, 7), (8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (9, 10), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (11, 10)]",16
"[6, 12, 9, 15]","[(6, 12), (6, 13), (7, 12), (7, 13), (6, 14), (6, 15), (7, 14), (7, 15), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (8, 15), (9, 14), (9, 15)]",16
"[13, 4, 16, 7]","[(13, 4), (13, 5), (13, 6), (13, 7), (14, 4), (14, 5), (15, 4), (15, 5), (14, 6), (14, 7), (15, 6), (15, 7)]",12
"[7, 5, 10, 8]","[(7, 5), (7, 6), (7, 7), (7, 8), (8, 5), (9, 5), (8, 6), (8, 7), (9, 6), (9, 7), (10, 5), (10, 6), (10, 7), (8, 8), (9, 8), (10, 8)]",16
"[9, 3, 12, 6]","[(9, 3), (10, 3), (11, 3), (9, 4), (9, 5), (9, 6), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (11, 6), (12, 3), (12, 4), (12, 5), (12, 6)]",16
"[8, 2, 11, 5]","[(8, 2), (8, 3), (9, 2), (9, 3), (10, 2), (10, 3), (11, 2), (11, 3), (8, 4), (8, 5), (9, 4), (9, 5), (10, 4), (10, 5), (11, 4), (11, 5)]",16
"[4, 2, 7, 5]","[(4, 2), (4, 3), (5, 2), (5, 3), (6, 2), (6, 3), (7, 2), (7, 3), (4, 4), (4, 5), (5, 4), (5, 5), (6, 4), (6, 5), (7, 4), (7, 5)]",16
"[12, 1, 15, 4]","[(12, 1), (13, 1), (12, 2), (12, 3), (13, 2), (13, 3), (14, 1), (15, 1), (14, 2), (14, 3), (15, 2), (15, 3), (12, 4), (13, 4), (14, 4), (15, 4)]",16
"[9, 12, 12, 15]","[(9, 12), (9, 13), (9, 14), (9, 15), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (10, 15), (11, 14), (11, 15), (12, 12), (12, 13), (12, 14), (12, 15)]",16
"[4, 8, 7, 11]","[(4, 8), (4, 9), (5, 8), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 8), (6, 9), (7, 8), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11)]",16
"[11, 12, 14, 15]","[(11, 12), (11, 13), (11, 14), (11, 15), (12, 12), (12, 13), (13, 12), (13, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 12), (14, 13), (14, 14), (14, 15)]",16
"[9, 2, 12, 5]","[(9, 2), (9, 3), (10, 2), (10, 3), (11, 2), (11, 3), (9, 4), (9, 5), (10, 4), (10, 5), (11, 4), (11, 5), (12, 2), (12, 3), (12, 4), (12, 5)]",16
"[4, 1, 7, 4]","[(4, 1), (5, 1), (4, 2), (4, 3), (5, 2), (5, 3), (6, 1), (7, 1), (6, 2), (6, 3), (7, 2), (7, 3), (4, 4), (5, 4), (6, 4), (7, 4)]",16
"[11, 1, 14, 4]","[(11, 1), (11, 2), (11, 3), (11, 4), (12, 1), (13, 1), (12, 2), (12, 3), (13, 2), (13, 3), (14, 1), (14, 2), (14, 3), (12, 4), (13, 4), (14, 4)]",16
"[13, 10, 16, 13]","[(13, 10), (13, 11), (14, 10), (14, 11), (15, 10), (15, 11), (13, 12), (13, 13), (14, 12), (14, 13), (15, 12), (15, 13)]",12
"[5, 7, 8, 10]","[(5, 7), (6, 7), (7, 7), (5, 8), (5, 9), (5, 10), (6, 8), (6, 9), (7, 8), (7, 9), (6, 10), (7, 10), (8, 7), (8, 8), (8, 9), (8, 10)]",16
"[8, 1, 11, 4]","[(8, 1), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (10, 1), (11, 1), (10, 2), (10, 3), (11, 2), (11, 3), (8, 4), (9, 4), (10, 4), (11, 4)]",16
