BRC Query,Num Of Points
"[[(6, 10), [12, 16]]]",20
"[[(6, 10), [0, 4]]]",25
"[[(4, 8), [8, 12]]]",25
"[[(7, 11), [6, 10]]]",25
"[[(12, 16), [4, 8]]]",20
"[[(7, 11), [5, 9]]]",25
"[[(9, 13), [3, 7]]]",25
"[[(8, 12), [2, 6]]]",25
"[[(4, 8), [2, 6]]]",25
"[[(12, 16), [1, 5]]]",20
"[[(9, 13), [12, 16]]]",20
"[[(4, 8), [8, 12]]]",25
"[[(11, 15), [12, 16]]]",20
"[[(9, 13), [2, 6]]]",25
"[[(4, 8), [1, 5]]]",25
"[[(11, 15), [1, 5]]]",25
"[[(10, 14), [5, 9]]]",25
"[[(7, 11), [8, 12]]]",25
"[[(1, 5), [5, 9]]]",25
"[[(6, 10), [5, 9]]]",25
"[[(9, 13), [10, 14]]]",25
"[[(3, 7), [8, 12]]]",25
"[[(7, 11), [7, 11]]]",25
"[[(8, 12), [4, 8]]]",25
"[[(0, 4), [12, 16]]]",20
"[[(8, 12), [0, 4]]]",25
"[[(1, 5), [11, 15]]]",25
"[[(6, 10), [11, 15]]]",25
"[[(12, 16), [10, 14]]]",20
"[[(10, 14), [0, 4]]]",25
"[[(9, 13), [7, 11]]]",25
"[[(5, 9), [3, 7]]]",25
"[[(11, 15), [5, 9]]]",25
"[[(11, 15), [1, 5]]]",25
"[[(3, 7), [9, 13]]]",25
"[[(3, 7), [3, 7]]]",25
"[[(12, 16), [2, 6]]]",20
"[[(12, 16), [8, 12]]]",20
"[[(7, 11), [1, 5]]]",25
"[[(1, 5), [5, 9]]]",25
"[[(8, 12), [7, 11]]]",25
"[[(1, 5), [4, 8]]]",25
"[[(8, 12), [4, 8]]]",25
"[[(11, 15), [1, 5]]]",25
"[[(8, 12), [5, 9]]]",25
"[[(8, 12), [3, 7]]]",25
"[[(12, 16), [9, 13]]]",20
"[[(8, 12), [9, 13]]]",25
"[[(4, 8), [7, 11]]]",25
"[[(1, 5), [9, 13]]]",25
"[[(12, 16), [6, 10]]]",20
"[[(5, 9), [9, 13]]]",25
"[[(3, 7), [4, 8]]]",25
"[[(2, 6), [3, 7]]]",25
"[[(2, 6), [0, 4]]]",25
"[[(9, 13), [10, 14]]]",25
"[[(4, 8), [7, 11]]]",25
"[[(1, 5), [1, 5]]]",25
"[[(10, 14), [12, 16]]]",20
"[[(2, 6), [2, 6]]]",25
"[[(0, 4), [1, 5]]]",25
"[[(11, 15), [8, 12]]]",25
"[[(10, 14), [6, 10]]]",25
"[[(11, 15), [8, 12]]]",25
