SRC_random Query: Large,Depth,BBoxes,Data Size
"[12, 13, 21, 22]",2,"[8, 8, 24, 24]",256
"[1, 8, 10, 17]",2,"[0, 8, 16, 24]",256
"[16, 15, 25, 24]",2,"[16, 8, 32, 24]",256
"[12, 9, 21, 18]",2,"[8, 8, 24, 24]",256
"[15, 11, 24, 20]",2,"[8, 8, 24, 24]",256
"[18, 6, 27, 15]",2,"[16, 0, 32, 16]",256
"[16, 4, 25, 13]",2,"[16, 0, 32, 16]",256
"[9, 4, 18, 13]",2,"[8, 0, 24, 16]",256
"[3, 19, 12, 28]",2,"[0, 16, 16, 32]",256
"[8, 17, 17, 26]",2,"[8, 16, 24, 32]",256
"[22, 19, 31, 28]",2,"[16, 16, 32, 32]",256
"[4, 9, 13, 18]",2,"[0, 8, 16, 24]",256
"[3, 23, 12, 32]",2,"[0, 16, 16, 32]",256
"[2, 21, 11, 30]",2,"[0, 16, 16, 32]",256
"[10, 15, 19, 24]",2,"[8, 8, 24, 24]",256
"[17, 3, 26, 12]",2,"[16, 0, 32, 16]",256
"[11, 13, 20, 22]",2,"[8, 8, 24, 24]",256
"[10, 19, 19, 28]",2,"[8, 16, 24, 32]",256
"[20, 6, 29, 15]",2,"[16, 0, 32, 16]",256
"[17, 15, 26, 24]",2,"[16, 8, 32, 24]",256
"[14, 16, 23, 25]",2,"[8, 16, 24, 32]",256
"[8, 1, 17, 10]",2,"[8, 0, 24, 16]",256
"[17, 0, 26, 9]",2,"[16, 0, 32, 16]",256
"[2, 23, 11, 32]",2,"[0, 16, 16, 32]",256
"[12, 22, 21, 31]",2,"[8, 16, 24, 32]",256
"[21, 20, 30, 29]",2,"[16, 16, 32, 32]",256
"[0, 19, 9, 28]",2,"[0, 16, 16, 32]",256
"[15, 10, 24, 19]",2,"[8, 8, 24, 24]",256
"[7, 23, 16, 32]",2,"[0, 16, 16, 32]",256
"[10, 22, 19, 31]",2,"[8, 16, 24, 32]",256
"[2, 6, 11, 15]",2,"[0, 0, 16, 16]",256
"[18, 7, 27, 16]",2,"[16, 0, 32, 16]",256
"[7, 4, 16, 13]",2,"[0, 0, 16, 16]",256
"[17, 14, 26, 23]",2,"[16, 8, 32, 24]",256
"[2, 2, 11, 11]",2,"[0, 0, 16, 16]",256
"[10, 16, 19, 25]",2,"[8, 16, 24, 32]",256
"[15, 3, 24, 12]",2,"[8, 0, 24, 16]",256
"[9, 17, 18, 26]",2,"[8, 16, 24, 32]",256
"[9, 22, 18, 31]",2,"[8, 16, 24, 32]",256
"[3, 17, 12, 26]",2,"[0, 16, 16, 32]",256
"[10, 17, 19, 26]",2,"[8, 16, 24, 32]",256
"[6, 19, 15, 28]",2,"[0, 16, 16, 32]",256
"[17, 18, 26, 27]",2,"[16, 16, 32, 32]",256
"[9, 14, 18, 23]",2,"[8, 8, 24, 24]",256
"[2, 19, 11, 28]",2,"[0, 16, 16, 32]",256
"[12, 10, 21, 19]",2,"[8, 8, 24, 24]",256
"[18, 7, 27, 16]",2,"[16, 0, 32, 16]",256
"[9, 5, 18, 14]",2,"[8, 0, 24, 16]",256
"[6, 5, 15, 14]",2,"[0, 0, 16, 16]",256
"[1, 19, 10, 28]",2,"[0, 16, 16, 32]",256
