SRC_middle Query: Medium,Depth,# Hops,BBoxes,Data Size
"[12, 24, 18, 30]",4,4,"[12, 24, 20, 32]",64
"[13, 1, 19, 7]",4,4,"[12, 0, 20, 8]",64
"[8, 16, 14, 22]",4,4,"[8, 16, 16, 24]",64
"[15, 12, 21, 18]",2,2,"[8, 8, 24, 24]",256
"[25, 26, 31, 32]",4,4,"[24, 24, 32, 32]",64
"[9, 15, 15, 21]",3,3,"[8, 8, 16, 24]",128
"[11, 18, 17, 24]",2,2,"[8, 8, 24, 24]",256
"[6, 16, 12, 22]",4,4,"[4, 16, 12, 24]",64
"[4, 9, 10, 15]",4,4,"[4, 8, 12, 16]",64
"[4, 24, 10, 30]",4,4,"[4, 24, 12, 32]",64
"[3, 19, 9, 25]",2,2,"[0, 16, 16, 32]",256
"[25, 8, 31, 14]",4,4,"[24, 8, 32, 16]",64
"[17, 22, 23, 28]",4,4,"[16, 20, 24, 28]",64
"[25, 19, 31, 25]",3,3,"[24, 16, 32, 32]",128
"[4, 9, 10, 15]",4,4,"[4, 8, 12, 16]",64
"[3, 23, 9, 29]",2,2,"[0, 16, 16, 32]",256
"[2, 21, 8, 27]",4,4,"[0, 20, 8, 28]",64
"[10, 15, 16, 21]",3,3,"[8, 8, 16, 24]",128
"[17, 3, 23, 9]",3,3,"[16, 0, 24, 16]",128
"[11, 13, 17, 19]",2,2,"[8, 8, 24, 24]",256
"[10, 19, 16, 25]",3,3,"[8, 16, 16, 32]",128
"[20, 6, 26, 12]",4,4,"[20, 4, 28, 12]",64
"[17, 15, 23, 21]",3,3,"[16, 8, 24, 24]",128
"[14, 16, 20, 22]",4,4,"[12, 16, 20, 24]",64
"[8, 1, 14, 7]",4,4,"[8, 0, 16, 8]",64
"[25, 17, 31, 23]",4,4,"[24, 16, 32, 24]",64
"[0, 2, 6, 8]",4,4,"[0, 0, 8, 8]",64
"[23, 26, 29, 32]",2,2,"[16, 16, 32, 32]",256
"[12, 22, 18, 28]",4,4,"[12, 20, 20, 28]",64
"[26, 25, 32, 31]",4,4,"[24, 24, 32, 32]",64
"[21, 20, 27, 26]",4,4,"[20, 20, 28, 28]",64
"[0, 19, 6, 25]",3,3,"[0, 16, 8, 32]",128
"[15, 26, 21, 32]",2,2,"[8, 16, 24, 32]",256
"[10, 7, 16, 13]",3,3,"[8, 0, 16, 16]",128
"[23, 10, 29, 16]",2,2,"[16, 8, 32, 24]",256
