SRC Query,Depth,BBoxes,Data Size
"[36.703268, -120.430543, 39.42701, -117.545821]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[33.517366, -123.342158, 36.241108, -120.457436]",2,"[32.541302, -124.389343, 37.009014, -117.970444]",5262
"[39.077749, -121.510497, 41.801491, -118.625775]",3,"[38.773846, -121.790939, 42.017231, -114.294258]",2631
"[33.838834, -122.589436, 36.562576, -119.704714]",2,"[32.541302, -124.389343, 37.009014, -117.970444]",5262
"[34.351123, -119.017395, 37.074865, -116.132673]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[35.768979, -118.888757, 38.492721, -116.004035]",2,"[34.735394, -120.2724, 39.192303, -114.294258]",5262
"[39.021541, -121.128872, 41.745283, -118.24415]",3,"[38.773846, -121.790939, 42.017231, -114.294258]",2631
"[34.671375, -121.770223, 37.395117, -118.885501]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[36.978659, -123.920874, 39.702401, -121.036152]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[36.130061, -117.298577, 38.853803, -114.413855]",2,"[34.735394, -120.2724, 39.192303, -114.294258]",5262
"[34.669647, -120.969911, 37.393389, -118.085189]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[37.358269, -122.023562, 40.082011, -119.13884]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[33.889625, -117.967277, 36.613367, -115.082555]",2,"[32.541302, -117.970444, 37.009014, -114.294258]",5262
"[35.176139, -122.917478, 37.899881, -120.032756]",1,"[34.735394, -124.389343, 39.192303, -114.294258]",10524
"[35.9653, -117.480198, 38.689042, -114.595476]",2,"[34.735394, -120.2724, 39.192303, -114.294258]",5262
"[32.946952, -118.655664, 35.670694, -115.770942]",1,"[32.541302, -124.389343, 37.009014, -114.294258]",10524
"[37.195516, -122.461439, 39.919258, -119.576717]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[34.8446, -124.317428, 37.568342, -121.432706]",4,"[34.735394, -124.389343, 37.859238, -121.246536]",1315
"[36.523715, -122.531714, 39.247457, -119.646992]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[35.231009, -122.107332, 37.954751, -119.22261]",1,"[34.735394, -124.389343, 39.192303, -114.294258]",10524
"[38.127317, -118.905687, 40.851059, -116.020965]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[37.933151, -118.680532, 40.656893, -115.79581]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[38.14716, -124.097242, 40.870902, -121.21252]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[37.28445, -117.490385, 40.008192, -114.605663]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[38.886032, -121.579818, 41.609774, -118.695096]",3,"[38.773846, -121.790939, 42.017231, -114.294258]",2631
"[35.526312, -122.04377, 38.250054, -119.159048]",1,"[34.735394, -124.389343, 39.192303, -114.294258]",10524
"[35.414032, -122.573037, 38.137774, -119.688315]",1,"[34.735394, -124.389343, 39.192303, -114.294258]",10524
