,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,82,8,82,inf,0.0
1,0,82,8,82,inf,0.0
2,13,329,6,316,25.307692307692307,3.951367781155015
3,26,41,9,15,1.5769230769230769,63.41463414634146
4,28,658,5,630,23.5,4.25531914893617
5,19,82,8,63,4.315789473684211,23.170731707317074
6,0,5,12,5,inf,0.0
7,0,329,6,329,inf,0.0
8,13,41,9,28,3.1538461538461537,31.70731707317073
9,0,82,8,82,inf,0.0
10,0,21,10,21,inf,0.0
11,0,82,8,82,inf,0.0
12,0,1,15,1,inf,0.0
13,0,83,8,83,inf,0.0
14,7,11,11,4,1.5714285714285714,63.63636363636363
15,0,21,10,21,inf,0.0
16,0,82,8,82,inf,0.0
17,0,329,6,329,inf,0.0
18,16,165,7,149,10.3125,9.696969696969697
19,37,329,6,292,8.891891891891891,11.246200607902736
20,0,1,14,1,inf,0.0
21,0,21,10,21,inf,0.0
22,2,82,8,80,41.0,2.4390243902439024
23,0,21,10,21,inf,0.0
24,0,83,8,83,inf,0.0
25,15,165,7,150,11.0,9.090909090909092
26,26,164,7,138,6.3076923076923075,15.853658536585366
27,10,20,10,10,2.0,50.0
28,0,1,14,1,inf,0.0
29,34,164,7,130,4.823529411764706,20.73170731707317
30,0,1,15,1,inf,0.0
31,0,329,6,329,inf,0.0
32,18,41,9,23,2.2777777777777777,43.90243902439025
33,0,82,8,82,inf,0.0
34,0,21,10,21,inf,0.0
35,7,41,9,34,5.857142857142857,17.073170731707318
36,13,82,8,69,6.3076923076923075,15.853658536585366
37,17,164,7,147,9.647058823529411,10.365853658536585
38,8,41,9,33,5.125,19.51219512195122
39,0,1,14,1,inf,0.0
40,19,82,8,63,4.315789473684211,23.170731707317074
41,0,1,14,1,inf,0.0
42,10,83,8,73,8.3,12.048192771084338
43,15,41,9,26,2.7333333333333334,36.58536585365854
44,19,82,8,63,4.315789473684211,23.170731707317074
45,7,42,9,35,6.0,16.666666666666664
46,13,165,7,152,12.692307692307692,7.878787878787878
47,16,21,10,5,1.3125,76.19047619047619
48,0,21,10,21,inf,0.0
49,26,82,8,56,3.1538461538461537,31.70731707317073
50,7,82,8,75,11.714285714285714,8.536585365853659
51,48,164,7,116,3.4166666666666665,29.268292682926827
52,0,165,7,165,inf,0.0
53,0,82,8,82,inf,0.0
54,0,10,11,10,inf,0.0
55,28,82,8,54,2.9285714285714284,34.146341463414636
56,54,164,7,110,3.037037037037037,32.926829268292686
57,8,83,8,75,10.375,9.63855421686747
58,0,1,14,1,inf,0.0
59,0,1,14,1,inf,0.0
60,0,21,10,21,inf,0.0
61,23,82,8,59,3.5652173913043477,28.04878048780488
62,0,82,8,82,inf,0.0
63,0,1,15,1,inf,0.0
64,0,329,6,329,inf,0.0
65,0,6,12,6,inf,0.0
66,0,82,8,82,inf,0.0
67,0,42,9,42,inf,0.0
68,0,1,15,1,inf,0.0
69,0,21,10,21,inf,0.0
70,9,41,9,32,4.555555555555555,21.951219512195124
71,11,329,6,318,29.90909090909091,3.343465045592705
72,0,5,12,5,inf,0.0
73,0,164,7,164,inf,0.0
74,0,1,14,1,inf,0.0
75,18,41,9,23,2.2777777777777777,43.90243902439025
76,0,1,15,1,inf,0.0
77,0,21,10,21,inf,0.0
78,0,6,12,6,inf,0.0
79,0,41,9,41,inf,0.0
80,16,82,8,66,5.125,19.51219512195122
81,35,164,7,129,4.685714285714286,21.341463414634145
82,93,329,6,236,3.5376344086021505,28.267477203647417
83,0,1,14,1,inf,0.0
84,0,21,10,21,inf,0.0
85,0,21,10,21,inf,0.0
86,0,1,14,1,inf,0.0
87,23,329,6,306,14.304347826086957,6.990881458966565
88,0,21,10,21,inf,0.0
89,0,164,7,164,inf,0.0
90,0,82,8,82,inf,0.0
91,11,165,7,154,15.0,6.666666666666667
92,0,21,10,21,inf,0.0
93,23,41,9,18,1.7826086956521738,56.09756097560976
94,0,5,12,5,inf,0.0
95,0,10,11,10,inf,0.0
96,0,41,9,41,inf,0.0
97,17,329,6,312,19.352941176470587,5.167173252279635
98,0,83,8,83,inf,0.0
99,20,165,7,145,8.25,12.121212121212121
100,43,329,6,286,7.651162790697675,13.069908814589665
101,38,164,7,126,4.315789473684211,23.170731707317074
102,31,82,8,51,2.6451612903225805,37.80487804878049
103,0,2,14,2,inf,0.0
104,0,329,6,329,inf,0.0
105,0,2,14,2,inf,0.0
106,0,1,14,1,inf,0.0
107,38,329,6,291,8.657894736842104,11.55015197568389
108,11,41,9,30,3.727272727272727,26.82926829268293
109,0,82,8,82,inf,0.0
110,17,83,8,66,4.882352941176471,20.481927710843372
111,0,10,11,10,inf,0.0
