,DAG,KD
0,7,3
1,5,2
2,4,6
3,7,3
4,7,2
5,7,6
6,7,4
7,7,6
8,7,6
9,7,0
10,7,3
11,5,4
12,7,6
13,7,5
14,7,4
15,3,5
16,4,6
17,7,6
18,7,6
19,7,6
20,7,4
21,7,0
22,7,4
23,3,6
24,5,2
25,7,1
26,7,0
27,5,2
28,7,4
29,4,6
30,7,3
31,7,6
32,7,2
33,7,2
34,7,6
35,4,6
36,7,4
37,7,4
38,2,4
39,7,6
40,7,6
41,7,4
42,7,6
43,5,2
44,7,1
45,7,1
46,7,5
47,7,2
48,7,5
49,7,3
50,7,0
51,7,3
52,7,6
53,7,4
54,7,2
55,7,6
56,7,6
57,7,2
58,5,4
59,7,4
60,7,2
61,5,2
62,7,6
63,7,6
64,7,4
65,7,5
66,7,6
67,7,6
68,7,1
69,4,6
70,7,3
71,7,2
72,7,6
73,7,3
74,7,6
75,5,2
76,7,6
77,7,4
78,7,3
79,7,4
80,7,2
81,7,5
82,7,6
83,7,1
84,1,6
85,7,3
86,7,5
87,7,4
88,7,4
89,7,3
90,7,5
91,7,6
92,7,6
93,7,6
94,5,4
95,7,6
96,7,4
97,7,6
98,4,6
99,0,4
100,7,5
101,7,6
102,7,5
103,7,6
104,7,0
105,7,4
106,7,5
107,7,6
108,7,5
109,7,0
110,3,6
111,7,6
112,7,4
113,7,2
114,7,5
115,7,3
116,7,4
117,5,0
118,7,6
119,7,2
120,3,5
121,7,6
122,7,3
123,7,1
124,7,4
125,7,5
126,7,3
127,7,6
128,7,2
129,7,1
130,7,2
131,7,4
132,7,5
133,7,4
134,7,3
135,7,5
136,7,4
137,7,2
138,7,6
139,7,5
140,7,5
141,7,2
142,7,4
143,7,0
144,5,2
145,7,1
146,7,1
147,7,6
148,5,4
149,7,6
150,5,0
151,5,4
152,7,2
153,7,6
154,7,1
155,5,4
156,7,1
157,7,4
158,7,2
159,5,0
160,7,6
161,7,4
162,7,3
163,7,4
164,7,3
165,5,4
166,7,6
167,7,0
168,7,4
169,7,5
170,7,6
171,7,1
172,7,6
173,7,5
174,7,4
175,7,3
176,7,5
177,7,3
178,5,2
179,1,5
180,7,6
181,7,2
182,7,1
183,7,1
184,7,3
185,7,5
186,7,3
187,7,3
188,7,2
189,5,0
190,7,4
191,7,3
192,7,6
193,7,5
194,5,6
195,7,4
196,7,5
197,7,4
198,7,2
199,7,6
200,7,6
201,7,3
202,7,4
203,7,5
204,7,4
205,7,5
206,7,3
207,7,6
208,7,2
209,5,0
210,7,6
211,7,4
212,7,3
213,7,1
214,7,4
215,7,1
216,7,1
217,7,4
218,7,1
219,7,3
220,7,4
221,7,4
222,7,6
223,7,5
224,5,4
225,7,5
226,7,6
227,4,6
228,7,6
229,7,4
230,5,4
231,4,6
232,7,6
233,7,3
234,5,2
235,7,4
236,7,6
237,7,5
238,5,2
239,7,3
240,7,6
241,7,4
242,7,1
243,7,0
244,5,6
245,7,4
246,7,6
247,7,5
248,7,4
249,7,4
250,7,4
251,7,6
252,7,4
253,7,4
254,7,3
255,7,3
256,5,6
257,7,5
258,7,6
259,7,6
260,7,2
261,5,0
262,5,4
263,7,6
264,7,6
265,7,5
266,5,4
267,7,4
268,7,6
269,7,4
270,7,2
271,7,6
272,7,5
273,7,5
274,7,5
275,7,3
276,2,6
277,7,0
278,7,2
279,5,4
280,7,6
281,7,5
282,7,4
283,5,4
284,7,5
285,7,3
286,7,4
287,3,5
288,7,4
289,5,4
290,7,6
291,7,1
292,7,0
293,5,4
294,5,4
295,7,6
296,7,6
297,7,6
298,5,2
299,5,0
300,7,3
301,7,4
302,7,4
303,7,5
304,7,4
305,5,4
306,7,0
307,7,4
308,7,6
309,7,6
310,7,6
311,7,1
312,7,5
313,7,3
314,4,6
315,7,4
316,7,6
317,7,5
318,4,6
319,5,4
320,5,2
321,7,6
322,5,2
323,7,6
324,7,6
325,7,0
326,5,4
327,5,4
328,7,3
329,5,4
330,7,6
331,7,4
332,7,4
333,7,2
334,7,5
335,7,3
336,7,5
337,7,3
338,7,0
339,5,6
340,7,3
341,0,6
342,7,5
343,7,5
344,7,6
345,7,6
346,7,3
347,7,5
348,5,0
349,5,2
350,7,2
351,7,6
352,7,6
353,7,6
354,7,4
355,5,6
356,5,4
357,7,6
358,5,0
359,7,6
360,7,0
361,7,4
362,7,6
363,7,6
364,7,4
365,7,5
366,7,6
367,5,2
368,7,3
369,7,6
370,7,6
371,7,2
372,7,1
373,7,6
374,7,0
375,7,3
376,1,6
377,7,4
378,7,2
379,7,4
380,7,4
381,7,2
382,7,5
383,7,3
384,7,6
385,5,6
386,5,4
387,7,4
388,4,6
389,7,5
390,7,2
391,7,1
392,7,3
393,7,4
394,7,3
395,5,4
396,7,0
397,7,4
398,7,0
399,7,6
400,7,5
401,7,1
402,7,3
403,7,3
404,7,6
405,7,1
406,7,3
407,7,1
408,7,1
409,7,6
410,7,4
411,7,6
412,7,4
413,7,6
414,7,6
415,2,4
416,7,5
417,4,6
418,7,5
419,7,6
420,7,6
421,5,0
422,5,0
423,7,4
424,7,1
425,7,3
426,7,5
427,7,4
428,7,1
429,7,5
430,7,6
431,5,2
432,7,5
433,1,6
434,7,6
435,5,6
436,7,6
437,5,4
438,7,3
439,7,4
440,7,6
441,7,3
442,7,5
443,7,6
444,7,4
445,7,5
446,7,4
447,7,3
448,7,3
449,7,2
450,7,3
451,7,4
452,7,6
453,7,2
454,5,4
455,5,4
456,5,2
457,7,6
458,7,6
459,7,0
460,7,6
461,5,2
462,7,4
463,5,0
464,7,2
465,7,3
466,7,5
467,7,2
468,7,4
469,7,4
470,7,4
471,7,1
472,7,6
473,7,3
474,7,5
475,7,4
476,7,2
477,7,2
478,7,5
479,5,4
480,7,3
481,7,6
482,7,3
483,7,0
484,7,2
485,7,3
486,7,4
487,7,6
488,5,4
489,7,4
490,5,2
491,7,6
492,2,4
493,7,1
494,7,6
495,5,4
496,7,2
497,7,4
498,7,4
499,3,6
500,7,2
501,7,1
502,5,2
503,7,4
504,7,5
505,7,2
506,7,1
507,7,5
508,7,6
509,7,2
510,7,1
511,7,5
512,7,6
513,7,0
514,5,0
515,7,0
516,7,6
517,4,6
518,7,0
519,5,4
520,7,1
521,7,6
522,7,2
523,7,4
524,7,2
525,7,1
526,7,6
527,7,2
528,5,4
529,7,0
530,7,4
531,7,1
532,7,6
533,7,5
534,7,5
535,7,2
536,3,6
537,7,4
538,7,6
539,7,0
540,7,3
541,7,4
542,7,6
543,7,4
544,7,6
545,7,0
546,7,5
547,7,4
548,7,3
549,7,6
550,7,4
551,7,6
552,7,4
553,7,0
554,4,6
555,5,0
556,7,5
557,7,1
558,7,2
559,7,4
560,7,1
561,7,4
562,5,4
563,7,6
564,7,6
565,7,6
566,7,1
567,7,4
568,7,2
569,7,4
570,7,3
571,7,5
572,7,5
573,7,6
574,7,2
575,7,5
576,7,5
577,7,6
578,7,6
579,7,5
580,0,2
581,7,2
582,5,0
583,7,6
584,7,5
585,7,2
586,7,6
587,3,6
588,7,6
589,7,6
590,7,0
591,2,6
592,7,4
593,7,4
594,7,6
595,4,6
596,7,5
597,7,3
598,7,6
599,5,2
600,7,5
601,7,6
602,7,4
603,7,6
604,7,1
605,7,6
606,5,0
607,7,6
608,7,3
609,4,6
610,7,2
611,7,2
612,7,2
613,7,5
614,7,6
615,7,6
616,7,1
617,7,5
618,7,2
619,7,4
620,7,6
