BRC Query,Data Size
"[4.147434, 11.279078, 5.107434, 12.239078]",1
"[2.564579, 0.186986, 3.524579, 1.146986]",1
"[10.241348, 13.734465, 11.201348, 14.694465]",1
"[7.969412, 11.126242, 8.929412, 12.086242]",1
"[3.492599, 0.724122, 4.452599, 1.684122]",1
"[6.332788, 10.173479, 7.292788, 11.133479]",1
"[13.017542, 8.625567, 13.977542, 9.585567]",0
"[10.0731, 4.153642, 11.0331, 5.113642]",1
"[10.381424, 10.238102, 11.341424, 11.198102]",1
"[6.51042, 10.234997, 7.47042, 11.194997]",1
"[3.753029, 2.961151, 4.713029, 3.921151]",1
"[13.391232, 11.775215, 14.351232, 12.735215]",1
"[10.107805, 8.059813, 11.067805, 9.019813]",1
"[0.389114, 8.848424, 1.349114, 9.808424]",1
"[8.753974, 9.8801, 9.713974, 10.8401]",1
"[14.024705, 5.184943, 14.984705, 6.144943]",0
"[10.277572, 13.796176, 11.237572, 14.756176]",1
"[6.388225, 4.109123, 7.348225, 5.069123]",1
"[4.185217, 3.748296, 5.145217, 4.708296]",1
"[7.586232, 7.913802, 8.546232, 8.873802]",1
"[12.745193, 12.957822, 13.705193, 13.917822]",1
"[7.199222, 1.914001, 8.159222, 2.874001]",1
"[9.365299, 9.10805, 10.325299, 10.06805]",1
"[13.994946, 3.973052, 14.954946, 4.933052]",1
"[10.759786, 3.691598, 11.719786, 4.651598]",1
"[4.963272, 6.559271, 5.923272, 7.519271]",1
"[7.065464, 6.643651, 8.025464, 7.603651]",1
"[3.072865, 3.733208, 4.032865, 4.693208]",1
"[12.970796, 1.567632, 13.930796, 2.527632]",1
"[6.450962, 14.0353, 7.410962, 14.9953]",0
"[11.848418, 2.590235, 12.808418, 3.550235]",1
"[7.637861, 11.680214, 8.597861, 12.640214]",1
"[11.269735, 9.568724, 12.229735, 10.528724]",1
"[2.658682, 10.212463, 3.618682, 11.172463]",1
"[4.218636, 10.006473, 5.178636, 10.966473]",0
"[10.127188, 13.827667, 11.087188, 14.787667]",1
"[12.893711, 13.584198, 13.853711, 14.544198]",1
"[5.143286, 8.55709, 6.103286, 9.51709]",1
"[5.392715, 13.583073, 6.352715, 14.543073]",1
"[2.448731, 0.427626, 3.408731, 1.387626]",1
"[4.433995, 4.425647, 5.393995, 5.385647]",1
"[0.621076, 8.854954, 1.581076, 9.814954]",1
"[12.232295, 9.517029, 13.192295, 10.477029]",1
"[2.75902, 3.894199, 3.71902, 4.854199]",1
"[11.293851, 7.00818, 12.253851, 7.96818]",0
"[5.617088, 6.594628, 6.577088, 7.554628]",1
"[4.20188, 5.231841, 5.16188, 6.191841]",1
"[2.920128, 6.099401, 3.880128, 7.059401]",1
"[6.361717, 1.194157, 7.321717, 2.154157]",1
"[12.873308, 2.916258, 13.833308, 3.876258]",1
"[7.262018, 13.869485, 8.222018, 14.829485]",1
"[13.082989, 10.767835, 14.042989, 11.727835]",1
"[0.296028, 11.503988, 1.256028, 12.463988]",1
"[13.225496, 9.077764, 14.185496, 10.037764]",1
"[3.149622, 0.903057, 4.109622, 1.863057]",1
"[4.075069, 11.811434, 5.035069, 12.771434]",1
"[12.399606, 1.889791, 13.359606, 2.849791]",1
"[10.777381, 12.687761, 11.737381, 13.647761]",1
"[4.935353, 3.534311, 5.895353, 4.494311]",1
"[13.229061, 10.185275, 14.189061, 11.145275]",1
"[10.801202, 1.304413, 11.761202, 2.264413]",1
"[11.116795, 3.602958, 12.076795, 4.562958]",1
"[11.918374, 9.638168, 12.878374, 10.598168]",1
"[5.861267, 5.547037, 6.821267, 6.507037]",1
"[4.678511, 1.523184, 5.638511, 2.483184]",1
"[7.505738, 0.750179, 8.465738, 1.710179]",1
"[12.257193, 5.656574, 13.217193, 6.616574]",1
"[1.578569, 4.40819, 2.538569, 5.36819]",1
"[12.934734, 6.955124, 13.894734, 7.915124]",1
"[6.220718, 13.756969, 7.180718, 14.716969]",1
"[0.329947, 3.096898, 1.289947, 4.056898]",1
"[2.716733, 3.048072, 3.676733, 4.008072]",1
"[9.899882, 4.340616, 10.859882, 5.300616]",1
"[7.711397, 10.706385, 8.671397, 11.666385]",1
"[12.382625, 2.195146, 13.342625, 3.155146]",1
"[11.186629, 0.056447, 12.146629, 1.016447]",1
"[4.034927, 1.811022, 4.994927, 2.771022]",0
"[9.145028, 9.54148, 10.105028, 10.50148]",1
"[11.858658, 10.93664, 12.818658, 11.89664]",1
"[5.274897, 9.442614, 6.234897, 10.402614]",1
"[11.014039, 6.221339, 11.974039, 7.181339]",0
"[0.266232, 0.618595, 1.226232, 1.578595]",1
"[6.162779, 6.220445, 7.122779, 7.180445]",1
"[10.58273, 6.817438, 11.54273, 7.777438]",1
"[13.784846, 0.25307, 14.744846, 1.21307]",1
"[0.662992, 10.71501, 1.622992, 11.67501]",1
"[11.812308, 8.888081, 12.772308, 9.848081]",1
"[12.565555, 13.419818, 13.525555, 14.379818]",1
"[5.499867, 5.702153, 6.459867, 6.662153]",1
"[7.652562, 10.619295, 8.612562, 11.579295]",1
"[5.889115, 1.430292, 6.849115, 2.390292]",1
"[12.3677, 8.429254, 13.3277, 9.389254]",1
"[10.323499, 1.539957, 11.283499, 2.499957]",1
"[0.47096, 8.167751, 1.43096, 9.127751]",1
"[13.337268, 12.080359, 14.297268, 13.040359]",1
"[0.345878, 1.626147, 1.305878, 2.586147]",1
"[12.702766, 1.92659, 13.662766, 2.88659]",1
"[3.503697, 8.210052, 4.463697, 9.170052]",1
"[5.617983, 13.59954, 6.577983, 14.55954]",1
"[1.095518, 13.915102, 2.055518, 14.875102]",1
"[1.910768, 8.578927, 2.870768, 9.538927]",1
"[3.556418, 12.3106, 4.516418, 13.2706]",1
"[10.084699, 8.747288, 11.044699, 9.707288]",1
"[1.571215, 12.114009, 2.531215, 13.074009]",1
"[7.427118, 1.01361, 8.387118, 1.97361]",0
"[8.718154, 13.12329, 9.678154, 14.08329]",1
"[12.352704, 8.671906, 13.312704, 9.631906]",1
"[8.314808, 11.985661, 9.274808, 12.945661]",1
"[12.131539, 8.983439, 13.091539, 9.943439]",1
"[6.831776, 5.373441, 7.791776, 6.333441]",1
"[13.583698, 7.624685, 14.543698, 8.584685]",1
"[11.535123, 11.93234, 12.495123, 12.89234]",1
"[5.347358, 13.038252, 6.307358, 13.998252]",0
"[11.380917, 10.828517, 12.340917, 11.788517]",1
"[10.430842, 5.034003, 11.390842, 5.994003]",0
"[8.70903, 3.050126, 9.66903, 4.010126]",1
"[5.448049, 6.152513, 6.408049, 7.112513]",1
"[7.105403, 12.324185, 8.065403, 13.284185]",1
"[0.295186, 12.385817, 1.255186, 13.345817]",1
"[3.454875, 5.497409, 4.414875, 6.457409]",1
"[13.792666, 5.022527, 14.752666, 5.982527]",0
"[6.482572, 12.239313, 7.442572, 13.199313]",1
"[7.64277, 10.905829, 8.60277, 11.865829]",1
"[3.160763, 6.923425, 4.120763, 7.883425]",1
"[5.188182, 10.276145, 6.148182, 11.236145]",1
"[0.350108, 9.048769, 1.310108, 10.008769]",1
"[2.382201, 10.847564, 3.342201, 11.807564]",1
"[10.139345, 9.796529, 11.099345, 10.756529]",1
"[3.175201, 2.421295, 4.135201, 3.381295]",1
"[4.383551, 6.914003, 5.343551, 7.874003]",1
"[11.413141, 6.315988, 12.373141, 7.275988]",1
"[13.149985, 12.941873, 14.109985, 13.901873]",1
"[0.333687, 8.782021, 1.293687, 9.742021]",1
"[13.008885, 9.165177, 13.968885, 10.125177]",0
"[9.720233, 3.470526, 10.680233, 4.430526]",1
"[12.104268, 4.7394, 13.064268, 5.6994]",1
"[8.818908, 1.24271, 9.778908, 2.20271]",1
"[10.791563, 6.172763, 11.751563, 7.132763]",1
"[9.563682, 5.846355, 10.523682, 6.806355]",1
"[11.56215, 8.506499, 12.52215, 9.466499]",1
"[0.215604, 9.207669, 1.175604, 10.167669]",1
"[11.039925, 8.691169, 11.999925, 9.651169]",0
"[1.001484, 10.284451, 1.961484, 11.244451]",0
"[6.950429, 10.314559, 7.910429, 11.274559]",1
"[3.481687, 7.542276, 4.441687, 8.502276]",1
"[8.414046, 7.397775, 9.374046, 8.357775]",1
"[11.928647, 7.003949, 12.888647, 7.963949]",0
"[13.942513, 13.84003, 14.902513, 14.80003]",1
"[4.761294, 4.383036, 5.721294, 5.343036]",1
"[3.782221, 12.104544, 4.742221, 13.064544]",1
"[7.311041, 7.922526, 8.271041, 8.882526]",1
"[12.664658, 7.819141, 13.624658, 8.779141]",1
"[10.985061, 6.059962, 11.945061, 7.019962]",1
"[7.67451, 2.074999, 8.63451, 3.034999]",1
"[4.535614, 7.480814, 5.495614, 8.440814]",1
"[0.929606, 3.97651, 1.889606, 4.93651]",1
"[10.769424, 6.811571, 11.729424, 7.771571]",1
"[0.70315, 6.49873, 1.66315, 7.45873]",1
"[3.040701, 11.264825, 4.000701, 12.224825]",1
"[6.948432, 0.30354, 7.908432, 1.26354]",1
"[7.855564, 4.343496, 8.815564, 5.303496]",1
"[0.90766, 1.459744, 1.86766, 2.419744]",1
"[9.929137, 2.685896, 10.889137, 3.645896]",1
"[1.341438, 5.625875, 2.301438, 6.585875]",1
"[3.889503, 11.071828, 4.849503, 12.031828]",1
"[12.703466, 11.884717, 13.663466, 12.844717]",1
"[4.336416, 3.509891, 5.296416, 4.469891]",1
"[6.946617, 13.069246, 7.906617, 14.029246]",1
"[5.037861, 1.321196, 5.997861, 2.281196]",0
"[10.069187, 9.194541, 11.029187, 10.154541]",1
"[1.895487, 10.411011, 2.855487, 11.371011]",1
"[9.214504, 6.884245, 10.174504, 7.844245]",1
"[12.120001, 1.66651, 13.080001, 2.62651]",1
"[6.280011, 1.253959, 7.240011, 2.213959]",1
"[9.431618, 2.050133, 10.391618, 3.010133]",1
"[13.077157, 2.839935, 14.037157, 3.799935]",1
"[12.199056, 8.685793, 13.159056, 9.645793]",1
"[1.8095, 10.685865, 2.7695, 11.645865]",1
"[11.3427, 4.014529, 12.3027, 4.974529]",0
"[13.874527, 1.440453, 14.834527, 2.400453]",1
"[8.316338, 11.839511, 9.276338, 12.799511]",1
"[11.297237, 1.849293, 12.257237, 2.809293]",1
"[1.565903, 6.846579, 2.525903, 7.806579]",1
"[2.95264, 6.621224, 3.91264, 7.581224]",1
"[12.846303, 2.751867, 13.806303, 3.711867]",1
"[12.491994, 0.601729, 13.451994, 1.561729]",1
"[3.828421, 3.08603, 4.788421, 4.04603]",1
"[1.139729, 11.205419, 2.099729, 12.165419]",1
"[10.929318, 9.099661, 11.889318, 10.059661]",1
"[7.298795, 12.284029, 8.258795, 13.244029]",1
"[8.725371, 5.149493, 9.685371, 6.109493]",1
"[13.625335, 11.261851, 14.585335, 12.221851]",1
"[7.828764, 5.97449, 8.788764, 6.93449]",1
"[1.965777, 13.163517, 2.925777, 14.123517]",1
"[13.542047, 12.007926, 14.502047, 12.967926]",0
"[12.649008, 1.16731, 13.609008, 2.12731]",1
"[1.602351, 13.148117, 2.562351, 14.108117]",1
"[8.978596, 6.045442, 9.938596, 7.005442]",1
"[3.015195, 10.627804, 3.975195, 11.587804]",0
"[5.611226, 6.43306, 6.571226, 7.39306]",1
"[3.685929, 6.465062, 4.645929, 7.425062]",1
"[8.219212, 3.283215, 9.179212, 4.243215]",1
"[5.134733, 4.913824, 6.094733, 5.873824]",1
"[3.797621, 8.943573, 4.757621, 9.903573]",1
"[12.640716, 6.118898, 13.600716, 7.078898]",1
"[9.992268, 5.26426, 10.952268, 6.22426]",1
"[13.324438, 10.964786, 14.284438, 11.924786]",1
"[3.882142, 2.288173, 4.842142, 3.248173]",1
"[10.891131, 4.97384, 11.851131, 5.93384]",1
"[6.802909, 8.161107, 7.762909, 9.121107]",1
"[1.581769, 0.037417, 2.541769, 0.997417]",0
"[8.910469, 9.19121, 9.870469, 10.15121]",1
"[10.1803, 3.47193, 11.1403, 4.43193]",1
"[12.315083, 6.728901, 13.275083, 7.688901]",1
"[8.860156, 2.402295, 9.820156, 3.362295]",1
"[11.460027, 6.551528, 12.420027, 7.511528]",1
"[12.199908, 7.039564, 13.159908, 7.999564]",0
"[9.499249, 4.831256, 10.459249, 5.791256]",1
"[1.539992, 6.529091, 2.499992, 7.489091]",1
"[0.54604, 11.382684, 1.50604, 12.342684]",1
"[1.320753, 5.941005, 2.280753, 6.901005]",1
"[4.604455, 12.705533, 5.564455, 13.665533]",1
"[9.651289, 6.366733, 10.611289, 7.326733]",1
"[9.604297, 1.422385, 10.564297, 2.382385]",1
"[13.325726, 4.24804, 14.285726, 5.20804]",1
"[10.413639, 0.935749, 11.373639, 1.895749]",1
"[7.925655, 11.670103, 8.885655, 12.630103]",1
"[11.669512, 13.753418, 12.629512, 14.713418]",1
"[10.161658, 12.17447, 11.121658, 13.13447]",1
"[5.401409, 13.185178, 6.361409, 14.145178]",1
"[5.054883, 7.59998, 6.014883, 8.55998]",1
"[6.009708, 13.76487, 6.969708, 14.72487]",0
"[0.368089, 8.496339, 1.328089, 9.456339]",1
"[5.884033, 3.277321, 6.844033, 4.237321]",1
"[3.376962, 3.97227, 4.336962, 4.93227]",1
"[5.458178, 5.93791, 6.418178, 6.89791]",1
"[6.314353, 0.190074, 7.274353, 1.150074]",1
"[4.482532, 5.498995, 5.442532, 6.458995]",1
"[3.154084, 8.117397, 4.114084, 9.077397]",1
"[9.077951, 3.003957, 10.037951, 3.963957]",0
"[3.664533, 11.932437, 4.624533, 12.892437]",1
"[0.991934, 9.736163, 1.951934, 10.696163]",1
"[6.237249, 7.213367, 7.197249, 8.173367]",1
"[7.071462, 3.451298, 8.031462, 4.411298]",1
"[13.868199, 11.981422, 14.828199, 12.941422]",1
"[1.041072, 1.998664, 2.001072, 2.958664]",1
"[0.302184, 4.030702, 1.262184, 4.990702]",0
"[9.771823, 1.19288, 10.731823, 2.15288]",1
"[12.805507, 9.344962, 13.765507, 10.304962]",1
"[9.140812, 1.352275, 10.100812, 2.312275]",1
"[13.380831, 0.69165, 14.340831, 1.65165]",1
"[3.844306, 9.895552, 4.804306, 10.855552]",1
"[13.333772, 5.953593, 14.293772, 6.913593]",1
"[13.070921, 13.960168, 14.030921, 14.920168]",1
"[9.858618, 2.544274, 10.818618, 3.504274]",1
"[0.346015, 11.487176, 1.306015, 12.447176]",1
"[13.835733, 5.576653, 14.795733, 6.536653]",1
"[1.608169, 5.496918, 2.568169, 6.456918]",1
"[7.511737, 2.049749, 8.471737, 3.009749]",1
"[4.484181, 8.286929, 5.444181, 9.246929]",1
"[10.640564, 3.431382, 11.600564, 4.391382]",1
"[7.332285, 12.068801, 8.292285, 13.028801]",1
"[9.360864, 0.307688, 10.320864, 1.267688]",1
"[7.784883, 1.842135, 8.744883, 2.802135]",1
"[12.29479, 2.432155, 13.25479, 3.392155]",1
"[10.389991, 13.143442, 11.349991, 14.103442]",1
"[8.698765, 11.570348, 9.658765, 12.530348]",1
"[0.531596, 5.418382, 1.491596, 6.378382]",1
"[2.474635, 2.351495, 3.434635, 3.311495]",1
"[8.727073, 0.861166, 9.687073, 1.821166]",1
"[10.69547, 8.76915, 11.65547, 9.72915]",1
"[4.128858, 8.233106, 5.088858, 9.193106]",1
"[8.357628, 12.938184, 9.317628, 13.898184]",1
"[4.003125, 13.111185, 4.963125, 14.071185]",0
"[6.068664, 1.443564, 7.028664, 2.403564]",1
"[6.207982, 3.48171, 7.167982, 4.44171]",1
"[4.462782, 14.005219, 5.422782, 14.965219]",0
"[6.968172, 5.973396, 7.928172, 6.933396]",1
"[3.210544, 4.681885, 4.170544, 5.641885]",1
"[12.523498, 0.03584, 13.483498, 0.99584]",0
"[12.005965, 3.941513, 12.965965, 4.901513]",0
"[1.847016, 5.114663, 2.807016, 6.074663]",1
"[4.592387, 5.596786, 5.552387, 6.556786]",1
"[1.423991, 3.67483, 2.383991, 4.63483]",1
"[1.592308, 5.103076, 2.552308, 6.063076]",1
"[2.219081, 3.450934, 3.179081, 4.410934]",1
"[4.750677, 9.943181, 5.710677, 10.903181]",1
"[13.863285, 5.153218, 14.823285, 6.113218]",1
"[4.664261, 8.587266, 5.624261, 9.547266]",1
"[12.514772, 7.71183, 13.474772, 8.67183]",1
"[8.457221, 0.221098, 9.417221, 1.181098]",1
"[6.322128, 7.151672, 7.282128, 8.111672]",1
"[7.332427, 13.182659, 8.292427, 14.142659]",1
"[12.730603, 4.108161, 13.690603, 5.068161]",1
"[12.51672, 8.072053, 13.47672, 9.032053]",1
"[0.492481, 6.400549, 1.452481, 7.360549]",1
"[10.411562, 0.349803, 11.371562, 1.309803]",1
"[4.379935, 12.101327, 5.339935, 13.061327]",1
"[10.685386, 7.529813, 11.645386, 8.489813]",1
"[6.574302, 7.723686, 7.534302, 8.683686]",1
"[2.025644, 10.908405, 2.985644, 11.868405]",0
"[13.056849, 8.519875, 14.016849, 9.479875]",1
"[5.186069, 10.322856, 6.146069, 11.282856]",1
"[9.548071, 12.874242, 10.508071, 13.834242]",1
"[4.658447, 8.633252, 5.618447, 9.593252]",1
"[9.247729, 4.474659, 10.207729, 5.434659]",1
"[6.97679, 8.596331, 7.93679, 9.556331]",1
"[5.098982, 4.894108, 6.058982, 5.854108]",1
"[6.295921, 6.356436, 7.255921, 7.316436]",1
"[10.297078, 11.696594, 11.257078, 12.656594]",1
"[12.002586, 12.11039, 12.962586, 13.07039]",0
"[9.919832, 6.837012, 10.879832, 7.797012]",1
"[9.595813, 0.677488, 10.555813, 1.637488]",1
"[9.8178, 2.900511, 10.7778, 3.860511]",1
"[10.423563, 13.532558, 11.383563, 14.492558]",1
"[13.017422, 1.38049, 13.977422, 2.34049]",0
"[12.499746, 5.949926, 13.459746, 6.909926]",1
"[4.324055, 12.962439, 5.284055, 13.922439]",1
"[5.776751, 13.76255, 6.736751, 14.72255]",1
"[9.114327, 8.43178, 10.074327, 9.39178]",1
"[11.071838, 0.397467, 12.031838, 1.357467]",1
"[1.974132, 11.558254, 2.934132, 12.518254]",1
"[10.708161, 4.350396, 11.668161, 5.310396]",1
"[9.750992, 8.040504, 10.710992, 9.000504]",1
"[6.411738, 11.692056, 7.371738, 12.652056]",1
"[7.157526, 11.137538, 8.117526, 12.097538]",1
"[13.071763, 7.748897, 14.031763, 8.708897]",1
"[1.377623, 4.340738, 2.337623, 5.300738]",1
"[4.072111, 11.042149, 5.032111, 12.002149]",1
"[1.088452, 8.083561, 2.048452, 9.043561]",1
"[9.871465, 4.181737, 10.831465, 5.141737]",1
"[12.84585, 2.194802, 13.80585, 3.154802]",1
"[1.421734, 1.008593, 2.381734, 1.968593]",0
"[11.089037, 13.033742, 12.049037, 13.993742]",0
"[0.291535, 8.507297, 1.251535, 9.467297]",1
"[0.572499, 11.46249, 1.532499, 12.42249]",1
"[4.163005, 9.247391, 5.123005, 10.207391]",1
"[10.003548, 3.08053, 10.963548, 4.04053]",0
"[7.408722, 1.525724, 8.368722, 2.485724]",1
"[13.641136, 9.509429, 14.601136, 10.469429]",1
"[13.364491, 3.345597, 14.324491, 4.305597]",1
"[2.02996, 13.891571, 2.98996, 14.851571]",0
"[1.646975, 12.543915, 2.606975, 13.503915]",1
"[1.596205, 4.770933, 2.556205, 5.730933]",1
"[6.334167, 7.658263, 7.294167, 8.618263]",1
"[7.831432, 10.245102, 8.791432, 11.205102]",1
"[4.21529, 3.214571, 5.17529, 4.174571]",1
"[11.842222, 8.754464, 12.802222, 9.714464]",1
"[7.048574, 0.22754, 8.008574, 1.18754]",1
"[10.851244, 11.631809, 11.811244, 12.591809]",1
"[3.37653, 5.134542, 4.33653, 6.094542]",1
"[5.920433, 8.212501, 6.880433, 9.172501]",1
"[9.514997, 3.730869, 10.474997, 4.690869]",1
"[2.471103, 0.040963, 3.431103, 1.000963]",1
"[12.627268, 5.670657, 13.587268, 6.630657]",1
"[13.955821, 9.87086, 14.915821, 10.83086]",1
"[13.189432, 12.30652, 14.149432, 13.26652]",1
"[10.178182, 3.914642, 11.138182, 4.874642]",1
"[7.126089, 12.25005, 8.086089, 13.21005]",1
"[9.694053, 1.835127, 10.654053, 2.795127]",1
"[7.214183, 8.993187, 8.174183, 9.953187]",1
"[12.675321, 10.122115, 13.635321, 11.082115]",1
"[2.010268, 5.682614, 2.970268, 6.642614]",0
"[0.115996, 8.434662, 1.075996, 9.394662]",1
"[9.140924, 10.198982, 10.100924, 11.158982]",1
"[3.660435, 9.140559, 4.620435, 10.100559]",1
"[2.495527, 9.847817, 3.455527, 10.807817]",1
"[10.891645, 12.271713, 11.851645, 13.231713]",1
"[8.934299, 10.688406, 9.894299, 11.648406]",1
