SRC Query,Depth,BBoxes,Data Size
"[6.681644, 5.951627, 10.841644, 10.111627]",2,"[4, 4, 11, 11]",64
"[1.566979, 1.574329, 5.726979, 5.734329]",2,"[0, 0, 8, 8]",64
"[10.493649, 4.328033, 14.653649, 8.488033]",2,"[8, 4, 15, 11]",64
"[2.083065, 2.705965, 6.243065, 6.865965]",2,"[0, 0, 8, 8]",64
"[2.905497, 8.076142, 7.065497, 12.236142]",2,"[0, 8, 8, 15]",64
"[5.18173, 8.269536, 9.34173, 12.429536]",2,"[4, 8, 11, 15]",64
"[10.403412, 4.901765, 14.563412, 9.061765]",2,"[8, 4, 15, 11]",64
"[3.419632, 3.937564, 7.579632, 8.097564]",1,"[0, 0, 8, 15]",128
"[7.123759, 0.704293, 11.283759, 4.864293]",0,"[0, 0, 15, 15]",256
"[5.761415, 10.660199, 9.921415, 14.820199]",2,"[4, 8, 11, 15]",64
"[3.416857, 5.140745, 7.576857, 9.300745]",2,"[0, 4, 8, 11]",64
"[7.733185, 3.556696, 11.893185, 7.716696]",0,"[0, 0, 15, 15]",256
"[2.164605, 9.654881, 6.324605, 13.814881]",2,"[0, 8, 8, 15]",64
"[4.229982, 2.212789, 8.389982, 6.372789]",2,"[4, 0, 11, 8]",64
"[5.496906, 10.387151, 9.656906, 14.547151]",2,"[4, 8, 11, 15]",64
"[0.651232, 8.619966, 4.811232, 12.779966]",2,"[0, 8, 8, 15]",64
"[7.471902, 2.898395, 11.631902, 7.058395]",0,"[0, 0, 15, 15]",256
"[3.697727, 0.108116, 7.857727, 4.268116]",2,"[0, 0, 8, 8]",64
"[6.393389, 2.792744, 10.553389, 6.952744]",2,"[4, 0, 11, 8]",64
"[4.318072, 3.430757, 8.478072, 7.590757]",2,"[4, 0, 11, 8]",64
"[8.96782, 8.244083, 13.12782, 12.404083]",2,"[8, 8, 15, 15]",64
"[8.656105, 8.582579, 12.816105, 12.742579]",2,"[8, 8, 15, 15]",64
"[8.999676, 0.439143, 13.159676, 4.599143]",2,"[8, 0, 15, 8]",64
"[7.614676, 10.371837, 11.774676, 14.531837]",0,"[0, 0, 15, 15]",256
"[10.185865, 4.223816, 14.345865, 8.383816]",2,"[8, 4, 15, 11]",64
"[4.792152, 3.526314, 8.952152, 7.686314]",2,"[4, 0, 11, 8]",64
"[4.611897, 2.730619, 8.771897, 6.890619]",2,"[4, 0, 11, 8]",64
"[0.685297, 7.179438, 4.845297, 11.339438]",1,"[0, 0, 8, 15]",128
"[6.000878, 6.840283, 10.160878, 11.000283]",1,"[4, 0, 11, 15]",128
"[4.550268, 0.014283, 8.710268, 4.174283]",2,"[4, 0, 11, 8]",64
"[8.376248, 4.850781, 12.536248, 9.010781]",2,"[8, 4, 15, 11]",64
"[9.69251, 8.233425, 13.85251, 12.393425]",2,"[8, 8, 15, 15]",64
"[1.939225, 1.955627, 6.099225, 6.115627]",2,"[0, 0, 8, 8]",64
"[5.855237, 6.144082, 10.015237, 10.304082]",2,"[4, 4, 11, 11]",64
"[6.419299, 6.955192, 10.579299, 11.115192]",1,"[4, 0, 11, 15]",128
"[6.945918, 4.047208, 11.105918, 8.207208]",0,"[0, 0, 15, 15]",256
"[9.575043, 10.408471, 13.735043, 14.568471]",2,"[8, 8, 15, 15]",64
"[7.077502, 3.029974, 11.237502, 7.189974]",0,"[0, 0, 15, 15]",256
"[8.932754, 4.668488, 13.092754, 8.828488]",2,"[8, 4, 15, 11]",64
"[7.927022, 1.426959, 12.087022, 5.586959]",0,"[0, 0, 15, 15]",256
"[4.827468, 6.500129, 8.987468, 10.660129]",2,"[4, 4, 11, 11]",64
"[9.52251, 7.391616, 13.68251, 11.551616]",1,"[8, 0, 15, 15]",128
"[4.577078, 4.629972, 8.737078, 8.789972]",2,"[4, 4, 11, 11]",64
"[6.491135, 3.073391, 10.651135, 7.233391]",2,"[4, 0, 11, 8]",64
"[5.134544, 6.874992, 9.294544, 11.034992]",1,"[4, 0, 11, 15]",128
"[0.432532, 3.267394, 4.592532, 7.427394]",2,"[0, 0, 8, 8]",64
"[8.799702, 0.275308, 12.959702, 4.435308]",2,"[8, 0, 15, 8]",64
