,DAG,KD
0,7,7
1,8,8
2,5,1
3,8,8
4,4,4
5,8,8
6,8,8
7,8,8
8,8,8
9,7,7
10,8,8
11,8,8
12,8,8
13,6,6
14,7,7
15,6,6
16,8,8
17,8,8
18,7,7
19,8,8
20,5,5
21,8,8
22,6,6
23,6,6
24,8,8
25,8,8
26,8,8
27,8,8
28,8,8
29,8,8
30,8,8
31,8,8
32,8,8
33,8,8
34,8,8
35,8,8
36,8,8
37,8,8
38,7,7
39,6,6
40,8,8
41,7,7
42,5,3
43,8,8
44,8,8
45,6,6
46,8,8
47,6,6
48,5,3
49,8,8
50,7,7
51,8,8
52,4,4
53,4,4
54,8,8
55,8,8
56,5,5
57,7,7
58,8,8
59,4,4
60,6,6
61,5,3
62,8,8
63,8,8
64,4,4
65,7,7
66,8,8
67,5,5
68,7,7
69,5,3
70,4,4
71,8,8
72,4,4
73,8,8
74,8,8
75,8,8
76,5,1
77,8,8
78,8,8
79,8,8
80,8,8
81,5,3
82,7,7
83,8,8
84,4,2
85,8,8
86,5,3
87,8,8
88,5,5
89,8,8
90,8,8
91,8,8
92,4,4
93,8,8
94,5,3
95,8,8
96,8,8
97,5,5
98,6,6
99,4,2
100,4,4
101,8,8
102,7,7
103,8,8
104,6,6
105,8,8
106,4,4
107,5,5
108,8,8
109,8,8
110,5,5
111,5,1
112,8,8
113,7,7
114,6,6
115,7,7
116,8,8
117,6,6
118,7,7
119,8,8
120,8,8
121,5,5
122,6,6
123,5,3
124,8,8
125,5,3
126,7,7
127,8,8
128,7,7
129,8,8
130,8,8
131,8,8
132,4,3
133,5,5
134,7,7
135,8,8
136,6,6
137,7,7
138,8,8
139,7,7
140,8,8
141,8,8
142,4,0
143,5,3
144,5,5
145,4,4
146,8,8
147,8,8
148,8,8
149,8,8
150,4,4
151,7,7
152,5,3
153,7,7
154,4,3
155,8,8
156,4,4
157,7,7
158,4,0
159,6,6
160,4,4
161,6,6
162,5,3
163,8,8
164,8,8
165,8,8
166,8,8
167,8,8
168,8,8
169,5,5
170,8,8
171,5,5
172,7,7
173,7,7
174,5,3
175,5,5
176,8,8
177,8,8
178,5,5
179,8,8
180,8,8
181,8,8
182,8,8
183,5,3
184,5,1
185,8,8
186,8,8
187,8,8
188,8,8
189,8,8
190,6,6
191,4,2
192,8,8
193,8,8
194,8,8
195,6,6
196,4,2
197,8,8
198,8,8
199,5,1
200,8,8
201,8,8
202,5,5
203,6,6
204,8,8
205,8,8
206,6,6
207,8,8
208,8,8
209,6,6
210,8,8
211,8,8
212,6,6
213,8,8
214,4,3
215,5,5
216,8,8
217,8,8
218,4,2
219,8,8
220,8,8
221,8,8
222,8,8
223,8,8
224,6,6
225,8,8
226,8,8
227,7,7
228,8,8
229,8,8
230,6,6
231,4,4
232,8,8
233,8,8
234,8,8
235,6,6
236,8,8
237,5,5
238,8,8
239,8,8
240,8,8
241,4,4
242,8,8
243,8,8
244,4,4
245,7,7
246,8,8
247,8,8
248,4,0
249,8,8
250,8,8
251,7,7
252,4,4
253,8,8
254,8,8
255,8,8
256,7,7
257,4,4
258,7,7
259,8,8
260,4,4
261,6,6
262,4,4
263,8,8
264,8,8
265,6,6
266,8,8
267,8,8
268,8,8
269,8,8
270,8,8
271,5,5
272,8,8
273,4,2
274,5,1
275,8,8
276,8,8
277,7,7
278,6,6
279,8,8
280,8,8
281,8,8
282,4,2
283,8,8
284,8,8
285,8,8
286,5,5
287,6,6
288,4,3
289,8,8
290,5,1
291,8,8
292,8,8
293,8,8
294,8,8
295,8,8
296,8,8
297,8,8
298,8,8
299,8,8
300,8,8
301,4,4
302,8,8
303,8,8
304,4,4
305,5,1
306,6,6
307,5,3
308,8,8
309,5,5
310,8,8
311,8,8
312,5,5
313,7,7
314,5,5
315,8,8
316,6,6
317,4,4
318,6,6
319,8,8
320,6,6
321,8,8
322,8,8
323,5,1
324,7,7
325,8,8
326,8,8
327,8,8
328,7,7
329,8,8
330,7,7
331,8,8
332,8,8
333,8,8
334,5,5
335,8,8
336,8,8
337,5,5
338,8,8
339,8,8
340,8,8
341,8,8
342,4,2
343,6,6
344,8,8
345,7,7
346,8,8
347,8,8
348,8,8
349,6,6
350,6,6
351,8,8
352,8,8
353,4,2
354,6,6
355,5,3
356,4,4
357,8,8
358,4,4
359,5,3
360,8,8
361,8,8
362,8,8
363,8,8
364,4,2
365,8,8
366,8,8
367,5,5
368,8,8
369,5,5
