,L2 Norm
0,-0.057013789605877996
1,-0.021500098383154503
2,-0.09330949580118619
3,-0.06649712385047969
4,-0.042938634537567195
5,-0.0346348099225111
6,-0.025815939603169497
7,-0.0178798674246586
8,-0.011371250574928
9,-0.013781640255480598
10,-0.007721722019270901
11,-0.0178192672557015
12,-0.009504779083741801
13,-0.0147224742972133
14,-0.0111170138770829
15,-0.0143131963810813
16,-0.012536826061109401
17,-0.0147635438679304
18,-0.012679294314827899
19,-0.0032139663708359006
20,-0.00038759871779139865
21,-0.006346424056824699
22,-0.005341994246677601
23,-0.005653422206862801
24,-0.012033556230146599
25,-0.0122013004184076
26,-0.0162497007470054
27,-0.0163727879177719
28,-0.016192007105508402
29,-0.0174735392200378
30,-0.0194436264112497
31,-0.0159922991645872
32,-0.0125135892147942
33,-0.0136255468046966
34,-0.013326859742292498
35,-0.012201730364743401
36,-0.009534802542306698
37,-0.0083761838749565
38,-0.009443748167064201
39,-0.0072014698013321
40,-0.0049397173696987
41,-0.0050413832973168
42,-0.0029388652024238005
43,-0.0029676615988977993
44,-0.0012258814289951986
45,-0.003808174900948799
46,-0.006098537733653199
47,-0.0046705255722263
48,-0.004635198507680999
49,-0.005079500978804
50,-0.0055634919868795
51,-0.005518262222860601
52,-0.006113629192540801
53,-0.0068405141362858
54,-0.0052712001362604
55,-0.0048329211761704
56,-0.0055393409979435
57,-0.005935547342387
58,-0.005723016130814799
59,-0.0039686665927831
60,-0.0029572900586543995
61,-0.0036250599586977995
62,-0.0035456781670461
63,-0.0024694050491614002
64,-0.001446131938299
65,-0.0024602904936684
66,-0.0011222295423668994
67,-0.0007275383759178002
68,-0.0008894475628532005
69,-6.416255615030028e-05
70,-0.00012677156765329971
71,-0.00036149237305920044
72,-0.0007076964474728
73,-0.0010717895595856002
74,-0.0007950189350733996
75,-0.0008745201432887005
76,-0.0005997326212305995
77,0.0003976148220718005
78,-9.697129086290012e-05
79,-0.0002180108315435001
80,-0.0010137136562031
81,-2.810336097290025e-05
82,0.0012001194391425994
83,0.0014446660819668997
84,0.0027320207176461
85,0.0027126343389588
86,0.0034657128057965
87,0.0043813966633729
88,0.0031037219407982
89,0.0027480237127167004
90,0.0031075237829035996
91,0.0028505232575126997
92,0.0030297769659725997
93,0.0029244232141876006
94,0.0019511423658500997
95,0.0017944195825684004
96,0.0005602570174815
97,0.0016966589278763
98,0.0017681417775976998
99,0.0
