,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,4,64,2,60,16.0,6.25
1,9,64,2,55,7.111111111111111,14.0625
2,4,32,3,28,8.0,12.5
3,4,64,2,60,16.0,6.25
4,4,64,2,60,16.0,6.25
5,6,64,2,58,10.666666666666666,9.375
6,4,16,4,12,4.0,25.0
7,9,64,2,55,7.111111111111111,14.0625
8,4,32,3,28,8.0,12.5
9,4,16,4,12,4.0,25.0
10,4,16,4,12,4.0,25.0
11,4,16,4,12,4.0,25.0
12,4,16,4,12,4.0,25.0
13,6,64,2,58,10.666666666666666,9.375
14,4,16,4,12,4.0,25.0
15,6,64,2,58,10.666666666666666,9.375
16,4,64,2,60,16.0,6.25
17,4,16,4,12,4.0,25.0
18,4,16,4,12,4.0,25.0
19,4,64,2,60,16.0,6.25
20,6,32,3,26,5.333333333333333,18.75
21,4,64,2,60,16.0,6.25
22,6,32,3,26,5.333333333333333,18.75
23,4,16,4,12,4.0,25.0
24,4,16,4,12,4.0,25.0
25,6,32,3,26,5.333333333333333,18.75
26,9,64,2,55,7.111111111111111,14.0625
27,4,64,2,60,16.0,6.25
28,4,16,4,12,4.0,25.0
29,6,64,2,58,10.666666666666666,9.375
30,9,64,2,55,7.111111111111111,14.0625
31,6,64,2,58,10.666666666666666,9.375
32,4,16,4,12,4.0,25.0
33,4,64,2,60,16.0,6.25
34,4,16,4,12,4.0,25.0
35,6,64,2,58,10.666666666666666,9.375
36,4,16,4,12,4.0,25.0
37,4,64,2,60,16.0,6.25
38,4,32,3,28,8.0,12.5
39,4,64,2,60,16.0,6.25
40,9,64,2,55,7.111111111111111,14.0625
41,6,32,3,26,5.333333333333333,18.75
42,6,64,2,58,10.666666666666666,9.375
43,4,16,4,12,4.0,25.0
44,6,32,3,26,5.333333333333333,18.75
45,6,32,3,26,5.333333333333333,18.75
46,4,16,4,12,4.0,25.0
47,4,16,4,12,4.0,25.0
48,4,16,4,12,4.0,25.0
49,4,32,3,28,8.0,12.5
50,4,32,3,28,8.0,12.5
51,4,16,4,12,4.0,25.0
52,4,32,3,28,8.0,12.5
53,4,16,4,12,4.0,25.0
54,4,16,4,12,4.0,25.0
55,9,64,2,55,7.111111111111111,14.0625
56,4,32,3,28,8.0,12.5
57,4,16,4,12,4.0,25.0
58,4,32,3,28,8.0,12.5
59,6,32,3,26,5.333333333333333,18.75
60,6,32,3,26,5.333333333333333,18.75
61,4,16,4,12,4.0,25.0
62,6,64,2,58,10.666666666666666,9.375
63,6,16,4,10,2.6666666666666665,37.5
64,4,16,4,12,4.0,25.0
65,4,32,3,28,8.0,12.5
66,4,16,4,12,4.0,25.0
67,6,64,2,58,10.666666666666666,9.375
68,4,16,4,12,4.0,25.0
69,4,16,4,12,4.0,25.0
70,4,16,4,12,4.0,25.0
71,6,32,3,26,5.333333333333333,18.75
72,4,16,4,12,4.0,25.0
73,4,64,2,60,16.0,6.25
74,6,32,3,26,5.333333333333333,18.75
75,4,16,4,12,4.0,25.0
76,4,16,4,12,4.0,25.0
77,6,64,2,58,10.666666666666666,9.375
78,9,64,2,55,7.111111111111111,14.0625
79,4,64,2,60,16.0,6.25
80,4,16,4,12,4.0,25.0
81,4,16,4,12,4.0,25.0
82,6,64,2,58,10.666666666666666,9.375
83,4,64,2,60,16.0,6.25
84,4,16,4,12,4.0,25.0
85,9,64,2,55,7.111111111111111,14.0625
86,4,32,3,28,8.0,12.5
87,4,32,3,28,8.0,12.5
88,9,64,2,55,7.111111111111111,14.0625
89,4,16,4,12,4.0,25.0
90,6,32,3,26,5.333333333333333,18.75
91,4,16,4,12,4.0,25.0
92,4,16,4,12,4.0,25.0
93,6,64,2,58,10.666666666666666,9.375
94,4,64,2,60,16.0,6.25
95,6,64,2,58,10.666666666666666,9.375
96,4,16,4,12,4.0,25.0
97,4,32,3,28,8.0,12.5
98,6,32,3,26,5.333333333333333,18.75
99,4,64,2,60,16.0,6.25
100,4,32,3,28,8.0,12.5
101,4,16,4,12,4.0,25.0
102,4,16,4,12,4.0,25.0
103,4,16,4,12,4.0,25.0
104,6,32,3,26,5.333333333333333,18.75
105,6,64,2,58,10.666666666666666,9.375
106,4,64,2,60,16.0,6.25
107,4,16,4,12,4.0,25.0
108,6,64,2,58,10.666666666666666,9.375
109,4,32,3,28,8.0,12.5
110,6,64,2,58,10.666666666666666,9.375
111,6,32,3,26,5.333333333333333,18.75
112,4,32,3,28,8.0,12.5
113,4,16,4,12,4.0,25.0
114,6,16,4,10,2.6666666666666665,37.5
115,4,64,2,60,16.0,6.25
116,6,64,2,58,10.666666666666666,9.375
117,4,32,3,28,8.0,12.5
118,4,16,4,12,4.0,25.0
119,4,64,2,60,16.0,6.25
120,4,16,4,12,4.0,25.0
121,4,16,4,12,4.0,25.0
122,6,32,3,26,5.333333333333333,18.75
123,4,16,4,12,4.0,25.0
124,4,16,4,12,4.0,25.0
125,4,16,4,12,4.0,25.0
126,4,16,4,12,4.0,25.0
127,6,16,4,10,2.6666666666666665,37.5
128,4,64,2,60,16.0,6.25
129,6,16,4,10,2.6666666666666665,37.5
130,4,32,3,28,8.0,12.5
131,4,16,4,12,4.0,25.0
132,4,32,3,28,8.0,12.5
133,4,64,2,60,16.0,6.25
134,4,16,4,12,4.0,25.0
135,6,64,2,58,10.666666666666666,9.375
136,6,64,2,58,10.666666666666666,9.375
137,6,64,2,58,10.666666666666666,9.375
138,4,16,4,12,4.0,25.0
139,9,64,2,55,7.111111111111111,14.0625
140,6,32,3,26,5.333333333333333,18.75
141,6,32,3,26,5.333333333333333,18.75
142,6,64,2,58,10.666666666666666,9.375
143,4,64,2,60,16.0,6.25
144,4,64,2,60,16.0,6.25
145,6,64,2,58,10.666666666666666,9.375
146,6,64,2,58,10.666666666666666,9.375
147,4,32,3,28,8.0,12.5
148,4,64,2,60,16.0,6.25
149,6,32,3,26,5.333333333333333,18.75
150,4,64,2,60,16.0,6.25
151,4,32,3,28,8.0,12.5
152,6,16,4,10,2.6666666666666665,37.5
153,6,32,3,26,5.333333333333333,18.75
154,4,32,3,28,8.0,12.5
155,4,64,2,60,16.0,6.25
156,6,32,3,26,5.333333333333333,18.75
157,6,64,2,58,10.666666666666666,9.375
158,9,64,2,55,7.111111111111111,14.0625
159,6,64,2,58,10.666666666666666,9.375
160,6,64,2,58,10.666666666666666,9.375
161,4,16,4,12,4.0,25.0
162,6,64,2,58,10.666666666666666,9.375
163,4,16,4,12,4.0,25.0
164,6,32,3,26,5.333333333333333,18.75
165,4,16,4,12,4.0,25.0
166,6,16,4,10,2.6666666666666665,37.5
167,4,32,3,28,8.0,12.5
168,6,64,2,58,10.666666666666666,9.375
169,4,16,4,12,4.0,25.0
170,6,16,4,10,2.6666666666666665,37.5
171,6,32,3,26,5.333333333333333,18.75
172,6,32,3,26,5.333333333333333,18.75
173,6,32,3,26,5.333333333333333,18.75
174,6,32,3,26,5.333333333333333,18.75
175,6,32,3,26,5.333333333333333,18.75
176,4,64,2,60,16.0,6.25
177,6,64,2,58,10.666666666666666,9.375
178,4,32,3,28,8.0,12.5
179,4,32,3,28,8.0,12.5
180,9,16,4,7,1.7777777777777777,56.25
181,4,32,3,28,8.0,12.5
182,4,16,4,12,4.0,25.0
183,4,64,2,60,16.0,6.25
184,6,32,3,26,5.333333333333333,18.75
185,4,64,2,60,16.0,6.25
186,6,32,3,26,5.333333333333333,18.75
187,6,64,2,58,10.666666666666666,9.375
188,4,16,4,12,4.0,25.0
189,6,32,3,26,5.333333333333333,18.75
190,6,64,2,58,10.666666666666666,9.375
191,4,16,4,12,4.0,25.0
192,4,16,4,12,4.0,25.0
193,4,64,2,60,16.0,6.25
194,6,64,2,58,10.666666666666666,9.375
195,4,32,3,28,8.0,12.5
196,4,64,2,60,16.0,6.25
197,6,16,4,10,2.6666666666666665,37.5
198,4,32,3,28,8.0,12.5
199,4,16,4,12,4.0,25.0
200,4,16,4,12,4.0,25.0
201,4,16,4,12,4.0,25.0
202,6,16,4,10,2.6666666666666665,37.5
203,4,16,4,12,4.0,25.0
204,4,16,4,12,4.0,25.0
205,4,32,3,28,8.0,12.5
206,4,64,2,60,16.0,6.25
207,4,16,4,12,4.0,25.0
208,4,16,4,12,4.0,25.0
209,4,16,4,12,4.0,25.0
210,4,16,4,12,4.0,25.0
211,6,16,4,10,2.6666666666666665,37.5
