SRC_random Query: Large,Depth,BBoxes,Data Size
"[24, 26, 43, 45]",2,"[16, 16, 48, 48]",1024
"[2, 16, 21, 35]",2,"[0, 16, 32, 48]",1024
"[32, 31, 51, 50]",1,"[32, 0, 64, 64]",2048
"[25, 19, 44, 38]",2,"[16, 16, 48, 48]",1024
"[30, 22, 49, 41]",0,"[0, 0, 64, 64]",4096
"[37, 13, 56, 32]",2,"[32, 0, 64, 32]",1024
"[32, 8, 51, 27]",2,"[32, 0, 64, 32]",1024
"[18, 8, 37, 27]",2,"[16, 0, 48, 32]",1024
"[6, 39, 25, 58]",2,"[0, 32, 32, 64]",1024
"[16, 34, 35, 53]",2,"[16, 32, 48, 64]",1024
"[45, 38, 64, 57]",2,"[32, 32, 64, 64]",1024
"[9, 19, 28, 38]",2,"[0, 16, 32, 48]",1024
"[6, 4, 25, 23]",2,"[0, 0, 32, 32]",1024
"[43, 21, 62, 40]",2,"[32, 16, 64, 48]",1024
"[30, 35, 49, 54]",0,"[0, 0, 64, 64]",4096
"[6, 22, 25, 41]",2,"[0, 16, 32, 48]",1024
"[27, 20, 46, 39]",2,"[16, 16, 48, 48]",1024
"[39, 40, 58, 59]",2,"[32, 32, 64, 64]",1024
"[13, 35, 32, 54]",2,"[0, 32, 32, 64]",1024
"[30, 28, 49, 47]",0,"[0, 0, 64, 64]",4096
"[33, 16, 52, 35]",2,"[32, 16, 64, 48]",1024
"[3, 35, 22, 54]",2,"[0, 32, 32, 64]",1024
"[0, 5, 19, 24]",2,"[0, 0, 32, 32]",1024
"[25, 45, 44, 64]",2,"[16, 32, 48, 64]",1024
"[42, 40, 61, 59]",2,"[32, 32, 64, 64]",1024
"[0, 39, 19, 58]",2,"[0, 32, 32, 64]",1024
"[31, 21, 50, 40]",0,"[0, 0, 64, 64]",4096
"[15, 20, 34, 39]",0,"[0, 0, 64, 64]",4096
"[45, 4, 64, 23]",2,"[32, 0, 64, 32]",1024
"[12, 36, 31, 55]",2,"[0, 32, 32, 64]",1024
"[14, 15, 33, 34]",0,"[0, 0, 64, 64]",4096
"[9, 34, 28, 53]",2,"[0, 32, 32, 64]",1024
"[28, 5, 47, 24]",2,"[16, 0, 48, 32]",1024
"[5, 20, 24, 39]",2,"[0, 16, 32, 48]",1024
"[32, 31, 51, 50]",1,"[32, 0, 64, 64]",2048
"[6, 19, 25, 38]",2,"[0, 16, 32, 48]",1024
"[35, 18, 54, 37]",2,"[32, 16, 64, 48]",1024
"[45, 7, 64, 26]",2,"[32, 0, 64, 32]",1024
"[35, 21, 54, 40]",2,"[32, 16, 64, 48]",1024
"[34, 13, 53, 32]",2,"[32, 0, 64, 32]",1024
"[38, 35, 57, 54]",2,"[32, 32, 64, 64]",1024
"[37, 18, 56, 37]",2,"[32, 16, 64, 48]",1024
"[28, 5, 47, 24]",2,"[16, 0, 48, 32]",1024
"[38, 24, 57, 43]",2,"[32, 16, 64, 48]",1024
"[20, 36, 39, 55]",2,"[16, 32, 48, 64]",1024
"[15, 18, 34, 37]",0,"[0, 0, 64, 64]",4096
"[11, 12, 30, 31]",2,"[0, 0, 32, 32]",1024
"[11, 2, 30, 21]",2,"[0, 0, 32, 32]",1024
"[39, 42, 58, 61]",2,"[32, 32, 64, 64]",1024
"[16, 30, 35, 49]",1,"[16, 0, 48, 64]",2048
"[4, 5, 23, 24]",2,"[0, 0, 32, 32]",1024
"[43, 8, 62, 27]",2,"[32, 0, 64, 32]",1024
"[9, 2, 28, 21]",2,"[0, 0, 32, 32]",1024
"[5, 44, 24, 63]",2,"[0, 32, 32, 64]",1024
"[34, 43, 53, 62]",2,"[32, 32, 64, 64]",1024
"[25, 45, 44, 64]",2,"[16, 32, 48, 64]",1024
"[33, 17, 52, 36]",2,"[32, 16, 64, 48]",1024
"[33, 15, 52, 34]",1,"[32, 0, 64, 64]",2048
"[13, 43, 32, 62]",2,"[0, 32, 32, 64]",1024
"[37, 26, 56, 45]",2,"[32, 16, 64, 48]",1024
"[37, 17, 56, 36]",2,"[32, 16, 64, 48]",1024
"[28, 31, 47, 50]",1,"[16, 0, 48, 64]",2048
"[42, 41, 61, 60]",2,"[32, 32, 64, 64]",1024
"[44, 22, 63, 41]",2,"[32, 16, 64, 48]",1024
"[5, 20, 24, 39]",2,"[0, 16, 32, 48]",1024
"[39, 7, 58, 26]",2,"[32, 0, 64, 32]",1024
"[31, 37, 50, 56]",0,"[0, 0, 64, 64]",4096
"[40, 21, 59, 40]",2,"[32, 16, 64, 48]",1024
"[12, 15, 31, 34]",1,"[0, 0, 32, 64]",2048
"[1, 17, 20, 36]",2,"[0, 16, 32, 48]",1024
"[7, 45, 26, 64]",2,"[0, 32, 32, 64]",1024
"[14, 23, 33, 42]",0,"[0, 0, 64, 64]",4096
"[10, 21, 29, 40]",2,"[0, 16, 32, 48]",1024
"[27, 3, 46, 22]",2,"[16, 0, 48, 32]",1024
"[6, 9, 25, 28]",2,"[0, 0, 32, 32]",1024
"[44, 14, 63, 33]",1,"[32, 0, 64, 64]",2048
"[2, 36, 21, 55]",2,"[0, 32, 32, 64]",1024
"[40, 34, 59, 53]",2,"[32, 32, 64, 64]",1024
"[38, 43, 57, 62]",2,"[32, 32, 64, 64]",1024
"[4, 1, 23, 20]",2,"[0, 0, 32, 32]",1024
"[7, 40, 26, 59]",2,"[0, 32, 32, 64]",1024
"[12, 38, 31, 57]",2,"[0, 32, 32, 64]",1024
"[36, 7, 55, 26]",2,"[32, 0, 64, 32]",1024
"[25, 5, 44, 24]",2,"[16, 0, 48, 32]",1024
"[23, 7, 42, 26]",2,"[16, 0, 48, 32]",1024
"[2, 38, 21, 57]",2,"[0, 32, 32, 64]",1024
"[1, 12, 20, 31]",2,"[0, 0, 32, 32]",1024
"[11, 45, 30, 64]",2,"[0, 32, 32, 64]",1024
"[7, 30, 26, 49]",1,"[0, 0, 32, 64]",2048
"[13, 3, 32, 22]",2,"[0, 0, 32, 32]",1024
"[43, 1, 62, 20]",2,"[32, 0, 64, 32]",1024
"[34, 27, 53, 46]",2,"[32, 16, 64, 48]",1024
"[39, 6, 58, 25]",2,"[32, 0, 64, 32]",1024
"[16, 4, 35, 23]",2,"[16, 0, 48, 32]",1024
"[14, 4, 33, 23]",0,"[0, 0, 64, 64]",4096
"[41, 19, 60, 38]",2,"[32, 16, 64, 48]",1024
"[22, 27, 41, 46]",2,"[16, 16, 48, 48]",1024
"[11, 3, 30, 22]",2,"[0, 0, 32, 32]",1024
"[32, 29, 51, 48]",2,"[32, 16, 64, 48]",1024
"[2, 38, 21, 57]",2,"[0, 32, 32, 64]",1024
"[6, 44, 25, 63]",2,"[0, 32, 32, 64]",1024
"[25, 12, 44, 31]",2,"[16, 0, 48, 32]",1024
"[16, 22, 35, 41]",2,"[16, 16, 48, 48]",1024
"[30, 36, 49, 55]",0,"[0, 0, 64, 64]",4096
"[10, 44, 29, 63]",2,"[0, 32, 32, 64]",1024
"[43, 13, 62, 32]",2,"[32, 0, 64, 32]",1024
"[3, 43, 22, 62]",2,"[0, 32, 32, 64]",1024
"[10, 10, 29, 29]",2,"[0, 0, 32, 32]",1024
"[21, 33, 40, 52]",2,"[16, 32, 48, 64]",1024
"[16, 7, 35, 26]",2,"[16, 0, 48, 32]",1024
"[38, 28, 57, 47]",2,"[32, 16, 64, 48]",1024
"[42, 11, 61, 30]",2,"[32, 0, 64, 32]",1024
"[0, 30, 19, 49]",1,"[0, 0, 32, 64]",2048
"[43, 26, 62, 45]",2,"[32, 16, 64, 48]",1024
"[36, 32, 55, 51]",2,"[32, 32, 64, 64]",1024
"[19, 41, 38, 60]",2,"[16, 32, 48, 64]",1024
"[22, 24, 41, 43]",2,"[16, 16, 48, 48]",1024
"[42, 16, 61, 35]",2,"[32, 16, 64, 48]",1024
"[9, 35, 28, 54]",2,"[0, 32, 32, 64]",1024
"[44, 0, 63, 19]",2,"[32, 0, 64, 32]",1024
"[29, 5, 48, 24]",2,"[16, 0, 48, 32]",1024
"[21, 2, 40, 21]",2,"[16, 0, 48, 32]",1024
"[34, 17, 53, 36]",2,"[32, 16, 64, 48]",1024
"[8, 15, 27, 34]",1,"[0, 0, 32, 64]",2048
"[30, 22, 49, 41]",0,"[0, 0, 64, 64]",4096
"[39, 18, 58, 37]",2,"[32, 16, 64, 48]",1024
"[43, 22, 62, 41]",2,"[32, 16, 64, 48]",1024
"[37, 40, 56, 59]",2,"[32, 32, 64, 64]",1024
"[39, 8, 58, 27]",2,"[32, 0, 64, 32]",1024
"[45, 19, 64, 38]",2,"[32, 16, 64, 48]",1024
"[24, 26, 43, 45]",2,"[16, 16, 48, 48]",1024
"[41, 5, 60, 24]",2,"[32, 0, 64, 32]",1024
"[0, 38, 19, 57]",2,"[0, 32, 32, 64]",1024
"[12, 44, 31, 63]",2,"[0, 32, 32, 64]",1024
"[21, 10, 40, 29]",2,"[16, 0, 48, 32]",1024
"[15, 14, 34, 33]",0,"[0, 0, 64, 64]",4096
"[40, 28, 59, 47]",2,"[32, 16, 64, 48]",1024
"[24, 45, 43, 64]",2,"[16, 32, 48, 64]",1024
"[43, 36, 62, 55]",2,"[32, 32, 64, 64]",1024
"[26, 2, 45, 21]",2,"[16, 0, 48, 32]",1024
"[25, 44, 44, 63]",2,"[16, 32, 48, 64]",1024
"[36, 26, 55, 45]",2,"[32, 16, 64, 48]",1024
"[42, 45, 61, 64]",2,"[32, 32, 64, 64]",1024
"[2, 10, 21, 29]",2,"[0, 0, 32, 32]",1024
"[28, 4, 47, 23]",2,"[16, 0, 48, 32]",1024
"[16, 44, 35, 63]",2,"[16, 32, 48, 64]",1024
"[10, 28, 29, 47]",2,"[0, 16, 32, 48]",1024
"[33, 31, 52, 50]",1,"[32, 0, 64, 64]",2048
"[35, 38, 54, 57]",2,"[32, 32, 64, 64]",1024
"[0, 2, 19, 21]",2,"[0, 0, 32, 32]",1024
"[31, 20, 50, 39]",0,"[0, 0, 64, 64]",4096
"[19, 29, 38, 48]",2,"[16, 16, 48, 48]",1024
"[3, 26, 22, 45]",2,"[0, 16, 32, 48]",1024
"[12, 35, 31, 54]",2,"[0, 32, 32, 64]",1024
"[40, 5, 59, 24]",2,"[32, 0, 64, 32]",1024
"[8, 0, 27, 19]",2,"[0, 0, 32, 32]",1024
"[25, 43, 44, 62]",2,"[16, 32, 48, 64]",1024
"[26, 20, 45, 39]",2,"[16, 16, 48, 48]",1024
"[0, 13, 19, 32]",2,"[0, 0, 32, 32]",1024
"[0, 45, 19, 64]",2,"[0, 32, 32, 64]",1024
"[0, 43, 19, 62]",2,"[0, 32, 32, 64]",1024
"[33, 39, 52, 58]",2,"[32, 32, 64, 64]",1024
"[6, 12, 25, 31]",2,"[0, 0, 32, 32]",1024
"[7, 38, 26, 57]",2,"[0, 32, 32, 64]",1024
"[41, 12, 60, 31]",2,"[32, 0, 64, 32]",1024
"[19, 17, 38, 36]",2,"[16, 16, 48, 48]",1024
"[44, 11, 63, 30]",2,"[32, 0, 64, 32]",1024
"[6, 30, 25, 49]",1,"[0, 0, 32, 64]",2048
"[25, 40, 44, 59]",2,"[16, 32, 48, 64]",1024
"[5, 1, 24, 20]",2,"[0, 0, 32, 32]",1024
"[17, 28, 36, 47]",2,"[16, 16, 48, 48]",1024
"[7, 16, 26, 35]",2,"[0, 16, 32, 48]",1024
"[8, 41, 27, 60]",2,"[0, 32, 32, 64]",1024
"[33, 41, 52, 60]",2,"[32, 32, 64, 64]",1024
"[41, 22, 60, 41]",2,"[32, 16, 64, 48]",1024
"[7, 9, 26, 28]",2,"[0, 0, 32, 32]",1024
"[17, 1, 36, 20]",2,"[16, 0, 48, 32]",1024
"[2, 2, 21, 21]",2,"[0, 0, 32, 32]",1024
"[13, 43, 32, 62]",2,"[0, 32, 32, 64]",1024
"[16, 35, 35, 54]",2,"[16, 32, 48, 64]",1024
"[20, 23, 39, 42]",2,"[16, 16, 48, 48]",1024
"[36, 2, 55, 21]",2,"[32, 0, 64, 32]",1024
"[44, 38, 63, 57]",2,"[32, 32, 64, 64]",1024
"[41, 31, 60, 50]",1,"[32, 0, 64, 64]",2048
"[45, 41, 64, 60]",2,"[32, 32, 64, 64]",1024
"[29, 40, 48, 59]",2,"[16, 32, 48, 64]",1024
"[27, 23, 46, 42]",2,"[16, 16, 48, 48]",1024
"[34, 11, 53, 30]",2,"[32, 0, 64, 32]",1024
"[13, 24, 32, 43]",2,"[0, 16, 32, 48]",1024
"[37, 18, 56, 37]",2,"[32, 16, 64, 48]",1024
"[0, 8, 19, 27]",2,"[0, 0, 32, 32]",1024
"[9, 17, 28, 36]",2,"[0, 16, 32, 48]",1024
"[21, 21, 40, 40]",2,"[16, 16, 48, 48]",1024
"[23, 45, 42, 64]",2,"[16, 32, 48, 64]",1024
"[5, 21, 24, 40]",2,"[0, 16, 32, 48]",1024
"[39, 2, 58, 21]",2,"[32, 0, 64, 32]",1024
"[2, 17, 21, 36]",2,"[0, 16, 32, 48]",1024
"[10, 9, 29, 28]",2,"[0, 0, 32, 32]",1024
"[37, 18, 56, 37]",2,"[32, 16, 64, 48]",1024
"[23, 25, 42, 44]",2,"[16, 16, 48, 48]",1024
"[35, 8, 54, 27]",2,"[32, 0, 64, 32]",1024
"[18, 7, 37, 26]",2,"[16, 0, 48, 32]",1024
"[30, 15, 49, 34]",0,"[0, 0, 64, 64]",4096
"[3, 19, 22, 38]",2,"[0, 16, 32, 48]",1024
"[11, 33, 30, 52]",2,"[0, 32, 32, 64]",1024
"[4, 19, 23, 38]",2,"[0, 16, 32, 48]",1024
"[25, 21, 44, 40]",2,"[16, 16, 48, 48]",1024
"[19, 26, 38, 45]",2,"[16, 16, 48, 48]",1024
"[6, 6, 25, 25]",2,"[0, 0, 32, 32]",1024
"[35, 30, 54, 49]",1,"[32, 0, 64, 64]",2048
"[30, 21, 49, 40]",0,"[0, 0, 64, 64]",4096
"[21, 7, 40, 26]",2,"[16, 0, 48, 32]",1024
"[30, 7, 49, 26]",0,"[0, 0, 64, 64]",4096
"[44, 31, 63, 50]",1,"[32, 0, 64, 64]",2048
"[27, 2, 46, 21]",2,"[16, 0, 48, 32]",1024
"[19, 21, 38, 40]",2,"[16, 16, 48, 48]",1024
"[43, 9, 62, 28]",2,"[32, 0, 64, 32]",1024
"[10, 40, 29, 59]",2,"[0, 32, 32, 64]",1024
"[36, 24, 55, 43]",2,"[32, 16, 64, 48]",1024
"[40, 5, 59, 24]",2,"[32, 0, 64, 32]",1024
"[4, 5, 23, 24]",2,"[0, 0, 32, 32]",1024
"[12, 14, 31, 33]",1,"[0, 0, 32, 64]",2048
"[3, 24, 22, 43]",2,"[0, 16, 32, 48]",1024
"[0, 6, 19, 25]",2,"[0, 0, 32, 32]",1024
"[25, 35, 44, 54]",2,"[16, 32, 48, 64]",1024
"[33, 18, 52, 37]",2,"[32, 16, 64, 48]",1024
"[28, 31, 47, 50]",1,"[16, 0, 48, 64]",2048
"[37, 45, 56, 64]",2,"[32, 32, 64, 64]",1024
"[43, 13, 62, 32]",2,"[32, 0, 64, 32]",1024
"[27, 5, 46, 24]",2,"[16, 0, 48, 32]",1024
"[23, 14, 42, 33]",1,"[16, 0, 48, 64]",2048
"[16, 37, 35, 56]",2,"[16, 32, 48, 64]",1024
"[10, 27, 29, 46]",2,"[0, 16, 32, 48]",1024
"[12, 22, 31, 41]",2,"[0, 16, 32, 48]",1024
"[7, 4, 26, 23]",2,"[0, 0, 32, 32]",1024
"[44, 1, 63, 20]",2,"[32, 0, 64, 32]",1024
"[33, 28, 52, 47]",2,"[32, 16, 64, 48]",1024
"[43, 12, 62, 31]",2,"[32, 0, 64, 32]",1024
"[7, 31, 26, 50]",1,"[0, 0, 32, 64]",2048
"[25, 16, 44, 35]",2,"[16, 16, 48, 48]",1024
"[13, 41, 32, 60]",2,"[0, 32, 32, 64]",1024
"[2, 13, 21, 32]",2,"[0, 0, 32, 32]",1024
"[39, 9, 58, 28]",2,"[32, 0, 64, 32]",1024
"[6, 12, 25, 31]",2,"[0, 0, 32, 32]",1024
"[29, 24, 48, 43]",2,"[16, 16, 48, 48]",1024
"[23, 34, 42, 53]",2,"[16, 32, 48, 64]",1024
"[9, 6, 28, 25]",2,"[0, 0, 32, 32]",1024
"[38, 31, 57, 50]",1,"[32, 0, 64, 64]",2048
"[9, 36, 28, 55]",2,"[0, 32, 32, 64]",1024
"[25, 40, 44, 59]",2,"[16, 32, 48, 64]",1024
"[43, 27, 62, 46]",2,"[32, 16, 64, 48]",1024
"[33, 31, 52, 50]",1,"[32, 0, 64, 64]",2048
"[43, 20, 62, 39]",2,"[32, 16, 64, 48]",1024
"[31, 31, 50, 50]",0,"[0, 0, 64, 64]",4096
"[40, 42, 59, 61]",2,"[32, 32, 64, 64]",1024
"[12, 34, 31, 53]",2,"[0, 32, 32, 64]",1024
"[39, 14, 58, 33]",1,"[32, 0, 64, 64]",2048
"[0, 21, 19, 40]",2,"[0, 16, 32, 48]",1024
"[45, 20, 64, 39]",2,"[32, 16, 64, 48]",1024
"[20, 2, 39, 21]",2,"[16, 0, 48, 32]",1024
"[33, 9, 52, 28]",2,"[32, 0, 64, 32]",1024
"[16, 38, 35, 57]",2,"[16, 32, 48, 64]",1024
"[9, 24, 28, 43]",2,"[0, 16, 32, 48]",1024
"[37, 18, 56, 37]",2,"[32, 16, 64, 48]",1024
"[45, 45, 64, 64]",2,"[32, 32, 64, 64]",1024
"[30, 4, 49, 23]",0,"[0, 0, 64, 64]",4096
"[5, 33, 24, 52]",2,"[0, 32, 32, 64]",1024
"[2, 4, 21, 23]",2,"[0, 0, 32, 32]",1024
"[14, 8, 33, 27]",0,"[0, 0, 64, 64]",4096
"[2, 19, 21, 38]",2,"[0, 16, 32, 48]",1024
"[0, 28, 19, 47]",2,"[0, 16, 32, 48]",1024
"[21, 10, 40, 29]",2,"[16, 0, 48, 32]",1024
"[9, 41, 28, 60]",2,"[0, 32, 32, 64]",1024
"[29, 23, 48, 42]",2,"[16, 16, 48, 48]",1024
"[32, 24, 51, 43]",2,"[32, 16, 64, 48]",1024
"[33, 32, 52, 51]",2,"[32, 32, 64, 64]",1024
"[2, 36, 21, 55]",2,"[0, 32, 32, 64]",1024
"[5, 43, 24, 62]",2,"[0, 32, 32, 64]",1024
"[33, 38, 52, 57]",2,"[32, 32, 64, 64]",1024
"[4, 27, 23, 46]",2,"[0, 16, 32, 48]",1024
"[13, 18, 32, 37]",2,"[0, 16, 32, 48]",1024
"[34, 38, 53, 57]",2,"[32, 32, 64, 64]",1024
"[26, 30, 45, 49]",1,"[16, 0, 48, 64]",2048
"[24, 38, 43, 57]",2,"[16, 32, 48, 64]",1024
"[37, 14, 56, 33]",1,"[32, 0, 64, 64]",2048
"[1, 42, 20, 61]",2,"[0, 32, 32, 64]",1024
"[0, 11, 19, 30]",2,"[0, 0, 32, 32]",1024
"[19, 32, 38, 51]",2,"[16, 32, 48, 64]",1024
"[36, 16, 55, 35]",2,"[32, 16, 64, 48]",1024
"[21, 4, 40, 23]",2,"[16, 0, 48, 32]",1024
"[31, 16, 50, 35]",0,"[0, 0, 64, 64]",4096
"[19, 26, 38, 45]",2,"[16, 16, 48, 48]",1024
"[24, 24, 43, 43]",2,"[16, 16, 48, 48]",1024
"[3, 10, 22, 29]",2,"[0, 0, 32, 32]",1024
"[41, 8, 60, 27]",2,"[32, 0, 64, 32]",1024
"[15, 18, 34, 37]",0,"[0, 0, 64, 64]",4096
"[21, 3, 40, 22]",2,"[16, 0, 48, 32]",1024
"[2, 30, 21, 49]",1,"[0, 0, 32, 64]",2048
"[26, 9, 45, 28]",2,"[16, 0, 48, 32]",1024
"[31, 38, 50, 57]",0,"[0, 0, 64, 64]",4096
"[45, 5, 64, 24]",2,"[32, 0, 64, 32]",1024
"[43, 44, 62, 63]",2,"[32, 32, 64, 64]",1024
"[9, 22, 28, 41]",2,"[0, 16, 32, 48]",1024
"[26, 2, 45, 21]",2,"[16, 0, 48, 32]",1024
"[39, 29, 58, 48]",2,"[32, 16, 64, 48]",1024
"[24, 29, 43, 48]",2,"[16, 16, 48, 48]",1024
"[3, 6, 22, 25]",2,"[0, 0, 32, 32]",1024
"[30, 9, 49, 28]",0,"[0, 0, 64, 64]",4096
"[1, 2, 20, 21]",2,"[0, 0, 32, 32]",1024
"[38, 39, 57, 58]",2,"[32, 32, 64, 64]",1024
"[8, 40, 27, 59]",2,"[0, 32, 32, 64]",1024
"[20, 6, 39, 25]",2,"[16, 0, 48, 32]",1024
"[44, 35, 63, 54]",2,"[32, 32, 64, 64]",1024
"[41, 22, 60, 41]",2,"[32, 16, 64, 48]",1024
"[12, 24, 31, 43]",2,"[0, 16, 32, 48]",1024
"[31, 7, 50, 26]",0,"[0, 0, 64, 64]",4096
"[3, 39, 22, 58]",2,"[0, 32, 32, 64]",1024
"[44, 29, 63, 48]",2,"[32, 16, 64, 48]",1024
"[39, 40, 58, 59]",2,"[32, 32, 64, 64]",1024
"[21, 41, 40, 60]",2,"[16, 32, 48, 64]",1024
"[7, 43, 26, 62]",2,"[0, 32, 32, 64]",1024
"[45, 39, 64, 58]",2,"[32, 32, 64, 64]",1024
"[18, 8, 37, 27]",2,"[16, 0, 48, 32]",1024
"[24, 18, 43, 37]",2,"[16, 16, 48, 48]",1024
"[43, 7, 62, 26]",2,"[32, 0, 64, 32]",1024
"[33, 12, 52, 31]",2,"[32, 0, 64, 32]",1024
"[2, 25, 21, 44]",2,"[0, 16, 32, 48]",1024
"[28, 23, 47, 42]",2,"[16, 16, 48, 48]",1024
"[12, 29, 31, 48]",2,"[0, 16, 32, 48]",1024
"[22, 40, 41, 59]",2,"[16, 32, 48, 64]",1024
"[4, 2, 23, 21]",2,"[0, 0, 32, 32]",1024
"[2, 31, 21, 50]",1,"[0, 0, 32, 64]",2048
"[16, 1, 35, 20]",2,"[16, 0, 48, 32]",1024
"[33, 42, 52, 61]",2,"[32, 32, 64, 64]",1024
"[36, 36, 55, 55]",2,"[32, 32, 64, 64]",1024
"[13, 14, 32, 33]",1,"[0, 0, 32, 64]",2048
"[5, 40, 24, 59]",2,"[0, 32, 32, 64]",1024
"[32, 44, 51, 63]",2,"[32, 32, 64, 64]",1024
"[33, 26, 52, 45]",2,"[32, 16, 64, 48]",1024
"[32, 19, 51, 38]",2,"[32, 16, 64, 48]",1024
"[7, 9, 26, 28]",2,"[0, 0, 32, 32]",1024
"[27, 36, 46, 55]",2,"[16, 32, 48, 64]",1024
"[27, 5, 46, 24]",2,"[16, 0, 48, 32]",1024
"[6, 26, 25, 45]",2,"[0, 16, 32, 48]",1024
"[4, 6, 23, 25]",2,"[0, 0, 32, 32]",1024
"[26, 9, 45, 28]",2,"[16, 0, 48, 32]",1024
"[1, 28, 20, 47]",2,"[0, 16, 32, 48]",1024
"[27, 43, 46, 62]",2,"[16, 32, 48, 64]",1024
"[26, 1, 45, 20]",2,"[16, 0, 48, 32]",1024
"[31, 20, 50, 39]",0,"[0, 0, 64, 64]",4096
"[16, 5, 35, 24]",2,"[16, 0, 48, 32]",1024
"[22, 4, 41, 23]",2,"[16, 0, 48, 32]",1024
"[7, 22, 26, 41]",2,"[0, 16, 32, 48]",1024
"[44, 1, 63, 20]",2,"[32, 0, 64, 32]",1024
"[22, 22, 41, 41]",2,"[16, 16, 48, 48]",1024
"[11, 0, 30, 19]",2,"[0, 0, 32, 32]",1024
"[14, 23, 33, 42]",0,"[0, 0, 64, 64]",4096
"[4, 38, 23, 57]",2,"[0, 32, 32, 64]",1024
"[9, 13, 28, 32]",2,"[0, 0, 32, 32]",1024
"[0, 13, 19, 32]",2,"[0, 0, 32, 32]",1024
"[42, 43, 61, 62]",2,"[32, 32, 64, 64]",1024
"[7, 0, 26, 19]",2,"[0, 0, 32, 32]",1024
"[18, 23, 37, 42]",2,"[16, 16, 48, 48]",1024
"[44, 1, 63, 20]",2,"[32, 0, 64, 32]",1024
"[38, 14, 57, 33]",1,"[32, 0, 64, 64]",2048
"[9, 11, 28, 30]",2,"[0, 0, 32, 32]",1024
"[29, 7, 48, 26]",2,"[16, 0, 48, 32]",1024
"[30, 22, 49, 41]",0,"[0, 0, 64, 64]",4096
"[45, 16, 64, 35]",2,"[32, 16, 64, 48]",1024
"[8, 1, 27, 20]",2,"[0, 0, 32, 32]",1024
"[13, 23, 32, 42]",2,"[0, 16, 32, 48]",1024
"[21, 30, 40, 49]",1,"[16, 0, 48, 64]",2048
"[18, 18, 37, 37]",2,"[16, 16, 48, 48]",1024
"[35, 40, 54, 59]",2,"[32, 32, 64, 64]",1024
"[20, 11, 39, 30]",2,"[16, 0, 48, 32]",1024
"[37, 5, 56, 24]",2,"[32, 0, 64, 32]",1024
"[6, 34, 25, 53]",2,"[0, 32, 32, 64]",1024
"[37, 19, 56, 38]",2,"[32, 16, 64, 48]",1024
"[10, 24, 29, 43]",2,"[0, 16, 32, 48]",1024
