SRC Query,Depth,BBoxes,Data Size
"[[(24, 43), [26, 45]]]",0,"[(0, 64), (0, 64)]",4096
"[[(2, 21), [16, 35]]]",0,"[(0, 64), (0, 64)]",4096
"[[(32, 51), [31, 50]]]",1,"[[32, 64], (0, 64)]",2048
"[[(25, 44), [19, 38]]]",0,"[(0, 64), (0, 64)]",4096
"[[(30, 49), [22, 41]]]",0,"[(0, 64), (0, 64)]",4096
"[[(37, 56), [13, 32]]]",1,"[[32, 64], (0, 64)]",2048
"[[(32, 51), [8, 27]]]",1,"[[32, 64], (0, 64)]",2048
"[[(18, 37), [8, 27]]]",0,"[(0, 64), (0, 64)]",4096
"[[(6, 25), [39, 58]]]",0,"[(0, 64), (0, 64)]",4096
"[[(16, 35), [34, 53]]]",0,"[(0, 64), (0, 64)]",4096
"[[(45, 64), [38, 57]]]",1,"[[32, 64], (0, 64)]",2048
"[[(9, 28), [19, 38]]]",0,"[(0, 64), (0, 64)]",4096
"[[(6, 25), [4, 23]]]",0,"[(0, 64), (0, 64)]",4096
"[[(43, 62), [21, 40]]]",1,"[[32, 64], (0, 64)]",2048
"[[(30, 49), [35, 54]]]",0,"[(0, 64), (0, 64)]",4096
"[[(6, 25), [22, 41]]]",0,"[(0, 64), (0, 64)]",4096
"[[(27, 46), [20, 39]]]",0,"[(0, 64), (0, 64)]",4096
"[[(39, 58), [40, 59]]]",2,"[[32, 64], [32, 64]]",1024
"[[(13, 32), [35, 54]]]",0,"[(0, 64), (0, 64)]",4096
"[[(30, 49), [28, 47]]]",0,"[(0, 64), (0, 64)]",4096
"[[(33, 52), [16, 35]]]",1,"[[32, 64], (0, 64)]",2048
"[[(3, 22), [35, 54]]]",0,"[(0, 64), (0, 64)]",4096
"[[(0, 19), [5, 24]]]",0,"[(0, 64), (0, 64)]",4096
"[[(25, 44), [45, 64]]]",0,"[(0, 64), (0, 64)]",4096
"[[(42, 61), [40, 59]]]",2,"[[32, 64], [32, 64]]",1024
"[[(0, 19), [39, 58]]]",0,"[(0, 64), (0, 64)]",4096
"[[(31, 50), [21, 40]]]",0,"[(0, 64), (0, 64)]",4096
"[[(15, 34), [20, 39]]]",0,"[(0, 64), (0, 64)]",4096
"[[(45, 64), [4, 23]]]",1,"[[32, 64], (0, 64)]",2048
"[[(12, 31), [36, 55]]]",0,"[(0, 64), (0, 64)]",4096
"[[(14, 33), [15, 34]]]",0,"[(0, 64), (0, 64)]",4096
"[[(9, 28), [34, 53]]]",0,"[(0, 64), (0, 64)]",4096
"[[(28, 47), [5, 24]]]",0,"[(0, 64), (0, 64)]",4096
"[[(5, 24), [20, 39]]]",0,"[(0, 64), (0, 64)]",4096
"[[(32, 51), [31, 50]]]",1,"[[32, 64], (0, 64)]",2048
"[[(6, 25), [19, 38]]]",0,"[(0, 64), (0, 64)]",4096
"[[(35, 54), [18, 37]]]",1,"[[32, 64], (0, 64)]",2048
"[[(45, 64), [7, 26]]]",1,"[[32, 64], (0, 64)]",2048
"[[(35, 54), [21, 40]]]",1,"[[32, 64], (0, 64)]",2048
"[[(34, 53), [13, 32]]]",1,"[[32, 64], (0, 64)]",2048
"[[(38, 57), [35, 54]]]",2,"[[32, 64], [32, 64]]",1024
"[[(37, 56), [18, 37]]]",1,"[[32, 64], (0, 64)]",2048
"[[(28, 47), [5, 24]]]",0,"[(0, 64), (0, 64)]",4096
"[[(38, 57), [24, 43]]]",1,"[[32, 64], (0, 64)]",2048
"[[(20, 39), [36, 55]]]",0,"[(0, 64), (0, 64)]",4096
"[[(15, 34), [18, 37]]]",0,"[(0, 64), (0, 64)]",4096
"[[(11, 30), [12, 31]]]",0,"[(0, 64), (0, 64)]",4096
"[[(11, 30), [2, 21]]]",0,"[(0, 64), (0, 64)]",4096
"[[(39, 58), [42, 61]]]",2,"[[32, 64], [32, 64]]",1024
"[[(16, 35), [30, 49]]]",0,"[(0, 64), (0, 64)]",4096
"[[(4, 23), [5, 24]]]",0,"[(0, 64), (0, 64)]",4096
"[[(43, 62), [8, 27]]]",1,"[[32, 64], (0, 64)]",2048
"[[(9, 28), [2, 21]]]",0,"[(0, 64), (0, 64)]",4096
"[[(5, 24), [44, 63]]]",0,"[(0, 64), (0, 64)]",4096
"[[(34, 53), [43, 62]]]",2,"[[32, 64], [32, 64]]",1024
"[[(25, 44), [45, 64]]]",0,"[(0, 64), (0, 64)]",4096
"[[(33, 52), [17, 36]]]",1,"[[32, 64], (0, 64)]",2048
"[[(33, 52), [15, 34]]]",1,"[[32, 64], (0, 64)]",2048
"[[(13, 32), [43, 62]]]",0,"[(0, 64), (0, 64)]",4096
"[[(37, 56), [26, 45]]]",1,"[[32, 64], (0, 64)]",2048
"[[(37, 56), [17, 36]]]",1,"[[32, 64], (0, 64)]",2048
"[[(28, 47), [31, 50]]]",0,"[(0, 64), (0, 64)]",4096
"[[(42, 61), [41, 60]]]",2,"[[32, 64], [32, 64]]",1024
"[[(44, 63), [22, 41]]]",1,"[[32, 64], (0, 64)]",2048
"[[(5, 24), [20, 39]]]",0,"[(0, 64), (0, 64)]",4096
"[[(39, 58), [7, 26]]]",1,"[[32, 64], (0, 64)]",2048
"[[(31, 50), [37, 56]]]",0,"[(0, 64), (0, 64)]",4096
"[[(40, 59), [21, 40]]]",1,"[[32, 64], (0, 64)]",2048
"[[(12, 31), [15, 34]]]",0,"[(0, 64), (0, 64)]",4096
"[[(1, 20), [17, 36]]]",0,"[(0, 64), (0, 64)]",4096
"[[(7, 26), [45, 64]]]",0,"[(0, 64), (0, 64)]",4096
"[[(14, 33), [23, 42]]]",0,"[(0, 64), (0, 64)]",4096
"[[(10, 29), [21, 40]]]",0,"[(0, 64), (0, 64)]",4096
"[[(27, 46), [3, 22]]]",0,"[(0, 64), (0, 64)]",4096
"[[(6, 25), [9, 28]]]",0,"[(0, 64), (0, 64)]",4096
"[[(44, 63), [14, 33]]]",1,"[[32, 64], (0, 64)]",2048
"[[(2, 21), [36, 55]]]",0,"[(0, 64), (0, 64)]",4096
"[[(40, 59), [34, 53]]]",2,"[[32, 64], [32, 64]]",1024
"[[(38, 57), [43, 62]]]",2,"[[32, 64], [32, 64]]",1024
"[[(4, 23), [1, 20]]]",0,"[(0, 64), (0, 64)]",4096
"[[(7, 26), [40, 59]]]",0,"[(0, 64), (0, 64)]",4096
"[[(12, 31), [38, 57]]]",0,"[(0, 64), (0, 64)]",4096
"[[(36, 55), [7, 26]]]",1,"[[32, 64], (0, 64)]",2048
"[[(25, 44), [5, 24]]]",0,"[(0, 64), (0, 64)]",4096
"[[(23, 42), [7, 26]]]",0,"[(0, 64), (0, 64)]",4096
"[[(2, 21), [38, 57]]]",0,"[(0, 64), (0, 64)]",4096
"[[(1, 20), [12, 31]]]",0,"[(0, 64), (0, 64)]",4096
"[[(11, 30), [45, 64]]]",0,"[(0, 64), (0, 64)]",4096
"[[(7, 26), [30, 49]]]",0,"[(0, 64), (0, 64)]",4096
"[[(13, 32), [3, 22]]]",0,"[(0, 64), (0, 64)]",4096
