,DAG,KD
0,2,0
1,2,0
2,1,1
3,2,0
4,0,0
5,2,1
6,2,1
7,2,0
8,2,0
9,2,0
10,2,1
11,2,0
12,2,0
13,2,1
14,0,0
15,2,0
16,2,0
17,2,2
18,2,0
19,0,0
20,2,1
21,2,0
22,2,0
23,2,0
24,2,2
25,2,0
26,0,0
27,0,0
28,2,1
29,2,0
30,0,0
31,2,0
32,2,0
33,2,0
34,1,1
35,2,0
36,2,1
37,2,1
38,2,1
39,2,1
40,2,2
41,2,1
42,2,0
43,2,1
44,2,0
45,0,0
46,2,0
47,2,0
48,2,2
49,1,0
50,2,0
51,2,1
52,2,0
53,2,0
54,2,2
55,2,0
56,2,1
57,1,1
58,2,0
59,2,1
60,2,1
61,1,0
62,2,2
63,2,1
64,2,0
65,2,1
66,0,0
67,2,1
68,1,0
69,2,0
70,2,0
71,0,0
72,2,0
73,2,0
74,2,0
75,1,1
76,2,0
77,2,2
78,2,2
79,2,0
80,2,0
81,2,0
82,2,1
83,2,0
84,2,0
85,2,0
86,2,0
87,2,0
88,1,0
89,2,0
90,2,1
91,2,1
92,2,1
93,2,0
94,0,0
95,2,1
96,2,0
97,2,0
98,2,1
99,2,0
100,2,0
101,2,0
102,2,0
103,0,0
104,2,0
105,2,1
106,2,0
107,2,0
108,2,0
109,2,0
110,2,1
111,2,1
112,1,0
113,2,1
114,2,2
115,2,0
116,2,0
117,2,1
118,2,0
119,2,1
120,2,0
121,2,0
122,2,1
123,1,0
124,0,0
125,2,1
126,2,1
127,2,2
128,2,1
129,2,1
130,2,0
131,2,1
132,2,0
133,2,0
134,2,0
135,0,0
136,2,1
137,2,0
138,2,2
139,2,0
140,2,0
141,2,1
142,2,0
143,2,0
144,2,0
145,2,0
146,2,0
147,1,1
148,2,2
149,2,0
150,0,0
151,2,0
152,2,0
153,2,0
154,2,1
155,2,0
156,2,0
157,2,0
158,2,0
159,2,0
160,2,0
161,2,2
162,2,0
163,2,0
164,2,1
165,2,0
166,2,1
167,1,0
168,2,0
169,2,0
170,2,0
171,2,0
172,2,0
173,2,2
174,2,1
175,2,0
176,2,0
177,2,0
178,2,0
179,2,0
180,2,0
181,2,1
182,2,2
183,1,1
184,2,1
185,2,0
186,2,0
187,2,1
188,2,0
189,2,1
190,2,0
191,2,0
192,2,0
193,2,0
194,2,0
195,2,1
196,2,0
197,2,0
198,2,1
199,2,0
200,2,1
201,2,0
202,0,0
203,2,0
204,2,0
205,2,0
206,2,0
207,2,0
208,2,0
209,1,1
210,0,0
211,2,0
212,0,0
213,1,1
214,2,0
215,2,0
216,2,1
217,2,0
218,2,1
219,2,1
220,2,0
221,1,0
222,2,0
223,2,0
224,2,0
225,2,1
226,1,0
227,2,0
228,2,1
229,2,0
230,1,0
231,2,0
232,2,0
233,2,0
234,2,0
235,2,1
236,2,1
237,2,1
238,1,0
239,2,0
240,2,0
241,2,0
242,2,1
243,2,0
244,2,0
245,2,0
246,2,0
247,1,1
248,2,0
249,2,0
250,2,1
251,1,1
252,2,1
253,0,0
254,2,2
255,2,0
256,1,1
257,2,0
258,2,1
259,2,0
260,2,1
261,2,0
262,2,0
263,2,1
264,2,0
265,0,0
266,2,0
267,2,0
268,0,0
269,2,0
270,2,0
271,2,0
272,2,0
273,2,0
274,2,1
275,2,2
276,2,0
277,2,0
278,2,2
279,2,0
280,2,0
281,2,2
282,1,0
283,2,0
284,1,1
285,2,0
286,2,0
287,2,0
288,2,1
289,2,0
290,0,0
291,2,0
292,2,0
293,2,0
294,2,1
295,0,0
296,2,0
297,1,0
298,2,0
299,0,0
300,2,1
301,2,2
302,2,0
303,2,0
304,2,1
305,2,0
306,2,0
307,0,0
308,2,0
309,2,2
310,2,0
311,2,0
312,2,2
313,2,1
314,2,0
315,0,0
316,2,0
317,2,1
318,2,2
319,2,0
320,2,0
321,2,1
322,2,0
323,2,0
324,2,1
325,2,1
326,2,0
327,2,0
328,2,0
329,2,0
330,2,0
331,1,0
332,2,0
333,2,2
334,2,2
335,1,0
336,2,0
337,2,2
338,2,1
339,2,1
340,2,0
341,2,0
342,2,0
343,2,0
344,2,0
345,2,0
346,2,0
347,2,0
348,2,0
349,0,0
350,2,0
351,2,0
352,2,0
353,2,1
354,2,0
355,2,0
356,0,0
357,2,0
358,2,0
359,2,0
360,2,2
361,2,0
362,2,0
363,2,1
364,1,1
365,2,0
366,2,0
367,0,0
368,2,1
369,2,0
370,2,0
371,1,0
372,2,0
373,2,2
374,2,0
375,2,1
376,2,0
377,2,1
378,2,0
379,2,0
380,0,0
381,1,1
382,0,0
383,2,0
384,2,0
385,2,0
386,2,1
387,2,0
388,2,1
389,2,0
390,2,0
391,2,0
392,2,1
393,2,0
394,2,0
395,0,0
396,2,1
397,2,2
398,2,0
399,2,0
400,2,0
401,2,0
402,2,0
403,0,0
404,2,0
405,2,0
406,2,2
407,2,1
408,2,1
409,2,0
410,2,0
411,1,0
412,2,0
413,2,1
414,2,0
415,2,2
416,1,0
417,2,0
418,2,0
419,2,0
420,2,0
421,2,0
422,2,0
423,2,0
424,2,1
425,2,0
426,0,0
427,1,1
428,0,0
429,2,0
430,2,1
431,2,0
432,2,1
433,2,0
434,2,0
435,2,0
436,2,0
437,2,0
438,2,0
439,2,1
440,2,1
441,2,0
442,2,0
443,2,1
444,2,0
445,0,0
446,2,0
447,2,0
448,2,1
449,2,2
450,2,1
451,2,1
452,2,0
453,2,1
454,2,0
455,2,0
456,2,2
457,2,0
458,2,0
459,2,0
460,2,0
461,2,0
462,2,2
463,2,0
464,1,1
465,2,0
466,0,0
467,2,2
468,1,0
469,2,1
470,2,0
471,1,0
472,2,0
473,2,0
474,1,0
475,2,0
476,2,1
477,2,1
478,2,2
479,2,0
480,2,0
481,2,0
482,2,0
483,2,2
484,1,0
485,2,0
486,2,0
487,2,0
488,2,0
489,2,0
490,2,0
491,2,0
492,2,1
493,2,0
494,2,1
495,2,1
496,2,0
497,2,0
498,2,0
499,1,0
500,1,0
501,2,0
502,2,0
503,2,1
504,2,0
505,0,0
506,2,0
507,2,0
508,2,2
509,1,0
510,2,1
511,2,1
512,2,1
513,2,0
514,2,0
515,2,0
516,2,2
517,2,2
518,2,1
519,2,1
520,0,0
521,1,1
522,2,0
523,2,0
524,2,0
525,2,0
526,2,0
527,2,1
528,2,0
529,2,0
530,0,0
531,2,0
532,0,0
533,2,0
534,2,1
535,2,1
536,2,0
537,2,1
538,2,0
539,2,0
540,2,0
541,2,0
542,2,0
543,2,0
544,2,0
545,2,1
546,2,0
547,2,0
548,0,0
549,1,1
550,2,0
551,2,1
552,2,0
553,0,0
554,2,0
555,0,0
556,2,0
557,2,0
558,0,0
559,2,0
560,2,0
561,2,1
562,2,0
563,2,0
564,1,0
565,0,0
566,2,0
567,2,0
568,2,0
569,2,1
570,2,2
571,2,0
572,2,0
573,2,2
574,2,0
575,2,1
576,1,0
577,2,0
578,2,0
579,2,0
580,1,0
581,2,0
582,2,1
583,2,2
584,2,0
585,2,0
586,2,1
587,2,0
588,1,0
589,2,0
590,2,1
591,2,1
592,0,0
593,2,0
594,2,0
595,1,0
596,2,0
597,0,0
598,2,1
599,2,0
600,2,2
601,2,0
602,2,2
603,2,0
604,2,0
605,2,0
606,2,0
607,1,0
608,2,2
609,1,0
610,1,0
611,2,0
612,2,2
613,2,0
614,0,0
615,2,1
616,2,2
617,1,0
618,2,0
619,1,0
620,2,2
621,2,0
622,0,0
623,2,1
624,2,1
625,2,0
626,2,1
627,2,1
628,2,0
629,2,0
630,2,0
631,1,0
632,2,0
633,2,2
634,1,1
635,2,0
636,2,1
637,2,0
638,2,0
639,2,1
640,2,1
641,2,0
642,0,0
643,2,0
644,0,0
645,1,0
646,2,1
647,2,0
648,2,0
649,2,0
650,2,0
651,2,0
652,2,0
653,2,0
654,2,0
655,2,0
656,2,0
657,2,2
658,2,0
659,2,0
660,2,1
661,2,0
662,2,0
663,2,1
664,2,2
665,2,2
666,2,0
667,1,0
668,1,0
669,2,0
670,2,2
671,2,0
672,2,0
673,2,1
674,2,2
675,2,0
676,2,0
677,2,1
678,2,0
679,2,0
680,2,1
681,0,0
682,2,0
683,2,1
684,1,0
685,2,1
686,2,0
687,2,0
688,0,0
689,2,0
690,2,1
691,1,1
692,2,0
693,2,2
694,2,0
695,2,0
696,2,0
697,2,0
698,0,0
699,2,0
700,2,0
701,2,2
702,2,2
703,2,0
704,2,0
705,2,1
706,2,0
707,2,0
708,2,1
709,0,0
710,2,2
711,2,1
712,2,0
713,2,0
714,2,1
715,2,1
716,2,0
717,2,0
718,2,0
719,0,0
720,2,1
721,2,0
722,2,0
723,2,0
724,2,0
725,1,0
726,2,2
727,2,0
728,2,0
729,2,1
730,2,0
731,2,1
732,2,0
733,2,1
734,2,1
735,2,2
736,2,2
737,2,0
738,2,0
739,2,0
740,2,0
741,2,0
742,2,2
743,2,1
744,2,0
745,2,1
746,2,0
747,2,1
748,2,2
749,2,1
750,2,0
751,2,0
752,2,0
753,1,1
754,2,0
755,2,1
756,2,1
757,2,1
758,2,2
759,0,0
760,0,0
761,0,0
762,2,0
763,2,0
764,1,0
765,2,1
766,2,0
767,2,0
768,2,0
769,2,0
770,2,1
771,2,0
772,2,0
773,2,1
774,2,0
775,1,0
776,2,0
777,2,0
778,2,0
779,2,2
780,2,1
781,2,1
782,2,1
783,2,0
784,2,0
785,2,1
786,2,0
787,1,0
788,2,1
789,2,0
790,2,1
791,2,0
792,2,0
793,2,1
794,2,2
795,0,0
796,2,0
797,2,0
798,2,0
799,2,0
800,2,1
801,2,1
802,2,0
803,2,1
804,2,0
805,1,0
806,2,1
807,2,1
808,2,1
809,2,2
810,2,2
811,2,0
812,2,0
813,2,0
814,2,1
815,2,0
816,2,0
817,2,0
818,2,0
819,2,1
820,2,0
821,2,1
822,2,0
823,2,1
824,2,2
825,2,0
826,2,0
827,2,1
828,1,1
829,2,0
830,2,0
831,2,0
832,1,0
833,2,1
834,2,1
835,2,1
836,2,0
837,2,0
838,2,1
839,2,1
840,2,0
841,2,1
842,2,1
843,2,0
844,2,0
845,2,0
846,2,0
847,2,0
848,2,0
849,2,0
850,2,0
851,2,0
852,2,1
853,2,0
854,2,0
855,2,0
856,2,2
857,2,0
858,2,0
859,2,0
860,2,0
861,2,0
862,2,0
863,2,0
864,2,0
865,2,0
866,2,0
867,2,0
868,2,2
869,2,0
870,2,0
871,1,1
872,0,0
873,2,0
874,2,0
875,2,0
876,2,1
877,2,0
878,2,0
879,0,0
880,2,0
881,2,1
882,2,0
883,2,0
884,2,0
885,2,1
886,2,0
887,2,0
888,1,1
889,2,1
890,1,0
891,2,2
892,2,0
893,0,0
894,2,1
895,2,0
896,0,0
897,0,0
898,2,0
899,2,0
900,2,0
901,2,1
902,2,0
903,2,0
904,2,0
905,2,0
906,2,0
907,2,0
908,2,0
909,2,0
910,2,2
911,2,0
912,2,1
913,2,0
914,2,0
915,2,1
916,1,1
917,2,0
918,2,1
919,2,1
920,2,0
921,2,0
922,2,1
923,2,0
924,1,0
925,0,0
926,0,0
927,0,0
928,0,0
929,2,1
930,2,0
931,2,1
932,2,1
933,2,2
934,0,0
935,2,0
936,2,1
937,2,0
938,2,0
939,2,0
940,2,1
941,2,0
942,2,0
943,2,0
944,2,0
945,2,0
946,2,0
947,0,0
948,2,0
949,2,0
950,2,0
951,2,0
952,2,1
953,0,0
954,2,1
955,2,0
956,2,0
957,2,0
958,2,0
959,2,0
960,2,1
961,2,0
962,2,0
963,2,0
964,2,0
965,2,0
966,2,1
967,2,0
968,2,0
969,2,0
970,2,0
971,2,0
972,2,1
973,2,0
974,2,1
975,2,0
976,2,0
977,0,0
978,2,1
979,0,0
980,2,1
981,2,1
982,2,1
983,2,0
984,2,0
985,2,2
986,2,0
987,2,1
988,2,0
989,1,0
990,2,0
991,1,0
992,2,1
993,2,0
994,2,0
995,2,0
996,2,0
997,2,2
998,2,1
999,2,0
