SRC_middle Query: Small,Depth,# Hops,BBoxes,Data Size
"[54, 24, 60, 30]",6,6,"[52, 24, 60, 32]",64
"[48, 56, 54, 62]",6,6,"[48, 56, 56, 64]",64
"[26, 2, 32, 8]",6,6,"[24, 0, 32, 8]",64
"[16, 32, 22, 38]",6,6,"[16, 32, 24, 40]",64
"[31, 25, 37, 31]",4,4,"[24, 24, 40, 40]",256
"[58, 50, 64, 56]",6,6,"[56, 48, 64, 56]",64
"[53, 19, 59, 25]",5,5,"[52, 16, 60, 32]",128
"[30, 22, 36, 28]",6,6,"[28, 20, 36, 28]",64
"[37, 57, 43, 63]",6,6,"[36, 56, 44, 64]",64
"[58, 13, 64, 19]",6,6,"[56, 12, 64, 20]",64
"[32, 8, 38, 14]",6,6,"[32, 8, 40, 16]",64
"[18, 8, 24, 14]",6,6,"[16, 8, 24, 16]",64
"[48, 6, 54, 12]",6,6,"[48, 4, 56, 12]",64
"[39, 51, 45, 57]",4,4,"[32, 48, 48, 64]",256
"[16, 58, 22, 64]",6,6,"[16, 56, 24, 64]",64
"[34, 45, 40, 51]",6,6,"[32, 44, 40, 52]",64
"[51, 38, 57, 44]",4,4,"[48, 32, 64, 48]",256
"[57, 9, 63, 15]",6,6,"[56, 8, 64, 16]",64
"[19, 6, 25, 12]",4,4,"[16, 0, 32, 16]",256
"[46, 4, 52, 10]",6,6,"[44, 4, 52, 12]",64
"[57, 54, 63, 60]",6,6,"[56, 52, 64, 60]",64
"[43, 21, 49, 27]",4,4,"[40, 16, 56, 32]",256
"[30, 35, 36, 41]",5,5,"[28, 32, 36, 48]",128
"[6, 22, 12, 28]",6,6,"[4, 20, 12, 28]",64
"[27, 20, 33, 26]",4,4,"[24, 16, 40, 32]",256
"[39, 40, 45, 46]",4,4,"[32, 32, 48, 48]",256
"[58, 13, 64, 19]",6,6,"[56, 12, 64, 20]",64
"[35, 30, 41, 36]",4,4,"[32, 24, 48, 40]",256
"[28, 55, 34, 61]",5,5,"[28, 48, 36, 64]",128
"[33, 16, 39, 22]",6,6,"[32, 16, 40, 24]",64
"[3, 51, 9, 57]",4,4,"[0, 48, 16, 64]",256
"[58, 35, 64, 41]",5,5,"[56, 32, 64, 48]",128
"[58, 0, 64, 6]",6,6,"[56, 0, 64, 8]",64
"[5, 46, 11, 52]",6,6,"[4, 44, 12, 52]",64
"[53, 25, 59, 31]",6,6,"[52, 24, 60, 32]",64
"[45, 52, 51, 58]",6,6,"[44, 52, 52, 60]",64
"[50, 42, 56, 48]",6,6,"[48, 40, 56, 48]",64
"[40, 0, 46, 6]",6,6,"[40, 0, 48, 8]",64
"[39, 31, 45, 37]",4,4,"[32, 24, 48, 40]",256
"[52, 55, 58, 61]",5,5,"[52, 48, 60, 64]",128
"[21, 15, 27, 21]",5,5,"[20, 8, 28, 24]",128
"[46, 20, 52, 26]",6,6,"[44, 20, 52, 28]",64
"[45, 55, 51, 61]",5,5,"[44, 48, 52, 64]",128
"[4, 12, 10, 18]",6,6,"[4, 12, 12, 20]",64
