,L2 Norm
0,0.0530439440464225
1,0.007723988606931008
2,0.02612563662169574
3,0.0340244030072535
4,0.028327724935123193
5,0.02458305649561639
6,0.02694868138836165
7,0.018228686184143934
8,0.019252211673493193
9,0.022694933355266775
10,0.020947170857711292
11,0.018461491452931612
12,0.012141800262295017
13,0.01667170400066278
14,0.017318390995316728
15,0.018833248524882808
16,0.013629519662422962
17,0.0172471003109451
18,0.016166143959717667
19,0.01555827753962502
20,0.012497805703094075
21,0.016120378766339476
22,0.017872587282804754
23,0.016905176721939367
24,0.012701968351401305
25,0.01151010361409059
26,0.011383701920296016
27,0.00909624277672167
28,0.011567825114664906
29,0.012275268723014661
30,0.014485676301023143
31,0.013873727419118501
32,0.015227076434736612
33,0.014570404187965841
34,0.015145107649478311
35,0.011914023275841129
36,0.014289773220726129
37,0.014578592053431892
38,0.018064004476449326
39,0.015740393895960804
40,0.013694388052355427
41,0.011538760470573926
42,0.01227685277730978
43,0.010810103936014588
44,0.009634595585636447
45,0.007998244136231411
46,0.0055745062529146475
47,0.006173160994714702
48,0.006207157535033508
49,0.006903622237637306
50,0.004806268334353283
51,0.007055586564924827
52,0.007394034619408277
53,0.006096406551363371
54,0.006989992846920523
55,0.006229808199622363
56,0.007286033558169543
57,0.008105946790168406
58,0.006314747016031013
59,0.004748567035315917
60,0.004516411591406824
61,0.0044126697731118325
62,0.005046933666156816
63,0.005190496122722778
64,0.0048270318712838895
65,0.005001261548838435
66,0.005683838809579055
67,0.0055357410584079775
68,0.005153050537950395
69,0.0063289745115102675
70,0.004483301469348932
71,0.005090338221560184
72,0.004459869642741744
73,0.004598292629435023
74,0.0039617616732402884
75,0.004383221598202323
76,0.0038985304132063804
77,0.003477348510391511
78,0.004011561164570088
79,0.0038018087800414575
80,0.004282674232595
81,0.003309663531965827
82,0.0033353205959860046
83,0.0017353598828204198
84,0.0024243145501485976
85,0.003268111327592816
86,0.0032563958834609854
87,0.0025287356786013377
88,0.002049287275144371
89,0.002179761001736548
90,0.001828554918564538
91,0.0017255666722165947
92,0.0012399364818003011
93,0.0010905038892448473
94,0.0010548135280452875
95,0.0014084689283836837
96,0.0007181757335867863
97,0.00030177870590650317
98,0.00043955761493493336
99,0.0
