,DAG,KD
0,4,0
1,4,0
2,4,0
3,2,0
4,4,1
5,2,0
6,2,1
7,4,1
8,4,0
9,3,1
10,2,2
11,4,0
12,2,2
13,2,1
14,3,0
15,2,1
16,3,1
17,2,0
18,2,0
19,4,0
20,2,2
21,2,0
22,2,0
23,4,1
24,4,0
25,4,1
26,2,0
27,3,0
28,4,1
29,4,2
30,3,0
31,2,0
32,2,0
33,2,1
34,2,1
35,4,0
36,2,0
37,4,1
38,4,3
39,3,0
40,2,0
41,3,1
42,2,0
43,4,1
44,2,1
45,3,1
46,4,1
47,2,0
48,2,2
49,2,1
50,3,0
51,2,2
52,4,0
53,3,1
54,4,0
55,4,0
56,4,0
57,2,2
58,3,0
59,3,0
60,4,2
61,4,0
62,3,0
63,4,2
64,4,1
65,2,2
66,4,0
67,3,1
68,2,0
69,2,0
70,3,0
71,4,0
72,2,0
73,4,2
74,3,1
75,2,0
76,2,1
77,2,0
78,3,1
79,3,0
80,3,0
81,3,0
82,2,1
83,2,0
84,3,0
85,4,0
86,3,0
87,4,1
88,3,1
89,4,0
90,4,2
91,3,2
92,4,1
93,3,0
94,4,1
95,2,2
96,2,0
97,2,0
98,2,0
99,2,1
100,4,0
101,2,1
102,2,0
103,2,2
104,4,0
105,4,0
106,3,0
107,2,0
108,3,0
109,4,0
110,3,0
111,4,0
112,4,0
113,2,0
114,2,1
115,4,1
116,4,0
117,2,0
118,2,0
119,4,0
120,3,1
121,4,1
122,4,3
123,4,0
124,2,0
125,3,0
126,2,1
127,4,1
128,3,0
129,4,1
130,4,2
131,4,0
132,2,0
133,4,1
134,4,0
135,4,1
136,2,0
137,2,0
138,2,1
139,4,1
140,3,0
141,3,1
142,2,0
143,4,0
144,2,0
145,3,2
146,3,0
147,4,0
148,2,1
149,3,1
150,3,0
151,4,0
152,2,0
153,2,0
154,4,1
155,3,0
156,4,2
157,4,0
158,4,0
159,4,1
160,4,3
161,2,1
162,4,0
163,4,0
164,4,1
165,4,0
166,2,0
167,2,2
168,4,0
169,2,0
170,3,0
171,4,0
172,4,1
173,4,0
174,4,2
175,2,0
176,4,0
177,4,0
178,4,0
179,3,0
180,3,0
181,4,1
182,4,1
183,3,2
184,2,0
185,2,0
