SRC Query,Depth,BBoxes,Data Size
"[[(39.492782, 41.797486), (-117.277438, -114.836519)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(37.372629, 39.677333), (-117.682247, -115.241328)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(39.706476, 42.01118), (-119.990997, -117.550078)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(35.136793, 37.441497), (-118.936274, -116.495355)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(37.081232, 39.385936), (-119.018087, -116.577168)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(32.582866, 34.88757), (-117.695901, -115.254982)]]",2,"[[32.541302, 37.009014], [-117.970444, -114.294258]]",5262
"[[(38.350839, 40.655543), (-119.842154, -117.401235)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(35.709936, 38.01464), (-123.906023, -121.465104)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(34.49176, 36.796464), (-121.587406, -119.146487)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(35.650103, 37.954807), (-123.706411, -121.265492)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(34.769519, 37.074223), (-117.490361, -115.049442)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(37.546885, 39.851589), (-123.02269, -120.581771)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(35.870346, 38.17505), (-122.185508, -119.744589)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(33.726941, 36.031645), (-117.650843, -115.209924)]]",2,"[[32.541302, 37.009014], [-117.970444, -114.294258]]",5262
"[[(38.273133, 40.577837), (-120.687796, -118.246877)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(39.681898, 41.986602), (-119.340454, -116.899535)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(37.668445, 39.973149), (-123.990233, -121.549314)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(38.538013, 40.842717), (-123.262929, -120.82201)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(38.951974, 41.256678), (-120.294369, -117.85345)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(36.138599, 38.443303), (-123.461196, -121.020277)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(32.995067, 35.299771), (-119.133707, -116.692788)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(33.849678, 36.154382), (-119.839079, -117.39816)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(36.588445, 38.893149), (-122.595169, -120.15425)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(39.623215, 41.927919), (-124.177831, -121.736912)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(39.476092, 41.780796), (-119.216433, -116.775514)]]",4,"[[38.773846, 42.017231], [-120.90374, -114.294258]]",1316
"[[(35.244223, 37.548927), (-120.931928, -118.491009)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(34.969647, 37.274351), (-119.507329, -117.06641)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(33.767013, 36.071717), (-121.360313, -118.919394)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(32.995086, 35.29979), (-119.301855, -116.860936)]]",1,"[[32.541302, 37.009014], (-124.389343, -114.294258)]",10524
"[[(38.868389, 41.173093), (-122.265261, -119.824342)]]",1,"[[37.009014, 42.017231], (-124.389343, -114.294258)]",10524
"[[(35.473647, 37.778351), (-121.570394, -119.129475)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(36.403627, 38.708331), (-120.403756, -117.962837)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(37.951199, 40.255903), (-120.045981, -117.605062)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(34.893156, 37.19786), (-116.948147, -114.507228)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(33.352506, 35.65721), (-123.669599, -121.22868)]]",2,"[[32.541302, 37.009014], [-124.389343, -117.970444]]",5262
"[[(37.519602, 39.824306), (-118.028259, -115.58734)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
"[[(39.5598, 41.864504), (-121.478542, -119.037623)]]",3,"[[38.773846, 42.017231], [-121.790939, -114.294258]]",2631
"[[(36.682441, 38.987145), (-118.761232, -116.320313)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(36.326108, 38.630812), (-122.26383, -119.822911)]]",0,"[(32.541302, 42.017231), (-124.389343, -114.294258)]",21048
"[[(38.24392, 40.548624), (-119.108379, -116.66746)]]",2,"[[37.009014, 42.017231], [-121.790939, -114.294258]]",5262
