,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,1316,4,1316,inf,0.0
1,0,5262,2,5262,inf,0.0
2,2,1316,4,1314,658.0,0.1519756838905775
3,1870,21048,0,19178,11.255614973262032,8.884454580007601
4,409,5262,2,4853,12.865525672371637,7.772709996199163
5,3122,5262,2,2140,1.6854580397181294,59.331052831622955
6,94,5262,2,5168,55.97872340425532,1.7863930064614217
7,1300,21048,0,19748,16.19076923076923,6.176358798935766
8,2300,5262,2,2962,2.287826086956522,43.709616115545415
9,1398,21048,0,19650,15.055793991416309,6.6419612314709235
10,1046,21048,0,20002,20.122370936902485,4.9695933105283165
11,3256,10524,1,7268,3.232186732186732,30.938806537438236
12,2627,21048,0,18421,8.012181195279787,12.480995819080198
13,2036,5262,2,3226,2.5844793713163066,38.69251235271759
14,948,5262,2,4314,5.550632911392405,18.015963511972636
15,0,1316,4,1316,inf,0.0
16,2981,10524,1,7543,3.530358939953036,28.325731660965413
17,2882,10524,1,7642,3.6516308119361556,27.385024705435196
18,310,1316,4,1006,4.245161290322581,23.556231003039514
19,2168,21048,0,18880,9.708487084870848,10.300266058532877
20,3138,10524,1,7386,3.3537284894837476,29.817559863169897
21,3093,10524,1,7431,3.402521823472357,29.389965792474342
22,3125,21048,0,17923,6.73536,14.84701634359559
23,2486,10524,1,8038,4.233306516492357,23.622196883314327
24,0,1316,4,1316,inf,0.0
25,2718,21048,0,18330,7.743929359823399,12.913340935005701
26,2344,21048,0,18704,8.979522184300341,11.136450019004181
27,2036,5262,2,3226,2.5844793713163066,38.69251235271759
28,3038,10524,1,7486,3.464121132323897,28.867350817179783
29,2380,10524,1,8144,4.421848739495799,22.614975294564804
30,2331,21048,0,18717,9.029601029601029,11.074686431014822
31,1967,21048,0,19081,10.700559227249618,9.34530596731281
32,357,5262,2,4905,14.739495798319327,6.784492588369441
33,685,21048,0,20363,30.727007299270074,3.2544659825161535
34,0,5262,2,5262,inf,0.0
35,2,5262,2,5260,2631.0,0.03800836183960471
36,1392,2631,3,1239,1.8900862068965518,52.90763968072976
37,506,21048,0,20542,41.59683794466403,2.404028886354998
38,2826,21048,0,18222,7.447983014861996,13.426453819840365
39,4,5262,2,5258,1315.5,0.07601672367920942
40,2704,10524,1,7820,3.8920118343195265,25.693652603572787
41,667,21048,0,20381,31.55622188905547,3.168947168377043
42,2987,10524,1,7537,3.5232674924673586,28.38274420372482
43,0,1316,4,1316,inf,0.0
44,0,1315,4,1315,inf,0.0
45,0,1316,4,1316,inf,0.0
46,2278,10524,1,8246,4.619841966637401,21.645762067654882
47,2547,10524,1,7977,4.131919905771496,24.201824401368302
48,2199,21048,0,18849,9.57162346521146,10.447548460661347
49,1237,2631,3,1394,2.1269199676637025,47.01634359559103
50,2268,5262,2,2994,2.32010582010582,43.10148232611174
51,1871,21048,0,19177,11.24959914484233,8.889205625237553
52,2678,5262,2,2584,1.9648991784914116,50.89319650323071
53,1592,2631,3,1039,1.6526381909547738,60.5093120486507
54,2980,10524,1,7544,3.531543624161074,28.316229570505513
55,93,21048,0,20955,226.32258064516128,0.44184720638540476
56,2317,21048,0,18731,9.084160552438497,11.008171797795516
57,2415,5262,2,2847,2.1788819875776397,45.89509692132269
58,2378,5262,2,2884,2.2127838519764507,45.191942227290006
59,2541,21048,0,18507,8.283353010625738,12.072405929304447
60,0,21048,0,21048,inf,0.0
61,178,21048,0,20870,118.24719101123596,0.845686050931205
62,3054,21048,0,17994,6.8919449901768175,14.5096921322691
63,2969,10524,1,7555,3.5446278208150894,28.2117065754466
64,1652,21048,0,19396,12.7409200968523,7.848726719878374
65,2784,5262,2,2478,1.8900862068965518,52.90763968072976
66,319,5262,2,4943,16.495297805642632,6.062333713416952
67,3,5262,2,5259,1754.0,0.05701254275940707
68,267,5262,2,4995,19.707865168539325,5.074116305587229
69,1048,21048,0,20000,20.083969465648856,4.979095400988218
70,1593,21048,0,19455,13.212806026365348,7.568415051311289
71,3097,10524,1,7427,3.3981272198902164,29.42797415431395
72,1502,10524,1,9022,7.006657789613848,14.27213987077157
73,618,21048,0,20430,34.05825242718446,2.936145952109464
74,1586,2631,3,1045,1.658890290037831,60.281261877613076
75,0,21048,0,21048,inf,0.0
76,1520,5262,2,3742,3.461842105263158,28.886354998099584
77,649,21048,0,20399,32.431432973805855,3.0834283542379324
78,1271,2631,3,1360,2.070023603461841,48.30862789813759
79,2125,5262,2,3137,2.476235294117647,40.38388445458001
80,2907,10524,1,7617,3.6202270381836947,27.622576966932726
81,927,21048,0,20121,22.705501618122977,4.404218928164196
82,2986,10524,1,7538,3.524447421299397,28.37324211326492
83,0,5262,2,5262,inf,0.0
84,1568,2631,3,1063,1.6779336734693877,59.597111364500186
85,3340,10524,1,7184,3.1508982035928144,31.736982136069937
86,0,5262,2,5262,inf,0.0
87,2291,5262,2,2971,2.296813618507202,43.5385784872672
88,2153,21048,0,18895,9.776126335346028,10.229000380083617
89,322,21048,0,20726,65.36645962732919,1.5298365640440899
90,553,21048,0,20495,38.061482820976494,2.6273280121626756
91,1640,21048,0,19408,12.834146341463414,7.791714177118966
92,550,21048,0,20498,38.269090909090906,2.613074876472824
93,1954,5262,2,3308,2.692937563971341,37.1341695172938
94,2185,10524,1,8339,4.8164759725400454,20.762067654884074
95,664,5262,2,4598,7.924698795180723,12.618776130748765
96,2349,21048,0,18699,8.960408684546616,11.160205245153934
97,3204,10524,1,7320,3.284644194756554,30.444697833523378
98,1523,2631,3,1108,1.7275114904793172,57.88673508171798
99,1621,21048,0,19427,12.984577421344849,7.701444317749904
100,1867,21048,0,19181,11.273701124799143,8.87020144431775
101,135,5262,2,5127,38.977777777777774,2.565564424173318
102,2502,21048,0,18546,8.412470023980815,11.887115165336375
103,331,5262,2,4931,15.897280966767372,6.29038388445458
104,2766,10524,1,7758,3.804772234273319,26.28278221208666
105,0,5262,2,5262,inf,0.0
106,2290,5262,2,2972,2.2978165938864628,43.519574306347394
107,418,21048,0,20630,50.354066985645936,1.9859369061193461
108,2783,21048,0,18265,7.56306144448437,13.22215887495249
109,2798,10524,1,7726,3.761258041458184,26.586849106803495
110,0,1315,4,1315,inf,0.0
111,2569,10524,1,7955,4.096535616971584,24.410870391486128
112,2290,5262,2,2972,2.2978165938864628,43.519574306347394
113,748,1315,4,567,1.7580213903743316,56.88212927756654
114,2141,5262,2,3121,2.4577300326950025,40.687951349296846
115,0,1315,4,1315,inf,0.0
116,2057,10524,1,8467,5.1161886242100145,19.54580007601672
117,2758,10524,1,7766,3.815808556925308,26.206765488407452
118,1033,5262,2,4229,5.093901258470474,19.631318890155836
119,2727,21048,0,18321,7.718371837183718,12.956100342075255
120,2512,21048,0,18536,8.378980891719745,11.93462561763588
121,416,1316,4,900,3.1634615384615383,31.61094224924012
122,2689,10524,1,7835,3.9137225734473784,25.55112124667427
123,2684,10524,1,7840,3.9210134128166914,25.503610794374765
124,2674,21048,0,18374,7.871353777112939,12.704294944887875
125,0,1316,4,1316,inf,0.0
126,0,5262,2,5262,inf,0.0
127,0,5262,2,5262,inf,0.0
128,1928,10524,1,8596,5.45850622406639,18.320030406689472
129,628,21048,0,20420,33.51592356687898,2.98365640440897
130,913,1315,4,402,1.4403066812705367,69.4296577946768
131,2404,10524,1,8120,4.3777038269550745,22.84302546560243
132,18,21048,0,21030,1169.3333333333333,0.08551881413911061
133,2980,10524,1,7544,3.531543624161074,28.316229570505513
134,2357,10524,1,8167,4.464997878659313,22.396427213987078
135,2390,10524,1,8134,4.403347280334728,22.709996199163815
136,2552,21048,0,18496,8.247648902821316,12.124667426833904
137,2452,5262,2,2810,2.1460032626427408,46.59825161535538
138,431,21048,0,20617,48.835266821345705,2.047700494108704
