,DAG,KD
0,5,3
1,6,6
2,5,5
3,4,0
4,4,2
5,6,6
6,7,7
7,6,6
8,6,6
9,6,6
10,4,2
11,4,3
12,6,6
13,6,6
14,5,5
15,5,5
16,5,5
17,6,6
18,5,3
19,4,0
20,6,6
21,4,0
22,4,4
23,4,3
24,5,3
25,6,6
26,4,0
27,4,2
28,5,5
29,6,6
30,4,2
31,4,0
32,4,2
33,6,6
34,6,6
35,5,5
36,5,5
37,4,4
38,4,4
39,6,6
40,6,6
41,6,6
42,5,5
43,5,3
44,4,2
45,4,4
46,5,5
47,6,6
48,5,5
49,6,6
50,4,0
51,4,4
52,5,3
53,4,4
54,4,2
55,5,3
56,5,5
57,6,6
58,5,3
59,4,4
60,5,5
61,4,2
62,4,2
63,4,4
64,5,5
65,4,0
66,5,5
67,4,4
68,6,6
69,5,5
70,5,3
71,5,3
72,4,4
73,4,0
74,6,6
75,4,2
76,5,5
77,4,4
78,4,2
79,4,4
80,7,7
81,6,6
82,6,6
83,6,6
84,4,4
85,6,6
86,4,2
87,5,5
88,4,4
89,4,0
90,4,4
91,6,6
92,5,5
93,6,6
94,4,4
95,5,5
96,5,5
97,4,2
98,4,4
99,4,4
100,4,4
101,4,2
102,6,6
103,4,4
104,4,0
105,5,5
106,6,6
107,5,3
108,6,6
109,5,5
110,4,1
111,4,2
112,4,4
113,4,2
114,6,6
115,5,3
116,4,4
117,4,0
118,6,6
119,4,2
120,4,4
121,6,6
122,4,0
123,4,2
124,4,4
125,5,5
126,6,6
127,5,5
128,4,2
129,6,6
130,4,2
131,4,4
132,6,6
133,5,5
134,4,3
135,6,6
136,5,5
137,6,6
138,4,4
139,4,2
140,5,5
141,7,7
142,7,7
143,6,6
144,4,1
145,5,1
146,4,2
147,4,4
148,6,6
149,4,2
150,4,0
151,5,1
152,6,6
153,4,0
154,5,1
155,5,3
156,6,6
157,6,6
158,4,2
159,6,6
160,4,0
161,5,5
162,4,4
163,4,4
164,4,2
165,5,3
166,5,3
167,5,5
168,5,5
169,5,5
170,4,4
171,4,4
172,5,5
173,5,5
174,4,4
175,4,4
176,6,6
177,4,4
178,4,2
179,4,4
180,5,3
181,4,2
182,4,4
183,6,6
184,6,6
185,6,6
186,4,2
187,4,3
188,5,5
189,4,0
190,5,5
191,4,3
192,4,0
193,4,4
194,4,4
195,5,5
196,4,4
197,6,6
198,7,7
199,4,4
200,4,2
201,5,3
202,4,4
203,4,2
204,6,6
205,4,4
206,4,4
207,4,2
208,6,6
209,6,6
210,4,4
211,5,5
212,5,3
213,6,6
214,6,6
215,4,2
216,6,6
217,4,4
218,4,4
219,5,3
220,4,4
221,6,6
222,4,4
223,4,4
224,4,4
225,6,6
226,4,0
227,4,2
228,6,6
229,4,4
230,4,1
231,5,5
232,6,6
233,4,3
234,4,2
235,4,4
236,6,6
237,5,5
238,4,2
239,4,4
240,4,2
241,5,5
242,5,1
243,4,0
244,4,3
245,4,4
246,6,6
247,4,4
248,5,5
249,4,4
250,4,4
251,4,2
252,4,4
253,4,4
254,4,4
255,5,3
256,4,4
257,4,4
258,4,0
259,6,6
260,5,3
261,4,0
262,4,4
263,4,0
264,6,6
265,5,5
266,5,3
267,5,5
268,6,6
269,6,6
270,6,6
271,6,6
272,6,6
273,5,5
274,5,5
275,5,3
276,6,6
277,5,5
278,4,2
279,6,6
280,5,3
281,4,4
282,5,5
283,4,3
284,4,4
285,5,3
286,5,5
287,4,4
288,6,6
289,5,1
290,6,6
291,5,1
292,4,0
293,6,6
294,6,6
295,6,6
296,6,6
297,6,6
298,5,1
299,5,1
300,7,7
301,4,4
302,4,4
303,4,4
304,6,6
305,4,4
306,6,6
307,4,4
308,6,6
309,5,3
310,7,7
311,4,4
312,4,4
313,4,4
314,5,5
315,5,5
316,5,5
317,6,6
318,4,4
319,4,4
320,4,2
321,4,3
322,6,6
323,4,4
324,5,3
325,4,0
326,4,1
327,4,4
328,5,3
329,4,4
330,4,4
331,6,6
332,4,4
333,4,2
334,6,6
335,5,3
336,5,5
337,5,3
338,4,0
339,4,4
340,4,3
341,5,5
342,4,4
343,4,4
344,5,1
345,4,0
346,5,3
347,4,2
348,4,0
349,5,3
350,4,2
351,4,4
352,4,3
353,6,6
354,5,5
355,4,4
356,4,4
357,5,3
358,4,0
359,4,4
360,4,0
361,6,6
362,5,5
363,6,6
364,4,4
365,4,2
366,5,5
367,6,6
368,6,6
369,6,6
370,4,1
371,4,2
372,5,1
373,6,6
374,5,5
375,4,4
376,4,4
377,4,4
378,6,6
379,5,5
380,5,5
381,4,2
382,4,4
383,6,6
384,5,5
385,4,4
386,4,3
387,8,8
388,4,2
389,6,6
390,6,6
391,4,1
392,4,3
393,4,4
394,4,2
395,4,3
396,5,3
397,6,6
398,4,0
399,4,1
400,6,6
401,5,1
402,5,3
403,4,4
404,6,6
405,5,1
406,4,3
407,6,6
408,6,6
409,4,0
410,4,4
411,5,5
412,5,5
413,4,0
414,4,2
415,4,4
416,4,4
417,6,6
418,4,4
419,6,6
420,6,6
421,6,6
422,4,0
423,5,5
424,6,6
425,5,3
426,4,4
427,5,5
428,6,6
429,4,4
430,5,1
431,5,1
432,6,6
433,4,4
434,5,3
435,4,4
436,4,2
437,4,3
438,6,6
439,4,4
440,4,3
441,4,4
442,5,5
443,4,2
444,6,6
445,4,4
446,5,5
447,4,4
448,4,4
449,6,6
450,4,4
451,5,5
452,6,6
453,4,2
454,6,6
455,4,3
456,4,2
457,6,6
458,6,6
459,6,6
460,4,3
461,7,7
462,6,6
463,4,0
464,5,5
465,6,6
466,4,0
467,6,6
468,6,6
469,4,4
470,6,6
471,5,1
472,4,4
473,4,4
474,4,0
475,4,4
476,4,2
477,6,6
478,6,6
479,6,6
480,5,3
481,4,2
482,6,6
483,4,0
484,6,6
485,4,3
486,5,5
487,4,4
488,4,4
489,6,6
490,5,3
491,4,0
492,5,5
493,4,1
494,5,5
495,5,3
496,4,2
497,5,5
498,4,4
499,4,4
500,4,2
501,4,0
502,4,2
503,6,6
504,6,6
505,5,5
506,4,2
507,4,4
508,6,6
509,5,5
510,6,6
511,5,5
512,5,3
513,4,0
514,5,3
515,4,0
516,4,4
517,5,5
518,6,6
519,4,3
520,4,2
521,6,6
522,5,5
523,5,5
524,6,6
525,4,2
526,4,2
527,4,2
528,6,6
529,5,1
530,4,4
531,6,6
532,5,5
533,6,6
534,6,6
535,5,5
536,4,3
537,5,5
538,5,5
539,4,0
540,5,3
541,4,4
542,4,2
543,5,5
544,7,7
545,6,6
546,4,0
547,4,4
548,4,3
549,6,6
550,4,4
551,6,6
552,6,6
553,4,0
554,5,5
555,4,0
556,4,4
557,5,1
558,5,5
559,5,5
560,6,6
561,4,4
562,6,6
563,4,3
564,5,5
565,4,2
566,5,1
567,4,4
568,4,2
569,6,6
570,5,3
571,6,6
572,5,5
573,6,6
574,4,2
575,4,2
576,6,6
577,6,6
578,6,6
579,4,2
580,5,5
581,4,2
582,4,0
583,4,4
584,4,0
585,5,5
586,6,6
587,4,4
588,4,4
589,4,2
590,6,6
591,4,0
592,6,6
593,5,5
594,4,1
595,5,5
596,4,2
597,4,3
598,4,2
599,5,3
600,6,6
601,6,6
602,5,5
603,6,6
604,4,4
605,4,2
606,5,3
607,5,5
608,6,6
609,4,4
610,6,6
611,6,6
612,4,2
613,4,4
614,5,3
615,5,5
616,4,2
617,4,2
618,4,2
619,7,7
620,4,4
621,5,5
622,5,3
623,4,2
624,5,5
625,6,6
626,4,4
627,6,6
628,6,6
