,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,20,256,0,236,12.8,7.8125
1,16,64,2,48,4.0,25.0
2,16,128,1,112,8.0,12.5
3,16,64,2,48,4.0,25.0
4,20,64,2,44,3.2,31.25
5,16,256,0,240,16.0,6.25
6,20,128,1,108,6.4,15.625
7,20,128,1,108,6.4,15.625
8,16,256,0,240,16.0,6.25
9,16,256,0,240,16.0,6.25
10,16,128,1,112,8.0,12.5
11,16,256,0,240,16.0,6.25
12,16,64,2,48,4.0,25.0
13,16,256,0,240,16.0,6.25
14,16,256,0,240,16.0,6.25
15,16,64,2,48,4.0,25.0
16,20,256,0,236,12.8,7.8125
17,16,64,2,48,4.0,25.0
18,16,256,0,240,16.0,6.25
19,16,256,0,240,16.0,6.25
20,20,64,2,44,3.2,31.25
21,16,64,2,48,4.0,25.0
22,20,64,2,44,3.2,31.25
23,16,256,0,240,16.0,6.25
24,16,128,1,112,8.0,12.5
25,16,256,0,240,16.0,6.25
26,16,256,0,240,16.0,6.25
27,16,128,1,112,8.0,12.5
28,20,256,0,236,12.8,7.8125
29,16,256,0,240,16.0,6.25
30,20,128,1,108,6.4,15.625
31,16,64,2,48,4.0,25.0
32,25,64,2,39,2.56,39.0625
33,20,256,0,236,12.8,7.8125
34,20,256,0,236,12.8,7.8125
35,20,256,0,236,12.8,7.8125
36,16,64,2,48,4.0,25.0
37,16,256,0,240,16.0,6.25
38,20,128,1,108,6.4,15.625
39,20,256,0,236,12.8,7.8125
40,16,256,0,240,16.0,6.25
41,16,128,1,112,8.0,12.5
42,16,256,0,240,16.0,6.25
43,16,256,0,240,16.0,6.25
44,20,256,0,236,12.8,7.8125
45,16,64,2,48,4.0,25.0
46,16,64,2,48,4.0,25.0
47,16,256,0,240,16.0,6.25
48,20,256,0,236,12.8,7.8125
49,16,256,0,240,16.0,6.25
50,16,64,2,48,4.0,25.0
51,16,128,1,112,8.0,12.5
52,16,64,2,48,4.0,25.0
53,16,256,0,240,16.0,6.25
54,20,256,0,236,12.8,7.8125
55,16,256,0,240,16.0,6.25
56,16,64,2,48,4.0,25.0
57,20,64,2,44,3.2,31.25
58,16,256,0,240,16.0,6.25
59,16,64,2,48,4.0,25.0
60,16,64,2,48,4.0,25.0
61,20,128,1,108,6.4,15.625
62,20,64,2,44,3.2,31.25
63,16,64,2,48,4.0,25.0
64,16,256,0,240,16.0,6.25
65,16,128,1,112,8.0,12.5
66,20,128,1,108,6.4,15.625
67,16,64,2,48,4.0,25.0
68,16,64,2,48,4.0,25.0
69,16,64,2,48,4.0,25.0
70,20,128,1,108,6.4,15.625
71,16,128,1,112,8.0,12.5
72,16,256,0,240,16.0,6.25
73,16,256,0,240,16.0,6.25
74,16,256,0,240,16.0,6.25
75,16,64,2,48,4.0,25.0
76,16,256,0,240,16.0,6.25
77,16,64,2,48,4.0,25.0
78,16,256,0,240,16.0,6.25
79,16,128,1,112,8.0,12.5
80,20,256,0,236,12.8,7.8125
81,16,64,2,48,4.0,25.0
82,16,64,2,48,4.0,25.0
83,20,128,1,108,6.4,15.625
84,20,64,2,44,3.2,31.25
85,20,256,0,236,12.8,7.8125
86,20,256,0,236,12.8,7.8125
87,20,256,0,236,12.8,7.8125
88,16,64,2,48,4.0,25.0
89,16,256,0,240,16.0,6.25
90,16,128,1,112,8.0,12.5
91,25,64,2,39,2.56,39.0625
92,20,128,1,108,6.4,15.625
93,16,64,2,48,4.0,25.0
94,16,64,2,48,4.0,25.0
95,20,256,0,236,12.8,7.8125
96,16,64,2,48,4.0,25.0
97,16,256,0,240,16.0,6.25
98,16,64,2,48,4.0,25.0
99,20,64,2,44,3.2,31.25
100,16,256,0,240,16.0,6.25
101,16,256,0,240,16.0,6.25
102,16,256,0,240,16.0,6.25
103,16,128,1,112,8.0,12.5
104,16,128,1,112,8.0,12.5
105,16,64,2,48,4.0,25.0
106,20,128,1,108,6.4,15.625
107,16,256,0,240,16.0,6.25
108,16,64,2,48,4.0,25.0
109,16,256,0,240,16.0,6.25
110,20,64,2,44,3.2,31.25
111,16,64,2,48,4.0,25.0
112,16,256,0,240,16.0,6.25
113,16,256,0,240,16.0,6.25
114,16,256,0,240,16.0,6.25
115,16,256,0,240,16.0,6.25
116,16,64,2,48,4.0,25.0
117,16,256,0,240,16.0,6.25
118,25,256,0,231,10.24,9.765625
119,16,64,2,48,4.0,25.0
120,16,256,0,240,16.0,6.25
121,16,64,2,48,4.0,25.0
122,16,256,0,240,16.0,6.25
123,20,256,0,236,12.8,7.8125
124,16,256,0,240,16.0,6.25
125,16,64,2,48,4.0,25.0
126,16,256,0,240,16.0,6.25
127,16,256,0,240,16.0,6.25
128,16,256,0,240,16.0,6.25
