BRC Query,Data Size
"[[(0.068609, 1.668609), (1.145897, 2.745897)]]",1
"[[(1.273201, 2.873201), (9.190131, 10.790131)]]",1
"[[(5.684279, 7.284279), (1.177309, 2.777309)]]",2
"[[(4.645388, 6.245388), (1.903964, 3.503964)]]",4
"[[(7.945825, 9.545825), (9.369652, 10.969652)]]",2
"[[(7.538265, 9.138265), (4.271023, 5.871023)]]",2
"[[(3.673342, 5.273342), (9.575687, 11.175687)]]",4
"[[(9.42826, 11.02826), (11.730624, 13.330624)]]",4
"[[(4.933659, 6.533659), (10.465758, 12.065758)]]",4
"[[(10.563295, 12.163295), (3.319887, 4.919887)]]",2
"[[(10.734796, 12.334796), (12.155439, 13.755439)]]",2
"[[(8.627374, 10.227374), (7.615571, 9.215571)]]",4
"[[(12.58408, 14.18408), (5.216662, 6.816662)]]",2
"[[(1.522907, 3.122907), (9.889682, 11.489682)]]",4
"[[(1.86942, 3.46942), (6.576581, 8.176581)]]",4
"[[(11.342344, 12.942344), (7.649274, 9.249274)]]",2
"[[(7.001463, 8.601463), (2.957966, 4.557966)]]",2
"[[(1.511403, 3.111403), (4.07046, 5.67046)]]",2
"[[(0.683293, 2.283293), (2.505218, 4.105218)]]",4
"[[(6.859412, 8.459412), (11.878707, 13.478707)]]",4
"[[(12.211805, 13.811805), (9.288742, 10.888742)]]",1
"[[(6.811944, 8.411944), (6.680867, 8.280867)]]",4
"[[(0.172111, 1.772111), (6.216793, 7.816793)]]",1
"[[(8.074137, 9.674137), (9.440974, 11.040974)]]",2
"[[(9.193049, 10.793049), (4.711667, 6.311667)]]",2
"[[(9.90954, 11.50954), (8.738133, 10.338133)]]",4
"[[(6.723797, 8.323797), (9.274351, 10.874351)]]",2
"[[(8.854218, 10.454218), (3.512286, 5.112286)]]",4
"[[(10.782417, 12.382417), (10.094601, 11.694601)]]",2
"[[(12.864197, 14.464197), (12.119377, 13.719377)]]",2
"[[(3.966549, 5.566549), (9.152373, 10.752373)]]",2
"[[(0.246628, 1.846628), (7.984835, 9.584835)]]",2
"[[(4.14015, 5.74015), (3.460516, 5.060516)]]",2
"[[(6.720937, 8.320937), (12.266721, 13.866721)]]",2
"[[(7.128546, 8.728546), (9.676513, 11.276513)]]",2
"[[(12.959161, 14.559161), (8.88288, 10.48288)]]",4
"[[(6.599959, 8.199959), (5.45595, 7.05595)]]",4
"[[(7.150732, 8.750732), (3.389749, 4.989749)]]",1
"[[(2.159341, 3.759341), (2.889037, 4.489037)]]",2
"[[(12.009708, 13.609708), (9.015742, 10.615742)]]",1
"[[(7.82605, 9.42605), (8.552389, 10.152389)]]",4
"[[(10.358868, 11.958868), (13.158637, 14.758637)]]",1
"[[(7.832845, 9.432845), (10.296148, 11.896148)]]",2
"[[(0.090636, 1.690636), (10.195046, 11.795046)]]",1
"[[(10.559194, 12.159194), (7.213477, 8.813477)]]",2
"[[(7.188202, 8.788202), (11.471969, 13.071969)]]",2
"[[(9.542779, 11.142779), (11.604518, 13.204518)]]",4
"[[(9.82462, 11.42462), (7.86616, 9.46616)]]",4
"[[(1.747885, 3.347885), (8.397266, 9.997266)]]",2
"[[(2.336558, 3.936558), (3.173347, 4.773347)]]",1
"[[(1.073965, 2.673965), (0.373065, 1.973065)]]",1
"[[(11.696882, 13.296882), (4.691108, 6.291108)]]",4
"[[(2.504881, 4.104881), (9.342456, 10.942456)]]",2
"[[(9.346788, 10.946788), (12.092398, 13.692398)]]",1
"[[(12.970408, 14.570408), (4.422511, 6.022511)]]",4
"[[(13.390469, 14.990469), (10.045635, 11.645635)]]",1
"[[(13.234973, 14.834973), (11.883275, 13.483275)]]",2
"[[(2.511822, 4.111822), (11.156455, 12.756455)]]",2
"[[(1.555435, 3.155435), (11.221369, 12.821369)]]",2
"[[(13.205837, 14.805837), (8.54508, 10.14508)]]",2
"[[(2.439425, 4.039425), (1.900273, 3.500273)]]",4
"[[(5.446377, 7.046377), (1.344998, 2.944998)]]",2
"[[(7.68031, 9.28031), (2.244175, 3.844175)]]",2
"[[(5.141224, 6.741224), (8.971641, 10.571641)]]",2
"[[(10.649894, 12.249894), (11.235887, 12.835887)]]",2
"[[(3.096493, 4.696493), (12.333291, 13.933291)]]",1
"[[(9.094868, 10.694868), (3.285658, 4.885658)]]",1
"[[(11.916477, 13.516477), (5.637535, 7.237535)]]",4
"[[(8.452228, 10.052228), (5.437614, 7.037614)]]",4
"[[(9.679254, 11.279254), (1.354202, 2.954202)]]",2
"[[(12.095045, 13.695045), (13.236322, 14.836322)]]",1
"[[(0.939888, 2.539888), (10.93546, 12.53546)]]",4
"[[(4.842427, 6.442427), (10.513675, 12.113675)]]",4
"[[(4.598257, 6.198257), (3.560576, 5.160576)]]",4
"[[(6.59499, 8.19499), (1.838737, 3.438737)]]",4
"[[(1.563108, 3.163108), (6.653011, 8.253011)]]",4
"[[(7.651163, 9.251163), (6.736188, 8.336188)]]",4
"[[(12.175762, 13.775762), (1.871795, 3.471795)]]",2
"[[(6.895725, 8.495725), (6.561541, 8.161541)]]",4
"[[(11.202346, 12.802346), (5.936197, 7.536197)]]",2
"[[(3.799534, 5.399534), (11.664074, 13.264074)]]",4
"[[(7.768834, 9.368834), (9.511849, 11.111849)]]",4
"[[(1.393657, 2.993657), (4.6602, 6.2602)]]",2
"[[(4.301072, 5.901072), (12.822971, 14.422971)]]",2
"[[(11.451342, 13.051342), (10.914254, 12.514254)]]",4
"[[(4.288782, 5.888782), (7.902488, 9.502488)]]",2
"[[(9.465435, 11.065435), (8.651049, 10.251049)]]",4
"[[(1.672317, 3.272317), (9.343336, 10.943336)]]",2
"[[(5.611506, 7.211506), (4.221219, 5.821219)]]",2
"[[(10.349253, 11.949253), (10.148372, 11.748372)]]",1
"[[(4.968719, 6.568719), (9.094122, 10.694122)]]",2
"[[(11.460157, 13.060157), (5.476203, 7.076203)]]",4
"[[(5.868016, 7.468016), (2.12526, 3.72526)]]",2
"[[(9.906888, 11.506888), (9.849142, 11.449142)]]",4
"[[(5.891532, 7.491532), (3.011437, 4.611437)]]",2
"[[(7.435015, 9.035015), (4.455183, 6.055183)]]",4
"[[(6.575917, 8.175917), (13.394582, 14.994582)]]",2
"[[(10.430532, 12.030532), (7.618602, 9.218602)]]",4
"[[(2.226408, 3.826408), (4.423188, 6.023188)]]",2
"[[(1.467713, 3.067713), (9.70434, 11.30434)]]",4
"[[(8.205167, 9.805167), (12.23461, 13.83461)]]",1
"[[(6.659896, 8.259896), (6.089495, 7.689495)]]",2
"[[(12.681376, 14.281376), (13.286214, 14.886214)]]",2
"[[(4.273837, 5.873837), (8.264858, 9.864858)]]",1
"[[(10.826593, 12.426593), (1.243146, 2.843146)]]",2
"[[(11.90142, 13.50142), (12.963359, 14.563359)]]",4
"[[(9.445612, 11.045612), (7.786818, 9.386818)]]",4
"[[(1.430412, 3.030412), (3.956367, 5.556367)]]",4
"[[(11.499431, 13.099431), (6.704795, 8.304795)]]",4
"[[(11.108611, 12.708611), (8.550199, 10.150199)]]",2
"[[(3.731704, 5.331704), (7.857162, 9.457162)]]",4
"[[(4.214536, 5.814536), (2.203931, 3.803931)]]",1
"[[(7.037101, 8.637101), (2.424325, 4.024325)]]",2
"[[(11.46857, 13.06857), (12.304369, 13.904369)]]",2
"[[(7.149152, 8.749152), (8.746796, 10.346796)]]",2
"[[(0.966241, 2.566241), (1.915002, 3.515002)]]",4
"[[(0.126269, 1.726269), (7.612807, 9.212807)]]",2
"[[(2.854298, 4.454298), (6.607122, 8.207122)]]",4
"[[(5.403368, 7.003368), (4.231831, 5.831831)]]",2
"[[(4.555698, 6.155698), (5.778579, 7.378579)]]",4
"[[(3.008427, 4.608427), (10.359574, 11.959574)]]",1
"[[(12.982756, 14.582756), (5.834248, 7.434248)]]",4
"[[(1.718725, 3.318725), (6.287075, 7.887075)]]",2
"[[(4.983836, 6.583836), (12.193673, 13.793673)]]",2
"[[(11.706139, 13.306139), (13.354974, 14.954974)]]",2
"[[(0.598786, 2.198786), (13.078164, 14.678164)]]",2
"[[(3.838314, 5.438314), (0.206293, 1.806293)]]",2
"[[(0.253107, 1.853107), (6.592452, 8.192452)]]",2
"[[(3.221257, 4.821257), (2.58315, 4.18315)]]",2
"[[(13.126174, 14.726174), (4.061834, 5.661834)]]",1
"[[(9.79378, 11.39378), (0.323358, 1.923358)]]",2
"[[(7.812789, 9.412789), (11.725835, 13.325835)]]",4
"[[(3.940738, 5.540738), (13.136505, 14.736505)]]",2
"[[(5.270236, 6.870236), (8.139275, 9.739275)]]",1
"[[(0.42196, 2.02196), (8.039703, 9.639703)]]",2
"[[(4.241182, 5.841182), (12.673319, 14.273319)]]",2
"[[(10.252608, 11.852608), (5.311433, 6.911433)]]",1
"[[(5.653192, 7.253192), (12.026089, 13.626089)]]",2
"[[(0.526533, 2.126533), (11.846102, 13.446102)]]",4
"[[(3.721965, 5.321965), (3.680815, 5.280815)]]",4
"[[(1.41916, 3.01916), (12.482825, 14.082825)]]",4
"[[(10.966812, 12.566812), (0.187993, 1.787993)]]",2
"[[(2.131225, 3.731225), (8.0093, 9.6093)]]",1
"[[(5.386698, 6.986698), (0.965038, 2.565038)]]",2
"[[(8.905886, 10.505886), (8.869413, 10.469413)]]",4
"[[(6.208926, 7.808926), (8.701333, 10.301333)]]",2
"[[(8.431419, 10.031419), (8.741819, 10.341819)]]",4
"[[(1.697202, 3.297202), (11.169982, 12.769982)]]",2
"[[(1.191057, 2.791057), (11.419839, 13.019839)]]",2
"[[(12.426272, 14.026272), (0.679274, 2.279274)]]",4
"[[(7.380072, 8.980072), (8.336852, 9.936852)]]",1
"[[(11.933317, 13.533317), (9.496842, 11.096842)]]",4
"[[(13.20305, 14.80305), (13.396545, 14.996545)]]",1
"[[(3.727632, 5.327632), (12.587352, 14.187352)]]",4
"[[(1.946634, 3.546634), (5.595895, 7.195895)]]",4
"[[(4.414336, 6.014336), (5.602322, 7.202322)]]",4
"[[(3.989774, 5.589774), (4.282087, 5.882087)]]",2
"[[(6.849572, 8.449572), (8.576696, 10.176696)]]",4
"[[(3.021117, 4.621117), (9.951479, 11.551479)]]",2
"[[(1.739096, 3.339096), (4.961896, 6.561896)]]",4
"[[(7.025288, 8.625288), (8.864959, 10.464959)]]",2
"[[(10.961157, 12.561157), (3.019502, 4.619502)]]",2
"[[(2.717787, 4.317787), (12.70224, 14.30224)]]",4
"[[(6.165516, 7.765516), (0.197611, 1.797611)]]",1
"[[(6.380391, 7.980391), (1.37274, 2.97274)]]",1
"[[(9.5059, 11.1059), (7.526328, 9.126328)]]",4
"[[(4.707832, 6.307832), (1.440195, 3.040195)]]",4
"[[(0.800285, 2.400285), (8.756488, 10.356488)]]",4
"[[(4.860777, 6.460777), (11.996171, 13.596171)]]",4
"[[(7.875192, 9.475192), (3.439671, 5.039671)]]",4
"[[(1.937291, 3.537291), (11.991594, 13.591594)]]",4
"[[(9.255498, 10.855498), (4.589918, 6.189918)]]",2
"[[(8.303167, 9.903167), (0.472525, 2.072525)]]",2
"[[(4.192181, 5.792181), (10.551253, 12.151253)]]",2
"[[(1.283591, 2.883591), (12.349093, 13.949093)]]",1
"[[(2.766335, 4.366335), (6.554512, 8.154512)]]",4
"[[(10.781605, 12.381605), (2.09261, 3.69261)]]",2
"[[(8.241924, 9.841924), (10.792133, 12.392133)]]",2
"[[(3.753622, 5.353622), (12.540087, 14.140087)]]",4
"[[(9.535564, 11.135564), (8.862992, 10.462992)]]",4
"[[(1.833724, 3.433724), (9.902846, 11.502846)]]",4
"[[(5.917747, 7.517747), (13.396552, 14.996552)]]",2
"[[(11.42681, 13.02681), (10.780184, 12.380184)]]",4
"[[(6.403161, 8.003161), (10.234476, 11.834476)]]",2
"[[(4.384788, 5.984788), (0.327535, 1.927535)]]",1
"[[(12.347733, 13.947733), (12.181077, 13.781077)]]",1
"[[(9.479819, 11.079819), (0.409072, 2.009072)]]",4
"[[(7.033633, 8.633633), (5.791682, 7.391682)]]",2
"[[(11.85661, 13.45661), (6.797525, 8.397525)]]",4
"[[(11.042195, 12.642195), (10.276228, 11.876228)]]",1
"[[(9.2392, 10.8392), (7.064912, 8.664912)]]",1
"[[(10.654609, 12.254609), (12.086342, 13.686342)]]",2
"[[(6.794819, 8.394819), (13.135716, 14.735716)]]",2
"[[(10.854862, 12.454862), (5.754291, 7.354291)]]",4
"[[(9.642243, 11.242243), (3.771378, 5.371378)]]",4
"[[(9.366553, 10.966553), (11.100161, 12.700161)]]",1
"[[(0.529637, 2.129637), (5.357659, 6.957659)]]",2
"[[(10.849383, 12.449383), (4.947221, 6.547221)]]",4
"[[(10.292703, 11.892703), (1.729059, 3.329059)]]",2
"[[(8.659551, 10.259551), (13.141414, 14.741414)]]",2
"[[(13.071694, 14.671694), (9.000362, 10.600362)]]",1
"[[(12.096181, 13.696181), (13.328192, 14.928192)]]",1
"[[(11.914087, 13.514087), (10.90878, 12.50878)]]",4
"[[(5.568267, 7.168267), (2.63276, 4.23276)]]",4
"[[(13.073663, 14.673663), (11.827302, 13.427302)]]",2
"[[(1.147597, 2.747597), (7.646257, 9.246257)]]",2
"[[(6.018788, 7.618788), (7.294955, 8.894955)]]",1
"[[(11.145888, 12.745888), (13.187107, 14.787107)]]",1
"[[(7.774604, 9.374604), (9.578469, 11.178469)]]",4
"[[(10.8668, 12.4668), (0.08447, 1.68447)]]",2
