SRC Query,Depth,BBoxes,Data Size
"[[(9.75155, 14.55155), (9.66784, 14.46784)]]",2,"[[8, 15], [8, 15]]",64
"[[(0.576824, 5.376824), (0.865694, 5.665694)]]",2,"[[0, 8], [0, 8]]",64
"[[(8.522089, 13.322089), (7.506894, 12.306894)]]",1,"[[8, 15], (0, 15)]",128
"[[(6.83125, 11.63125), (3.142992, 7.942992)]]",0,"[(0, 15), (0, 15)]",256
"[[(6.18063, 10.98063), (6.189378, 10.989378)]]",0,"[(0, 15), (0, 15)]",256
"[[(5.928281, 10.728281), (1.615505, 6.415505)]]",0,"[(0, 15), (0, 15)]",256
"[[(4.39283, 9.19283), (4.014025, 8.814025)]]",0,"[(0, 15), (0, 15)]",256
"[[(7.374723, 12.174723), (10.14716, 14.94716)]]",0,"[(0, 15), (0, 15)]",256
"[[(9.683834, 14.483834), (5.550606, 10.350606)]]",1,"[[8, 15], (0, 15)]",128
"[[(4.537513, 9.337513), (2.736056, 7.536056)]]",0,"[(0, 15), (0, 15)]",256
"[[(0.366428, 5.166428), (0.279938, 5.079938)]]",2,"[[0, 8], [0, 8]]",64
"[[(4.741917, 9.541917), (3.248344, 8.048344)]]",0,"[(0, 15), (0, 15)]",256
"[[(3.876152, 8.676152), (9.096252, 13.896252)]]",0,"[(0, 15), (0, 15)]",256
"[[(5.362678, 10.162678), (5.717206, 10.517206)]]",0,"[(0, 15), (0, 15)]",256
"[[(2.408459, 7.208459), (0.243352, 5.043352)]]",2,"[[0, 8], [0, 8]]",64
"[[(3.316458, 8.116458), (1.394313, 6.194313)]]",0,"[(0, 15), (0, 15)]",256
"[[(5.204283, 10.004283), (10.186572, 14.986572)]]",0,"[(0, 15), (0, 15)]",256
"[[(6.879693, 11.679693), (1.854804, 6.654804)]]",0,"[(0, 15), (0, 15)]",256
"[[(9.11443, 13.91443), (8.126951, 12.926951)]]",2,"[[8, 15], [8, 15]]",64
"[[(7.490897, 12.290897), (9.247255, 14.047255)]]",0,"[(0, 15), (0, 15)]",256
"[[(7.781432, 12.581432), (8.055426, 12.855426)]]",0,"[(0, 15), (0, 15)]",256
"[[(3.608627, 8.408627), (10.005961, 14.805961)]]",0,"[(0, 15), (0, 15)]",256
"[[(9.81139, 14.61139), (1.644083, 6.444083)]]",2,"[[8, 15], [0, 8]]",64
"[[(7.690842, 12.490842), (7.294539, 12.094539)]]",0,"[(0, 15), (0, 15)]",256
"[[(4.706348, 9.506348), (5.409628, 10.209628)]]",0,"[(0, 15), (0, 15)]",256
"[[(4.998142, 9.798142), (9.433287, 14.233287)]]",0,"[(0, 15), (0, 15)]",256
"[[(5.108579, 9.908579), (8.48155, 13.28155)]]",0,"[(0, 15), (0, 15)]",256
"[[(3.610027, 8.410027), (9.005079, 13.805079)]]",0,"[(0, 15), (0, 15)]",256
"[[(9.176946, 13.976946), (4.702324, 9.502324)]]",1,"[[8, 15], (0, 15)]",128
"[[(5.790592, 10.590592), (9.38737, 14.18737)]]",0,"[(0, 15), (0, 15)]",256
"[[(7.382484, 12.182484), (4.963407, 9.763407)]]",0,"[(0, 15), (0, 15)]",256
"[[(2.262472, 7.062472), (3.311606, 8.111606)]]",1,"[[0, 8], (0, 15)]",128
"[[(7.135631, 11.935631), (1.693911, 6.493911)]]",0,"[(0, 15), (0, 15)]",256
"[[(9.260993, 14.060993), (2.735003, 7.535003)]]",2,"[[8, 15], [0, 8]]",64
"[[(9.296054, 14.096054), (3.157544, 7.957544)]]",2,"[[8, 15], [0, 8]]",64
"[[(9.765089, 14.565089), (7.203299, 12.003299)]]",1,"[[8, 15], (0, 15)]",128
"[[(5.143338, 9.943338), (5.281027, 10.081027)]]",0,"[(0, 15), (0, 15)]",256
"[[(6.644427, 11.444427), (5.997036, 10.797036)]]",0,"[(0, 15), (0, 15)]",256
"[[(3.180812, 7.980812), (2.119748, 6.919748)]]",2,"[[0, 8], [0, 8]]",64
"[[(5.221295, 10.021295), (9.528374, 14.328374)]]",0,"[(0, 15), (0, 15)]",256
"[[(6.357304, 11.157304), (0.768829, 5.568829)]]",0,"[(0, 15), (0, 15)]",256
"[[(8.36808, 13.16808), (7.404683, 12.204683)]]",1,"[[8, 15], (0, 15)]",128
"[[(9.258067, 14.058067), (1.952308, 6.752308)]]",2,"[[8, 15], [0, 8]]",64
"[[(7.596784, 12.396784), (0.599341, 5.399341)]]",0,"[(0, 15), (0, 15)]",256
"[[(6.659681, 11.459681), (2.785617, 7.585617)]]",0,"[(0, 15), (0, 15)]",256
"[[(2.311489, 7.111489), (8.93001, 13.73001)]]",2,"[[0, 8], [8, 15]]",64
"[[(1.083913, 5.883913), (5.328099, 10.128099)]]",1,"[[0, 8], (0, 15)]",128
"[[(8.710219, 13.510219), (2.497286, 7.297286)]]",2,"[[8, 15], [0, 8]]",64
"[[(2.146885, 6.946885), (8.981934, 13.781934)]]",2,"[[0, 8], [8, 15]]",64
