,L2 Norm
0,0.11628258683053108
1,0.0679826448441071
2,0.08190289643501288
3,0.07516741315224305
4,0.06653750821904891
5,0.04659966618859934
6,0.04923172197861447
7,0.04909572282796129
8,0.04029104609043711
9,0.03800842011975766
10,0.04234475193608915
11,0.038554088989078396
12,0.03745570638538809
13,0.03354660480402676
14,0.03268360105278757
15,0.030625499995918435
16,0.030987438017346523
17,0.024830496979458824
18,0.02258833322279298
19,0.019739300899474642
20,0.017357991356881663
21,0.019699486086345402
22,0.0178567901018358
23,0.018186564027080847
24,0.017046993869888033
25,0.016842844775106832
26,0.017744859956327755
27,0.017899583851051303
28,0.016613220528058723
29,0.017883449828760056
30,0.01871890873487998
31,0.01613684642363557
32,0.014790050759522026
33,0.012802594892683258
34,0.01220769245607215
35,0.011896591481970325
36,0.012186257213142386
37,0.011549129069824632
38,0.010431973054098945
39,0.0113914441577879
40,0.010602291739285693
41,0.011186244387284924
42,0.009215887943628006
43,0.008923430019100573
44,0.007741534603984633
45,0.007371784967739228
46,0.007598716862923579
47,0.00743964604892823
48,0.006867207142950468
49,0.007227724399837068
50,0.007330859391865234
51,0.007636590521489269
52,0.006774682204703343
53,0.007367350954196801
54,0.005557840117964852
55,0.005760722035244112
56,0.0057751113718560185
57,0.006632822933815121
58,0.005441782452968968
59,0.005527305954179778
60,0.00533113241786012
61,0.00525153364448394
62,0.005214114418195754
63,0.00604082465396903
64,0.0053900851339732415
65,0.005699464315201664
66,0.006310485180419704
67,0.006040079515505849
68,0.006295363246366084
69,0.005540500235280465
70,0.005982571393976933
71,0.005938434137043213
72,0.005492237822554057
73,0.004445363471250315
74,0.0038867295592395837
75,0.00406049817502273
76,0.00467163562972401
77,0.004605290957092083
78,0.004809614229875193
79,0.003956324051439685
80,0.003137601311599398
81,0.0028221989055877655
82,0.0035286184558955933
83,0.004034499747009129
84,0.003986812170177676
85,0.004110912281193417
86,0.003982309274547254
87,0.0036534428458782826
88,0.003163404078355974
89,0.0034279893685819876
90,0.0032427981196754166
91,0.003039456970701934
92,0.0027101544212341276
93,0.0025497103928426735
94,0.002568744587042987
95,0.001410919715804015
96,0.0015449051273400873
97,0.001353822853330801
98,0.0007350621023122446
99,0.0
