,L2 Norm
0,0.012303657992645888
1,0.030122748878546903
2,0.03955083929436758
3,0.03365828278447969
4,0.01598061325481596
5,0.020694658462726327
6,0.007899392898398295
7,0.0036062445840514268
8,0.008123871241632108
9,0.00890954544295048
10,0.00826672109641731
11,0.01598061325481596
12,0.017068469841256845
13,0.020021223433024815
14,0.020694658462726327
15,0.025703331496131035
16,0.025131406893700692
17,0.0214803326640447
18,0.02267951960289903
19,0.022344574285494915
20,0.01867435337362188
21,0.017266261947882437
22,0.016595488716717312
23,0.017159124556793547
24,0.01484924240491753
25,0.015436684961595577
26,0.012837916449542474
27,0.013455231893435423
28,0.010128695065685967
29,0.010795163526114654
30,0.009137644404623608
31,0.0071417784899841285
32,0.004409775017217895
33,0.0035022582927004215
34,0.003858782720189424
35,0.0030169889330625846
36,0.0029851372762524386
37,0.0018384776310849977
38,0.0003880021824972484
39,0.000989949493661195
40,0.0029905442892133012
41,0.0035490026065267267
42,0.004739259868324746
43,0.005554002354047021
44,0.005703994701571483
45,0.005847465642681759
46,0.00598483143736184
47,0.00611647365726365
48,0.007397202776249474
49,0.006646803743153502
50,0.005371238569248367
51,0.006864375060441675
52,0.007233835787912202
53,0.0081133955856145
54,0.007161063220380151
55,0.007505433406022927
56,0.006597182214649236
57,0.006207909878968761
58,0.00583183321568427
59,0.005703994701571483
60,0.0055803476141509005
61,0.005460689142453533
62,0.004895872665929737
63,0.005453561049901255
64,0.005341375839424502
65,0.00566113974513593
66,0.005338128506330693
67,0.007520288590501647
68,0.007179695810134728
69,0.008061017305526597
70,0.00692566275545247
71,0.007000357133746834
72,0.006685549320204851
73,0.00618813988508658
74,0.005892556509887895
75,0.005046509448889239
76,0.004406101735237699
77,0.0032381864389722133
78,0.002457867368529448
79,0.002404163056034213
80,0.0027009733098656242
81,0.001783288809138707
82,0.001739653068895111
83,0.001191980002571612
84,0.0011563275598226745
85,0.0017792779935903627
86,0.0010874814634800089
87,0.0013756441015810891
88,0.0007039287731812413
89,0.000989949493661195
90,0.001269684044460255
91,0.00031358648556969185
92,0.000594577960094506
93,0.0008695908926081316
94,9.67619805834416e-05
95,0.000518544972870117
96,0.00038052550492717293
97,0.000251095061074401
98,0.0005528289380185786
99,0.0
