,L2 Norm
0,0.0688722004875697
1,0.02644579361637683
2,0.05473006486383874
3,0.051194530957906055
4,0.046244783489600184
5,0.02644579361637683
6,0.034527013972794576
7,0.02821356056934326
8,0.029588490421650394
9,0.02644579361637683
10,0.030302739695576224
11,0.0346953727302199
12,0.03623650289434441
13,0.03250670888369013
14,0.025502984574794812
15,0.021142492757477777
16,0.02311823229314604
17,0.02094607420714817
18,0.021235533123423363
19,0.020081832585697935
20,0.017017703200556254
21,0.016160604071845282
22,0.014763159840251321
23,0.014071424945612296
24,0.01400071426749365
25,0.014479371165527598
26,0.015970137598798353
27,0.013818886809474221
28,0.012303657992645867
29,0.01088944443027277
30,0.005460689142453533
31,0.004790648442538842
32,0.005018315398602682
33,0.006480425676992022
34,0.006242742725332648
35,0.004839753080121249
36,0.005805920003364126
37,0.006349074572127597
38,0.006864375060441675
39,0.007707463914933344
40,0.00816449634667585
41,0.009609917873840024
42,0.009014789242941045
43,0.0090895362599798
44,0.008846691506845028
45,0.00892184295218847
46,0.009294692966320187
47,0.009062751912207586
48,0.0085516628271663
49,0.009475230867899694
50,0.008144206338607367
51,0.007952231646882501
52,0.007233835787912202
53,0.0081133955856145
54,0.007675322697606703
55,0.007252895269884831
56,0.007341505142213959
57,0.006695569728062929
58,0.006550924857568922
59,0.006646803743153502
60,0.006507700769805366
61,0.005232590180780405
62,0.005569307695631152
63,0.0067793862646259645
64,0.007952231646882501
65,0.007375338002557855
66,0.00765997166843577
67,0.008560151504011272
68,0.0075896127847355785
69,0.007454925778795327
70,0.007523217781807254
71,0.007000357133746834
72,0.006879277205461404
73,0.006761469707670222
74,0.00513830927662219
75,0.004674347985106829
76,0.00440610173523768
77,0.0032381864389722133
78,0.0035319536184330153
79,0.0016970562748477038
80,0.0014788134411481354
81,0.0005760333290641125
82,0.0010581043641369483
83,0.002033773789698451
84,0.0021545959567919443
85,0.0014503911186198254
86,5.0391517739774825e-05
87,7.071067811864696e-05
88,0.0007261748292185856
89,0.001052803429766626
90,0.0012168452959759903
91,0.00014757011085637754
92,0.0004698838610466054
93,0.0009357881231873076
94,0.0015407484600591125
95,0.001396535892843454
96,0.001109501568006164
97,0.0014055551119912272
98,0.00012427937366315143
99,0.0
