,L2 Norm
0,0.016122034611053337
1,0.012162236636408573
2,0.0019798989873223848
3,0.0019798989873223848
4,0.0008485281374238078
5,0.00037712361663280345
6,0.002060711190886482
7,0.005091168824543096
8,0.009019539831135018
9,0.01357645019878167
10,0.013447885329475065
11,0.013340747938386166
12,0.009986523463526926
13,0.011152084091856395
14,0.010276618553244472
15,0.011278353159925397
16,0.012162236636408573
17,0.011376562435090207
18,0.006951976143455104
19,0.009333809511662381
20,0.009468496517602716
21,0.007662466210676004
22,0.007858108403099213
23,0.003323401871576746
24,0.004242640687119284
25,0.0018275990652206213
26,0.000639015017072259
27,0.0005454823740581379
28,0.0014922391382282026
29,0.0010370899457402929
30,0.0019798989873223848
31,0.001537957249080758
32,0.0011227998586114125
33,0.0007320634911107681
34,0.0011717769516805447
35,0.00037712361663280345
36,0.001077860066457347
37,0.0013695541867191556
38,0.002734146220587987
39,0.002262741699796904
40,0.002849122932975993
41,0.0023974287057372343
42,0.0019667435123234883
43,0.0009128105720771513
44,0.0002199887763691615
45,0.0004796028602830552
46,0.00042727303373826775
47,0.000506759859850372
48,0.0011140539491347702
49,0.0
