,L2 Norm
0,0.04949747468305835
1,0.014142135623730963
2,0.016499158227686155
3,0.0
4,0.007071067811865481
5,0.0023570226039550954
6,0.011111677990074353
7,0.0017677669529663508
8,0.005499719409228739
9,0.005656854249492385
10,0.009642365197998378
11,0.0011785113019775867
12,0.0038074980525430015
13,0.0
14,0.007071067811865481
15,0.007071067811865481
16,0.007902958142673193
17,0.003928371006591936
18,0.006326744884300681
19,0.007071067811865481
20,0.009091372900969927
21,0.007713892158398731
22,0.007685943273766835
23,0.004124789556921544
24,0.0036769552621700938
25,0.0010878565864409053
26,0.0007856742013184501
27,0.001010152544552164
28,0.0021944693209237647
29,0.0023570226039550954
30,0.004790078195134618
31,0.0035355339059327017
32,0.00021427478217772342
33,0.0008318903308077314
34,0.0026263966158357756
35,0.0007856742013184501
36,0.0013377695860285505
37,0.0011164843913471132
38,0.005620592363277654
39,0.00601040764008564
40,0.006381207537537142
41,0.004714045207910288
42,0.007399954686835921
43,0.008678128678198515
44,0.006442528450810737
45,0.0064561923499641075
46,0.004362999288172254
47,0.00324090608043828
48,0.001010152544552164
49,0.0
