,L2 Norm
0,0.04044650788387049
1,0.033375440072005005
2,0.016876281844318945
3,0.01923330444827405
4,0.0008485281374238078
5,0.00037712361663280345
6,0.004081016279990918
7,0.0015556349186103952
8,0.002734146220587987
9,0.002262741699796904
10,0.0018770470918770194
11,0.00037712361663280345
12,0.0012836707720001689
13,4.0406101782051035e-05
14,0.0017913371790058998
15,0.0006717514421272198
16,0.00364367964893774
17,0.004336921591277489
18,0.0019798989873223848
19,0.0005656854249492886
20,0.0019798989873223848
21,0.0019798989873223848
22,0.003209649911125024
23,0.005515432893255082
24,0.003676955262170084
25,0.005787397039865308
26,0.006693944195232678
27,0.005515432893255082
28,0.0063688376291699145
29,0.006222539674441669
30,0.006541878220783944
31,0.005957374631496708
32,0.005836845066521706
33,0.005307460310553173
34,0.005616448147710334
35,0.005515432893255082
36,0.00427321827765712
37,0.004585029233799119
38,0.0034303744359101243
39,0.003394112549695476
40,0.004049479810307399
41,0.0026533340170238062
42,0.0013221252373813398
43,0.0006942502942558873
44,0.0016656293067950176
45,0.0007501480635196624
46,0.000475416474159496
47,0.0008013876853447883
48,0.0005368239236763572
49,0.0
