BRC Query,Num Of Points
"[[(210096, 349943), [228617, 219328]]]",0
"[[(29342, 169189), [143863, 219328]]]",0
"[[(276172, 416019), [262883, 219328]]]",0
"[[(220419, 360266), [167140, 219328]]]",2
"[[(257991, 397838), [195837, 219328]]]",0
"[[(313977, 453824), [122643, 219328]]]",0
"[[(272718, 412565), [81136, 219328]]]",0
"[[(155881, 295728), [81384, 219328]]]",3
"[[(57835, 197682), [332320, 219328]]]",0
"[[(139454, 279301), [287333, 219328]]]",0
"[[(323687, 463534), [85167, 219328]]]",0
"[[(170723, 310570), [59897, 199744]]]",3
"[[(46779, 186626), [181235, 219328]]]",0
"[[(255655, 395502), [301620, 219328]]]",0
"[[(60913, 200760), [193605, 219328]]]",0
"[[(235748, 375595), [173895, 219328]]]",2
"[[(328397, 468244), [115322, 219328]]]",0
"[[(297798, 437645), [258207, 219328]]]",0
"[[(240215, 380062), [281456, 219328]]]",0
"[[(144689, 284536), [40769, 180616]]]",3
"[[(295793, 435640), [15478, 155325]]]",2
"[[(57018, 196865), [217215, 219328]]]",0
"[[(8716, 148563), [328927, 219328]]]",0
"[[(266893, 406740), [182775, 219328]]]",0
"[[(135996, 275843), [178617, 219328]]]",2
"[[(41138, 180985), [108291, 219328]]]",0
"[[(305656, 445503), [124353, 219328]]]",0
"[[(133220, 273067), [82825, 219328]]]",3
"[[(292800, 432647), [242982, 219328]]]",0
"[[(55940, 195787), [50293, 190140]]]",4
"[[(175917, 315764), [274424, 219328]]]",0
"[[(264644, 404491), [65294, 205141]]]",0
"[[(166161, 306008), [297139, 219328]]]",0
"[[(160732, 300579), [73553, 213400]]]",2
"[[(295133, 434980), [182574, 219328]]]",0
"[[(291381, 431228), [114653, 219328]]]",0
"[[(324359, 464206), [295023, 219328]]]",0
"[[(316197, 456044), [158932, 219328]]]",0
"[[(241419, 381266), [56158, 196005]]]",0
"[[(320743, 460590), [209916, 219328]]]",0
"[[(174340, 314187), [309923, 219328]]]",0
"[[(135050, 274897), [160333, 219328]]]",2
"[[(104517, 244364), [107412, 219328]]]",2
"[[(106017, 245864), [25404, 165251]]]",6
"[[(329386, 469233), [144461, 219328]]]",0
"[[(257956, 397803), [44337, 184184]]]",0
"[[(55210, 195057), [76392, 216239]]]",2
"[[(86524, 226371), [28376, 168223]]]",11
"[[(50190, 190037), [291547, 219328]]]",0
"[[(213268, 353115), [283144, 219328]]]",0
