,L2 Norm
0,0.013010764773832454
1,0.013010764773832454
2,0.008296719565922147
3,0.009475230867899753
4,0.0016970562748476843
5,0.0035826743580117996
6,0.0008889342392059373
7,0.0028991378028648397
8,0.0074167644604455985
9,0.003959797974644701
10,0.007559614315230722
11,0.0034883934538536823
12,0.0010443423229832235
13,0.00012121830534624634
14,0.00018856180831643116
15,0.0028991378028648397
16,0.005290822503937008
17,0.004274067655172073
18,0.00038704792233368784
19,0.0011313708498985084
20,0.0018048058796000035
21,0.002082750882767637
22,0.0056322592310162865
23,0.005350441310978209
24,0.0033941125496954076
25,0.004307912082305684
26,0.004106457158890779
27,0.0034143156005864554
28,0.007646506433796551
29,0.008768124086713167
30,0.005711598000293905
31,0.004171930009000642
32,0.002725575229300827
33,0.0042759163003515495
34,0.0065457884886983226
35,0.0035826743580117996
36,0.0015441683221587104
37,0.00038704792233368784
38,0.0014069611851301462
39,0.0031112698372207804
40,0.0033527209332356997
41,0.002909239328310383
42,0.0014997241498654363
43,0.000797102189701179
44,0.0005028314888437641
45,9.838007390419936e-05
46,0.0011313708498985084
47,0.0012256517540566651
48,0.0008889342392059373
49,0.0
