SRC Query,Depth,BBoxes,Data Size
"[7.4, 51.6, 9.35, 52.89]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[9.19, 51.09, 10.69, 52.97]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[7.2, 51.93, 8.23, 53.42]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[10.51, 50.15, 11.51, 51.96]",4,"[10.25361111, 49.62833333, 11.59583333, 52.43388889]",103
"[7.87, 52.23, 9.93, 53.26]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[6.86, 52.4, 8.47, 53.83]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[7.81, 48.25, 9.28, 49.5]",2,"[6.7375, 48.11722222, 9.675277778, 51.34805556]",410
"[8.9, 49.18, 10.46, 50.44]",3,"[8.686111111, 48.11722222, 11.20555556, 50.98916667]",205
"[7.82, 49.44, 9.34, 50.46]",2,"[6.7375, 48.11722222, 9.675277778, 51.34805556]",410
"[10.88, 51.05, 12.5, 52.26]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[11.65, 48.67, 13.61, 50.04]",8,"[11.64555556, 48.27916667, 13.80833333, 50.84472222]",7
"[10.31, 52.39, 12.11, 53.86]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[10.85, 49.5, 12.6, 51.16]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[11.11, 50.42, 13.06, 52.08]",3,"[11.0775, 48.11722222, 13.80833333, 52.43388889]",205
"[6.91, 51.75, 8.18, 53.21]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[7.59, 51.32, 9.21, 53.08]",1,"[6.7375, 48.11722222, 9.675277778, 54.79805556]",821
"[8.59, 50.44, 10.08, 52.31]",1,"[7.730555556, 48.11722222, 11.83611111, 54.79805556]",821
"[9.32, 50.35, 10.76, 51.38]",3,"[8.7925, 49.80194444, 11.83611111, 52.20388889]",205
"[6.95, 52.6, 8.74, 54.27]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[8.69, 50.41, 9.88, 52.51]",1,"[7.730555556, 48.11722222, 11.83611111, 54.79805556]",821
"[10.55, 52.04, 12.16, 53.3]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[9.28, 50.75, 11.35, 52.26]",1,"[7.730555556, 48.11722222, 11.83611111, 54.79805556]",821
"[8.07, 52.48, 9.68, 53.49]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[10.62, 52.16, 12.54, 53.99]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[10.74, 50.68, 12.32, 52.16]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[7.02, 50.72, 9.0, 51.94]",1,"[6.7375, 48.11722222, 9.675277778, 54.79805556]",821
"[9.24, 49.74, 10.78, 51.13]",1,"[7.730555556, 48.11722222, 11.83611111, 54.79805556]",821
"[9.4, 50.91, 11.1, 52.42]",1,"[7.730555556, 48.11722222, 11.83611111, 54.79805556]",821
"[6.88, 48.93, 8.14, 50.59]",4,"[6.7375, 48.11722222, 8.401944444, 50.94805556]",102
"[11.0, 51.75, 12.9, 53.67]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[8.0, 51.19, 9.94, 52.28]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[6.82, 51.56, 7.84, 52.84]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[7.28, 49.69, 8.98, 50.77]",2,"[6.7375, 48.11722222, 9.675277778, 51.34805556]",410
"[7.53, 48.88, 9.12, 50.19]",2,"[6.7375, 48.11722222, 9.675277778, 51.34805556]",410
"[10.26, 49.59, 11.77, 51.12]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[6.85, 50.04, 8.28, 51.25]",3,"[6.7375, 48.11722222, 8.401944444, 51.34805556]",205
"[7.28, 50.44, 9.29, 51.67]",3,"[7.186388889, 50.40638889, 9.675277778, 51.70611111]",205
"[9.74, 48.21, 11.66, 49.23]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[7.46, 48.85, 9.27, 50.64]",2,"[6.7375, 48.11722222, 9.675277778, 51.34805556]",410
"[10.09, 49.12, 11.7, 51.21]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[10.69, 49.13, 12.27, 50.86]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[8.69, 49.58, 10.34, 51.29]",1,"[7.730555556, 48.11722222, 11.83611111, 54.79805556]",821
"[7.03, 52.53, 8.36, 54.51]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[8.25, 49.53, 10.21, 51.58]",1,"[7.730555556, 48.11722222, 11.83611111, 54.79805556]",821
"[10.42, 49.27, 11.89, 50.28]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[11.09, 51.85, 12.13, 53.93]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[9.56, 52.07, 10.75, 54.16]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[10.22, 49.84, 11.79, 51.23]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[7.76, 50.09, 9.52, 51.31]",2,"[6.7375, 48.11722222, 9.675277778, 51.34805556]",410
