,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,30,9,30,inf,0.0
1,35,984,5,949,28.114285714285714,3.556910569105691
2,138,211,7,73,1.5289855072463767,65.40284360189574
3,173,921,5,748,5.323699421965318,18.783930510314875
4,0,4,13,4,inf,0.0
5,0,2,12,2,inf,0.0
6,0,30374,0,30374,inf,0.0
7,32,3714,3,3682,116.0625,0.8616047388260636
8,14,936,5,922,66.85714285714286,1.4957264957264957
9,230,921,5,691,4.004347826086956,24.9728555917481
10,0,638,5,638,inf,0.0
11,0,140,8,140,inf,0.0
12,2231,7406,2,5175,3.3195876288659796,30.124223602484474
13,0,10,12,10,inf,0.0
14,0,1,13,1,inf,0.0
15,3,30374,0,30371,10124.666666666666,0.009876868374267466
16,17,3837,3,3820,225.7058823529412,0.4430544696377378
17,0,30374,0,30374,inf,0.0
18,14,48,9,34,3.4285714285714284,29.166666666666668
19,12,43,9,31,3.5833333333333335,27.906976744186046
20,0,17,11,17,inf,0.0
21,0,30374,0,30374,inf,0.0
22,0,35,10,35,inf,0.0
23,3,211,7,208,70.33333333333333,1.4218009478672986
24,0,8121,2,8121,inf,0.0
25,259,429,6,170,1.6563706563706564,60.37296037296037
26,0,43,9,43,inf,0.0
27,1,93,8,92,93.0,1.0752688172043012
28,0,30374,0,30374,inf,0.0
29,0,30374,0,30374,inf,0.0
30,0,4,13,4,inf,0.0
31,292,918,5,626,3.143835616438356,31.808278867102395
32,73,194,7,121,2.6575342465753424,37.628865979381445
33,56,247,7,191,4.410714285714286,22.672064777327936
34,0,43,9,43,inf,0.0
35,0,30374,0,30374,inf,0.0
36,0,2,10,2,inf,0.0
37,794,984,5,190,1.2392947103274559,80.6910569105691
38,19281,30374,0,11093,1.5753332296042737,63.478633041417
39,1,35,10,34,35.0,2.857142857142857
40,0,30374,0,30374,inf,0.0
41,0,67,8,67,inf,0.0
42,10,26,10,16,2.6,38.46153846153847
43,0,153,7,153,inf,0.0
44,832,984,5,152,1.1826923076923077,84.5528455284553
45,71,925,5,854,13.028169014084508,7.675675675675675
46,0,984,5,984,inf,0.0
47,40,3837,3,3797,95.925,1.0424811050299714
48,0,43,9,43,inf,0.0
49,0,4,13,4,inf,0.0
50,30,449,6,419,14.966666666666667,6.6815144766147
51,0,30374,0,30374,inf,0.0
52,0,2,12,2,inf,0.0
53,0,2,12,2,inf,0.0
54,16,183,7,167,11.4375,8.743169398907105
55,0,6481,4,6481,inf,0.0
