SRC Query,Depth,BBoxes,Data Size
"[8.450261425672279, 49.10507530946075, 9.669375984196204, 50.10870781921762]",3,"[8.401944444, 48.11722222, 9.675277778, 51.34805556]",205
"[10.966858141726966, 51.18696903641675, 12.23367262381894, 52.403114522642774]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[8.179834753312296, 50.55655601262063, 9.193902001364448, 51.75419249948509]",1,"[6.7375, 48.11722222, 9.675277778, 54.79805556]",821
"[12.113340029586434, 51.99729071619219, 13.28090579476545, 53.07798201167228]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[11.024705172711277, 50.62497803286769, 12.22359707427444, 51.823809607922385]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[8.28738424186336, 53.27540588447517, 9.344909452509457, 54.50415873036272]",4,"[7.676666667, 51.98722222, 9.675277778, 54.79805556]",103
"[10.91170922602532, 48.26710537349666, 12.068284287105978, 49.43900050857324]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[10.352619131438574, 53.51941402455027, 11.544556260483633, 54.620140042487044]",5,"[9.675277778, 52.68833333, 12.01138889, 54.79805556]",51
"[10.98181773491682, 50.57790985028845, 12.249831059602593, 51.6577362890284]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[8.465864579111939, 51.03937159363124, 9.538681371668286, 52.193110162718206]",1,"[6.7375, 48.11722222, 9.675277778, 54.79805556]",821
"[12.00086837541449, 50.89029867995242, 13.252595285311635, 51.927481287981294]",4,"[11.0775, 50.84472222, 13.80833333, 52.43388889]",103
"[10.60507741205218, 53.50795105224808, 11.78201620745207, 54.585134088511914]",5,"[9.675277778, 52.68833333, 12.01138889, 54.79805556]",51
"[11.180956924355348, 50.02903051317642, 12.252672265599964, 51.15645509712181]",4,"[11.0775, 48.26055556, 13.80833333, 51.47916667]",102
"[9.655316732215411, 49.300862535532694, 10.78438054298698, 50.37338621344604]",3,"[8.686111111, 48.11722222, 11.20555556, 50.98916667]",205
"[12.094035276896221, 50.602075603702005, 13.124489106174092, 51.874734303413966]",3,"[11.0775, 48.11722222, 13.80833333, 52.43388889]",205
"[11.630528126790264, 51.05925850913229, 12.680847691688255, 52.28616579518396]",4,"[11.0775, 50.84472222, 13.80833333, 52.43388889]",103
"[11.39155011491783, 49.14132292840595, 12.577438256725008, 50.33971674842937]",4,"[11.0775, 48.11722222, 13.80833333, 50.84472222]",102
"[8.479665609586087, 52.01812512975979, 9.674057732295019, 53.28675020708468]",4,"[7.676666667, 51.98722222, 9.675277778, 54.79805556]",103
"[12.062201730027672, 50.098370315319755, 13.326097037910875, 51.26460581572695]",9,"[11.97472222, 48.62166667, 13.80833333, 51.26472222]",3
"[8.964523396387913, 49.06045170576327, 10.228396842218212, 50.06875904437667]",3,"[8.686111111, 48.11722222, 11.20555556, 50.98916667]",205
"[8.568602087170376, 48.35645529349298, 9.654577535637252, 49.528477284702475]",4,"[8.401944444, 48.11722222, 9.675277778, 50.04666667]",102
"[11.789057381542493, 49.179972351521116, 12.973941267856555, 50.25562354391706]",8,"[11.64555556, 48.27916667, 13.80833333, 50.84472222]",7
"[11.40150940844249, 50.2808747409916, 12.53765478727896, 51.408986192526456]",4,"[11.0775, 48.26055556, 13.80833333, 51.47916667]",102
"[8.472745927681734, 49.24202969498149, 9.574383000379537, 50.36052055013174]",3,"[8.401944444, 48.11722222, 9.675277778, 51.34805556]",205
"[9.364691281777128, 53.0759060778614, 10.38788973152639, 54.132559157839495]",2,"[7.730555556, 50.98916667, 11.83611111, 54.79805556]",411
"[9.736487711824434, 53.15667348455911, 11.005925183051728, 54.36585632418364]",5,"[9.675277778, 52.68833333, 12.01138889, 54.79805556]",51
"[6.859750486783615, 53.211565902436284, 8.083234308045432, 54.38791633285367]",2,"[6.7375, 51.34805556, 9.675277778, 54.79805556]",411
"[8.038196106975612, 49.68690277067518, 9.055739462240298, 50.91635922500735]",2,"[6.7375, 48.11722222, 9.675277778, 51.34805556]",410
"[11.858151586221608, 52.268573720602134, 12.89486387491757, 53.51505427144575]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[8.77564730177713, 53.21293902336671, 9.844307088859464, 54.41080467449519]",4,"[8.608055556, 52.30055556, 10.18388889, 54.79805556]",103
"[11.198060460999779, 52.39931304290001, 12.223400827193188, 53.46930641118636]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[11.659417618757459, 50.3749302258135, 12.8466548241749, 51.482690507131494]",3,"[11.0775, 48.11722222, 13.80833333, 52.43388889]",205
"[8.669579445512674, 51.00836583932255, 9.699169799009333, 52.02293929171617]",4,"[8.608055556, 50.98916667, 10.18388889, 52.30055556]",103
"[11.799339501262317, 48.72527284512952, 12.909227720341486, 49.81090915680794]",9,"[11.79138889, 48.27916667, 13.80833333, 50.84472222]",4
"[12.079142913985567, 50.5133874589709, 13.214257596570251, 51.78063911888349]",3,"[11.0775, 48.11722222, 13.80833333, 52.43388889]",205
"[6.873758000835264, 49.16368363166671, 7.93392031415997, 50.222897428557474]",4,"[6.7375, 48.11722222, 8.401944444, 50.94805556]",102
"[10.825843540121763, 51.08758368439195, 11.910167124294528, 52.295572756489214]",2,"[9.675277778, 48.11722222, 13.80833333, 52.43388889]",410
"[11.851139081450755, 52.42621228892857, 12.893783398084958, 53.427308863120324]",1,"[9.675277778, 48.11722222, 13.80833333, 54.79805556]",821
"[8.403799162869053, 51.63980580698866, 9.43898124013582, 52.825164682165635]",3,"[7.676666667, 51.34805556, 9.675277778, 54.79805556]",206
"[11.63475685302964, 50.14906560122901, 12.847219006600433, 51.332503852584125]",6,"[11.50222222, 48.62166667, 13.80833333, 51.34722222]",26
