,L2 Norm
0,0.040183795869853794
1,-0.0030723463265000944
2,-0.0083785439837782
3,-0.0334576314591401
4,-0.0324163626006532
5,-0.0213747138399002
6,-0.0027804802767691997
7,-0.010996709340850497
8,-0.015108889826378404
9,-0.008325405940876402
10,-0.0048563470667689
11,-0.005161673604479403
12,0.0018356926184524003
13,0.0019784834071853996
14,0.0013295854346909997
15,-0.0031885000597147994
16,-0.004679234168693001
17,-0.0036718278895989005
18,-0.0035859613421773996
19,-0.0066620429596096
20,-0.0060620972660291005
21,-0.006424566541984299
22,-0.0024047195103195987
23,-0.0030478472986634007
24,-0.001348680857903399
25,-0.002060036108671599
26,-0.0035495494205169
27,-0.0058197530391671005
28,-0.0035892049763363004
29,-0.0013263806886942998
30,-0.0017017187676170997
31,-0.002537621048175601
32,0.0004231861167319998
33,-0.0022729719472241
34,-0.00019357726945269833
35,-0.0023034573689748004
36,-0.003332426651435301
37,-0.0036022797952604997
38,-0.004728478647843101
39,-0.0023617087924173007
40,-0.0017238395365895996
41,-0.0038829328187058995
42,-0.004328840164487301
43,-0.0059777140138335995
44,-0.0030564216973076996
45,-0.002007616472211201
46,-0.002138457515723901
47,-0.002740699265964699
48,-0.001246569629975599
49,-0.0011915683289355997
50,-0.0012849932122118001
51,-0.001632957941470399
52,-0.0021121149617025006
53,-0.0024677743040143994
54,-0.002839318618158901
55,-0.0042066021264419995
56,-0.0052709700725787996
57,-0.004412293526100301
58,-0.0045935043265697
59,-0.004867232133859501
60,-0.0055478478331577995
61,-0.0069062718894567
62,-0.008199557507696902
63,-0.0071656502695194
64,-0.0056810141860580005
65,-0.0052559246524551
66,-0.0035866132755885006
67,-0.0031743839880501003
68,-0.0018172422687853995
69,-0.0016945746787024995
70,-0.00044258865552409925
71,-0.00011090450595130016
72,-0.0005643265446582
73,0.00030992432867039954
74,0.0002348661083354008
75,3.0151081794499955e-05
76,0.0006673185023668001
77,0.0021005667097362003
78,0.0013013085397478997
79,0.0006768293567468997
80,0.0009362067789460997
81,0.001411021385688
82,0.0016779777309410995
83,0.0015843658325359004
84,0.0025386534416519
85,0.0021365428060687
86,0.0014052222564482
87,0.0007189380892906002
88,0.00016182436403400008
89,-0.0008155178285662
90,-0.0012579409539071002
91,-0.0015115705880248001
92,-0.0010761455709784
93,-0.0009005164512065
94,-0.0015081583310278
95,-0.0011880873586668003
96,-0.0001954980813504998
97,-0.00043188428626480006
98,7.396982105700007e-05
99,0.0
