,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,104,411,2,307,3.951923076923077,25.304136253041364
1,137,410,2,273,2.9927007299270074,33.41463414634146
2,23,103,4,80,4.478260869565218,22.330097087378643
3,15,51,5,36,3.4,29.411764705882355
4,0,102,4,102,inf,0.0
5,41,205,3,164,5.0,20.0
6,50,410,2,360,8.2,12.195121951219512
7,38,410,2,372,10.789473684210526,9.268292682926829
8,39,411,2,372,10.538461538461538,9.48905109489051
9,14,205,3,191,14.642857142857142,6.829268292682928
10,0,411,2,411,inf,0.0
11,24,411,2,387,17.125,5.839416058394161
12,39,821,1,782,21.05128205128205,4.750304506699147
13,82,205,3,123,2.5,40.0
14,34,102,4,68,3.0,33.33333333333333
15,40,411,2,371,10.275,9.732360097323602
16,43,103,4,60,2.395348837209302,41.74757281553398
17,0,4,9,4,inf,0.0
18,66,205,3,139,3.106060606060606,32.19512195121951
19,7,25,6,18,3.5714285714285716,28.000000000000004
20,0,26,6,26,inf,0.0
21,54,821,1,767,15.203703703703704,6.577344701583435
22,0,7,8,7,inf,0.0
23,26,205,3,179,7.884615384615385,12.682926829268293
24,36,205,3,169,5.694444444444445,17.560975609756095
25,54,102,4,48,1.8888888888888888,52.94117647058824
26,33,821,1,788,24.87878787878788,4.019488428745433
27,0,102,4,102,inf,0.0
28,103,411,2,308,3.9902912621359223,25.060827250608277
29,57,821,1,764,14.403508771929825,6.942752740560293
30,64,410,2,346,6.40625,15.609756097560975
31,216,821,1,605,3.800925925925926,26.30937880633374
32,24,52,5,28,2.1666666666666665,46.15384615384615
33,104,411,2,307,3.951923076923077,25.304136253041364
34,29,411,2,382,14.172413793103448,7.0559610705596105
35,28,410,2,382,14.642857142857142,6.829268292682928
36,29,205,3,176,7.068965517241379,14.146341463414632
37,9,13,7,4,1.4444444444444444,69.23076923076923
38,52,103,4,51,1.9807692307692308,50.48543689320388
39,52,410,2,358,7.884615384615385,12.682926829268293
40,45,410,2,365,9.11111111111111,10.975609756097562
41,0,102,4,102,inf,0.0
42,31,410,2,379,13.225806451612904,7.560975609756097
43,54,821,1,767,15.203703703703704,6.577344701583435
44,52,410,2,358,7.884615384615385,12.682926829268293
45,142,411,2,269,2.8943661971830985,34.54987834549878
46,29,411,2,382,14.172413793103448,7.0559610705596105
47,51,410,2,359,8.03921568627451,12.439024390243903
48,96,821,1,725,8.552083333333334,11.69305724725944
49,30,821,1,791,27.366666666666667,3.6540803897685747
50,0,4,9,4,inf,0.0
51,35,821,1,786,23.457142857142856,4.263093788063337
52,0,3,9,3,inf,0.0
53,40,821,1,781,20.525,4.872107186358099
54,52,410,2,358,7.884615384615385,12.682926829268293
55,0,4,9,4,inf,0.0
56,31,821,1,790,26.483870967741936,3.7758830694275276
57,35,410,2,375,11.714285714285714,8.536585365853659
58,0,4,9,4,inf,0.0
59,48,821,1,773,17.104166666666668,5.84652862362972
60,0,102,4,102,inf,0.0
61,56,205,3,149,3.6607142857142856,27.31707317073171
62,96,821,1,725,8.552083333333334,11.69305724725944
63,37,205,3,168,5.54054054054054,18.048780487804876
64,31,103,4,72,3.3225806451612905,30.097087378640776
65,37,410,2,373,11.08108108108108,9.024390243902438
66,62,205,3,143,3.306451612903226,30.24390243902439
67,30,205,3,175,6.833333333333333,14.634146341463413
68,37,821,1,784,22.18918918918919,4.506699147381242
69,95,206,3,111,2.168421052631579,46.116504854368934
70,132,410,2,278,3.106060606060606,32.19512195121951
71,86,206,3,120,2.395348837209302,41.74757281553398
72,241,821,1,580,3.4066390041493775,29.35444579780755
73,129,206,3,77,1.5968992248062015,62.62135922330098
74,43,102,4,59,2.372093023255814,42.15686274509804
75,25,102,4,77,4.08,24.509803921568626
76,0,103,4,103,inf,0.0
77,44,410,2,366,9.318181818181818,10.731707317073171
78,29,205,3,176,7.068965517241379,14.146341463414632
79,0,411,2,411,inf,0.0
80,0,4,9,4,inf,0.0
81,249,821,1,572,3.2971887550200805,30.328867235079173
82,18,52,5,34,2.888888888888889,34.61538461538461
83,67,410,2,343,6.119402985074627,16.34146341463415
84,189,821,1,632,4.343915343915344,23.020706455542022
85,358,821,1,463,2.293296089385475,43.605359317905
86,256,411,2,155,1.60546875,62.28710462287105
87,32,103,4,71,3.21875,31.06796116504854
88,42,821,1,779,19.547619047619047,5.115712545676005
89,41,411,2,370,10.024390243902438,9.975669099756692
90,0,103,4,103,inf,0.0
91,35,410,2,375,11.714285714285714,8.536585365853659
92,10,205,3,195,20.5,4.878048780487805
93,59,821,1,762,13.915254237288135,7.186358099878197
94,32,205,3,173,6.40625,15.609756097560975
95,68,410,2,342,6.029411764705882,16.585365853658537
96,43,102,4,59,2.372093023255814,42.15686274509804
97,106,821,1,715,7.745283018867925,12.911084043848964
98,249,821,1,572,3.2971887550200805,30.328867235079173
99,100,411,2,311,4.11,24.330900243309003
100,11,411,2,400,37.36363636363637,2.67639902676399
101,61,410,2,349,6.721311475409836,14.878048780487804
102,80,410,2,330,5.125,19.51219512195122
103,20,410,2,390,20.5,4.878048780487805
104,54,410,2,356,7.592592592592593,13.170731707317074
105,55,410,2,355,7.454545454545454,13.414634146341465
106,242,821,1,579,3.3925619834710745,29.476248477466505
107,326,821,1,495,2.51840490797546,39.707673568818514
108,64,410,2,346,6.40625,15.609756097560975
109,0,103,4,103,inf,0.0
110,22,102,4,80,4.636363636363637,21.568627450980394
111,63,410,2,347,6.507936507936508,15.365853658536585
112,79,410,2,331,5.189873417721519,19.26829268292683
113,108,821,1,713,7.601851851851852,13.15468940316687
114,26,205,3,179,7.884615384615385,12.682926829268293
115,16,411,2,395,25.6875,3.8929440389294405
116,107,206,3,99,1.925233644859813,51.94174757281553
117,65,205,3,140,3.1538461538461537,31.70731707317073
118,70,821,1,751,11.728571428571428,8.526187576126674
