,L2 Norm
0,0.09240432890292534
1,0.07558809430062385
2,0.06825038868428192
3,0.05843851469707287
4,0.0463698177697519
5,0.036183237371283775
6,0.029829255602443688
7,0.029815012996810848
8,0.023668325450475564
9,0.030827909432849965
10,0.027152729951178997
11,0.028619224308146417
12,0.02618851096394897
13,0.024377741604059335
14,0.023371017188912515
15,0.02287050502284547
16,0.02301675634541844
17,0.024738224533834674
18,0.02432923756622916
19,0.025329034723020925
20,0.024487164484476267
21,0.023031555787299107
22,0.020581721477544248
23,0.019746771888083377
24,0.018521339044464367
25,0.018856769380763243
26,0.01932290906708446
27,0.019326908385851646
28,0.019952528679679594
29,0.01975865492498021
30,0.01969914612262315
31,0.02057108103625087
32,0.019239819437154
33,0.016746929688132073
34,0.016349898582972006
35,0.015475532261135065
36,0.014407728629658716
37,0.013874602637119038
38,0.013274519198846816
39,0.012395967086113138
40,0.011975966414638328
41,0.011994136889659536
42,0.01063025875969156
43,0.011288207845518988
44,0.01202885419868964
45,0.01163433416956029
46,0.010283290185508942
47,0.00950279198738748
48,0.008309670806032165
49,0.008637129152675688
50,0.008832251897850394
51,0.00921172394224695
52,0.00893903723084615
53,0.008389460368074326
54,0.008296648730981042
55,0.008544977042278188
56,0.008695127640850025
57,0.008295304747634272
58,0.0077282069342665275
59,0.008611620056644405
60,0.007763913657482201
61,0.00772027615385485
62,0.007266108419894732
63,0.0071794411342387945
64,0.0065012697894903364
65,0.006642299821882754
66,0.006782294510251784
67,0.0062117591354698696
68,0.005512014716796875
69,0.004813331825804881
70,0.004635128882564595
71,0.004988548614973156
72,0.00560728020460235
73,0.005885543319074392
74,0.006557099629832957
75,0.006788792295469392
76,0.006820027455826607
77,0.006737530669809748
78,0.007430508700064865
79,0.006889575458618605
80,0.005997207092694523
81,0.005675403792630013
82,0.00503643049859949
83,0.0047386240432354424
84,0.00481945308387597
85,0.004903086742021139
86,0.004794393828344272
87,0.005012904834128892
88,0.004653771447793379
89,0.004432428200556239
90,0.003771574576440702
91,0.00297762290850523
92,0.0027112864313115492
93,0.0022969895861530173
94,0.001979787055898575
95,0.0018669084664820063
96,0.001324854181160757
97,0.0011631865351059759
98,0.0006458772583974485
99,0.0
