BRC Query,Data Size
"[-37.73, 68.31, -9.2, 77.6]",0
"[-9.51, 32.38, 6.09, 59.0]",0
"[-40.89, 91.36, -38.97, 106.42]",0
"[11.34, -33.66, 12.41, -9.22]",0
"[-30.35, 112.39, 1.36, 114.38]",0
"[-46.24, 124.48, -27.65, 137.86]",0
"[-31.3, -167.01, -16.59, -158.81]",0
"[-14.01, -101.66, 3.1, -93.16]",0
"[-31.13, -83.5, -15.2, -81.8]",0
"[17.22, 29.4, 36.3, 36.44]",6
"[29.33, -137.59, 58.27, -125.78]",0
"[8.15, 123.61, 32.26, 138.32]",0
"[16.63, -79.15, 39.41, -59.06]",618
"[20.73, -14.48, 49.22, 5.66]",118
"[-45.53, 79.08, -36.64, 93.54]",0
"[-34.71, 48.86, -15.88, 71.77]",2
"[-18.95, -13.47, -3.69, 12.82]",0
"[-7.52, -19.47, 6.26, -17.51]",0
"[-44.83, 138.58, -20.98, 158.85]",111
"[-17.47, -15.46, -10.94, 17.45]",0
"[11.98, 99.22, 30.51, 107.76]",0
"[-8.08, 8.74, 23.86, 24.66]",0
"[-27.18, 130.23, -8.38, 131.42]",0
"[13.01, 107.51, 40.67, 132.57]",30
"[15.0, 3.48, 32.85, 18.32]",0
"[-43.84, 6.25, -14.57, 13.74]",0
"[-8.79, -62.04, 7.96, -49.8]",0
"[-6.15, 19.84, 15.11, 35.72]",0
"[-46.04, -119.55, -37.58, -99.56]",0
"[19.05, 78.98, 45.99, 106.5]",0
"[-28.28, 39.27, 0.07, 42.97]",0
"[-46.92, 65.69, -45.45, 74.8]",0
"[-39.67, -66.0, -18.37, -62.74]",0
"[-35.75, -122.46, -17.62, -112.59]",0
"[7.38, -73.18, 23.15, -56.79]",11
"[-46.38, -41.5, -32.82, -34.39]",0
"[-39.73, -12.93, -9.5, -5.14]",0
"[-0.9, -169.64, 26.64, -168.06]",0
"[-36.78, -124.99, -12.43, -101.1]",0
"[4.77, -105.66, 23.47, -72.96]",15
"[14.12, -104.82, 31.9, -82.75]",5612
"[-17.37, -73.42, 2.34, -51.92]",2
"[-43.63, 133.68, -32.93, 163.12]",26
"[-24.28, -76.91, 4.61, -45.39]",9
"[9.9, -95.49, 24.42, -94.21]",0
"[20.44, 86.13, 22.67, 118.39]",0
"[-3.66, 101.62, 2.91, 134.26]",0
"[6.79, -55.26, 24.32, -42.99]",0
"[-32.15, -37.65, -9.25, -30.34]",0
"[-40.06, -81.48, -17.42, -64.24]",2
"[-22.8, 111.83, 6.52, 113.42]",0
"[-32.53, 139.82, -20.88, 166.25]",85
"[-21.73, 39.7, -13.81, 67.92]",2
"[24.62, 106.3, 36.79, 129.62]",27
"[-10.37, -101.16, 22.65, -76.59]",13
"[-41.61, 115.46, -35.1, 123.38]",0
"[11.09, 93.08, 31.59, 106.04]",0
"[-21.63, 101.5, -11.17, 122.12]",0
"[26.34, -132.96, 56.17, -114.05]",15033
"[-40.08, -152.87, -37.81, -123.73]",0
"[13.36, -67.13, 41.28, -46.14]",11
"[12.87, 6.5, 26.15, 14.77]",0
"[-41.84, 108.98, -32.17, 128.32]",0
"[24.06, -87.53, 39.93, -60.96]",2387
"[16.46, 38.41, 17.86, 42.39]",0
"[-39.23, -163.49, -9.48, -154.7]",0
"[28.99, -139.3, 43.67, -132.86]",0
"[-29.36, -143.37, -4.19, -112.78]",0
"[-18.67, 114.89, 13.85, 125.44]",0
"[-28.42, -144.24, -11.92, -122.06]",0
"[-45.13, 138.39, -43.79, 148.99]",0
"[-1.61, -75.97, 14.0, -72.92]",0
"[23.15, 134.29, 55.66, 138.91]",4
"[-31.41, 137.54, -10.34, 156.18]",85
"[5.55, -93.33, 28.05, -74.73]",625
"[-24.21, -150.25, -15.21, -140.13]",0
"[28.62, 32.51, 44.17, 54.42]",5
"[25.28, -78.05, 38.97, -66.42]",356
"[-23.48, 109.86, 5.04, 120.7]",0
"[-22.1, 9.12, -3.42, 29.48]",0
"[-29.07, -98.24, -27.41, -94.89]",0
"[-5.15, -152.25, -1.85, -130.61]",0
"[-25.5, -18.33, 1.24, 10.7]",1
"[-36.18, 78.3, -18.89, 81.81]",0
"[25.95, 72.29, 32.58, 105.29]",0
"[15.97, -142.08, 27.36, -124.37]",0
"[23.61, 109.94, 34.15, 115.54]",0
"[22.92, -75.08, 24.95, -44.74]",0
"[14.59, 92.95, 45.06, 118.19]",3
"[5.66, -37.75, 12.45, -31.62]",0
"[7.63, -95.41, 30.33, -92.32]",322
"[27.05, -0.39, 54.31, 18.2]",1990
"[18.3, -49.57, 34.03, -37.57]",0
"[-28.07, 30.73, -26.28, 45.27]",0
"[-3.64, -62.63, -0.62, -57.14]",0
"[-38.45, 89.18, -29.03, 103.1]",0
"[-16.88, -101.52, 4.02, -100.28]",0
"[-6.91, 31.5, 10.36, 46.74]",0
"[5.42, -99.96, 30.18, -82.88]",976
"[-10.81, -44.28, -2.5, -25.07]",1
"[22.64, -88.16, 53.45, -66.16]",7217
"[-44.46, -12.43, -41.14, 17.08]",0
"[-35.76, 106.5, -9.87, 117.63]",0
"[5.89, -57.29, 34.47, -33.51]",0
"[9.32, 97.93, 29.64, 128.06]",24
"[26.8, -119.85, 46.36, -110.71]",4714
"[-31.22, 66.38, -11.72, 69.07]",0
"[5.04, -64.86, 29.34, -47.13]",1
"[-35.35, -163.27, -10.64, -130.39]",0
"[14.91, -90.63, 36.33, -59.97]",2001
"[26.75, 72.15, 32.27, 100.5]",0
"[3.33, -33.77, 27.09, -2.74]",0
"[27.67, 80.78, 41.09, 95.84]",0
"[-35.35, -135.85, -23.78, -105.32]",0
"[26.74, 16.07, 31.61, 30.33]",0
"[-39.0, -96.81, -28.4, -71.46]",1
"[-47.91, -35.78, -40.74, -34.1]",0
"[0.81, 91.23, 21.49, 98.94]",0
"[-25.97, -88.8, -7.35, -68.77]",0
"[-28.62, 77.06, -5.41, 104.33]",0
"[27.85, -19.12, 46.57, 9.68]",59
"[11.87, -53.56, 31.41, -43.33]",0
"[-39.77, -138.49, -12.53, -113.21]",0
"[-5.62, 67.44, 26.73, 100.07]",14
"[-37.55, 7.07, -20.29, 18.18]",0
"[-8.92, -7.08, 3.67, -6.05]",0
"[-13.66, -78.69, 1.95, -64.71]",2
"[12.97, -18.64, 36.17, 3.4]",7
"[-18.72, -175.07, -11.1, -165.05]",0
"[-1.48, 89.33, 28.16, 106.93]",0
"[28.9, 90.99, 44.9, 105.28]",0
"[9.96, -78.52, 43.05, -71.99]",3083
"[0.22, -61.2, 18.47, -60.09]",0
"[-17.82, -46.52, -2.98, -17.54]",1
"[-2.56, 111.27, 22.28, 136.6]",0
"[-9.73, 28.78, 15.5, 50.86]",0
"[0.98, 25.23, 15.2, 46.82]",0
"[25.0, 94.73, 51.42, 120.66]",3
"[15.48, -64.39, 36.15, -54.79]",1
"[7.1, -2.0, 36.49, 3.94]",0
"[16.86, -26.71, 33.6, -24.24]",0
"[-8.35, -40.96, 16.85, -28.42]",1
"[3.1, -13.88, 4.74, 17.86]",0
"[5.73, 44.33, 19.79, 64.99]",0
"[-31.9, 107.46, -24.15, 117.2]",0
"[-42.37, -8.74, -14.38, 4.22]",0
"[-8.25, -122.33, 16.69, -100.11]",0
"[7.52, -89.91, 35.0, -69.1]",1659
"[-30.09, -121.11, -10.86, -94.45]",0
"[19.5, -105.11, 31.21, -72.8]",6815
"[7.0, -166.53, 35.41, -136.31]",1193
"[0.41, -38.03, 11.69, -12.29]",0
"[13.15, 24.15, 20.32, 30.53]",0
"[27.81, 116.15, 43.22, 140.81]",52
"[-0.85, -7.66, 8.66, -2.16]",0
"[-37.43, -60.66, -13.18, -35.25]",9
"[-29.43, 53.8, -5.1, 64.73]",2
"[-39.91, -18.62, -26.01, -14.37]",0
"[-33.63, 15.06, -30.83, 44.94]",0
"[-31.3, 49.14, -29.17, 76.62]",0
"[27.11, -66.63, 48.03, -38.41]",1
"[-39.0, -145.81, -15.5, -131.82]",0
