SRC Query,Depth,BBoxes,Data Size
"[21.04, -14.32, 22.62, -12.55]",16,"[18.0233940833, -63.04643405, 25.7479190667, 55.2741909027]",1
"[56.07, -92.45, 57.36, -90.86]",16,"[44.9825733167, -93.1536802833, 63.40343715, -83.2142429338]",1
"[50.02, 65.05, 51.49, 66.93]",6,"[49.484336853, -0.08590953, 52.5192530968, 177.45290404]",631
"[16.18, -140.54, 18.33, -138.97]",15,"[-48.2246696949, -156.44103819, 20.68161082, -117.8483600167]",1
"[7.31, -25.26, 8.94, -23.06]",15,"[0.0, -66.004679203, 18.0233940833, 55.2741909027]",1
"[-38.75, -2.46, -37.65, -0.33]",15,"[-48.2246696949, -49.26710212, -25.43722915, 18.4074161167]",1
"[-4.06, -17.93, -2.58, -16.23]",16,"[-13.01292252, -38.48272597, 0.0, 55.2741909027]",1
"[-16.98, 96.09, -15.22, 98.0]",15,"[-27.49000215, 80.2610814571, 13.0612623855, 121.569266]",1
"[7.21, 169.14, 9.29, 170.35]",16,"[-27.2354151833, 153.1070762667, 26.0722728814, 177.45290404]",1
"[10.22, 86.1, 11.39, 87.21]",15,"[-27.49000215, 80.2610814571, 13.0612623855, 121.569266]",1
"[8.37, 2.51, 9.96, 3.82]",15,"[0.0, -66.004679203, 18.0233940833, 55.2741909027]",1
"[-19.87, 104.28, -18.24, 106.02]",15,"[-27.49000215, 80.2610814571, 13.0612623855, 121.569266]",1
"[-7.37, 143.53, -6.16, 144.76]",15,"[-27.2809503, 121.569266, 25.079669, 153.0325043]",1
"[-21.76, 76.96, -20.72, 79.01]",15,"[-27.49000215, 76.5931798333, 12.36692075, 80.2480137348]",1
"[-23.88, -139.09, -21.96, -137.59]",15,"[-48.2246696949, -156.44103819, 20.68161082, -117.8483600167]",1
"[6.79, -17.23, 7.83, -16.09]",15,"[0.0, -66.004679203, 18.0233940833, 55.2741909027]",1
"[15.01, -27.93, 16.15, -26.19]",15,"[0.0, -66.004679203, 18.0233940833, 55.2741909027]",1
"[-26.82, -141.74, -24.71, -140.67]",15,"[-48.2246696949, -156.44103819, 20.68161082, -117.8483600167]",1
"[-22.46, 121.44, -20.78, 122.47]",15,"[-27.455180399, 121.2319743633, 25.0265411333, 153.0136090034]",1
"[4.54, 109.72, 6.64, 111.94]",15,"[-27.49000215, 80.2610814571, 13.0612623855, 121.569266]",1
"[-19.74, -47.79, -17.87, -46.48]",15,"[-23.56449192, -66.016650533, 0.0, -43.96218752]",1
"[-30.9, -37.71, -28.87, -36.69]",15,"[-48.2246696949, -49.26710212, -25.43722915, 18.4074161167]",1
"[-20.92, 148.53, -19.04, 149.78]",15,"[-27.2809503, 121.569266, 25.079669, 153.0325043]",1
"[44.3, -168.67, 45.85, -166.67]",6,"[39.1889083333, -176.30859375, 47.705631567, -122.4272002167]",630
"[12.72, -83.83, 14.52, -82.76]",9,"[-48.2246696949, -97.7233511209, 27.8954912333, -82.7036190033]",78
"[-28.31, 160.75, -26.71, 162.93]",8,"[-48.2246696949, 55.2741909027, 26.0722728814, 177.45290404]",158
"[-35.11, -155.18, -33.31, -153.88]",15,"[-48.2246696949, -156.44103819, 20.68161082, -117.8483600167]",1
"[38.69, 158.78, 40.7, 159.8]",14,"[37.985401667, 116.586227417, 40.71604895, 177.45290404]",3
"[17.86, 64.3, 19.53, 65.48]",15,"[13.2004111, 55.2741909027, 25.033476381, 80.19453644]",1
"[-2.63, 169.0, -0.52, 170.94]",16,"[-27.2354151833, 153.1070762667, 26.0722728814, 177.45290404]",1
"[-12.0, -82.99, -9.86, -80.94]",5,"[-48.2246696949, -97.7233511209, 28.3730936, 177.45290404]",1261
"[51.08, -3.34, 52.09, -2.09]",6,"[42.3528751428, -71.0181920502, 63.40343715, -0.2599596977]",631
"[50.63, -95.4, 51.99, -94.22]",8,"[47.7565419167, -122.1513283253, 63.40343715, -87.75900369]",158
"[-30.89, 143.55, -29.79, 145.31]",15,"[-33.7646548955, 55.2741909027, -27.49000215, 153.0965602]",1
"[59.05, -48.09, 60.89, -47.04]",15,"[57.479133606, -71.0181920502, 63.40343715, -3.20815075]",1
"[-2.73, -69.85, -0.58, -68.41]",15,"[-3.74805819, -77.91519485, 18.4573433542, -66.03502321]",1
"[5.11, 34.66, 6.12, 36.62]",15,"[0.0, -66.004679203, 18.0233940833, 55.2741909027]",1
"[-35.61, 23.98, -33.72, 25.09]",12,"[-48.2246696949, 18.4074161167, -23.58720582, 55.2741909027]",10
"[44.21, -12.42, 45.28, -10.45]",15,"[43.8578480844, -63.5756287333, 47.5142243833, -2.5786041]",1
"[23.05, 78.21, 24.99, 80.07]",15,"[13.2004111, 55.2741909027, 25.033476381, 80.19453644]",1
"[18.93, -22.41, 20.52, -20.72]",16,"[18.0233940833, -63.04643405, 25.7479190667, 55.2741909027]",1
"[-19.18, 38.03, -17.35, 40.18]",15,"[-23.58720582, -43.96218752, -13.01292252, 55.2741909027]",1
"[42.87, 130.31, 44.28, 132.2]",16,"[41.9110894, 12.48465545, 47.65569005, 177.45290404]",1
"[12.15, 66.11, 13.37, 67.27]",12,"[-27.49000215, 55.2741909027, 25.033476381, 80.2480137348]",9
