,L2 Norm
0,0.06676331327907566
1,0.04589487988871961
2,0.04254417312237561
3,0.03437789987768304
4,0.036618847606116715
5,0.032081597355631916
6,0.040225299176980034
7,0.03999174914904323
8,0.037980264530768616
9,0.03343860044918148
10,0.032770695940072654
11,0.03105650763795998
12,0.02855415906658782
13,0.025310181866641114
14,0.024970337958821816
15,0.024506300210354073
16,0.021079620030324007
17,0.01983684687210042
18,0.017253185502170282
19,0.0169333989500041
20,0.017008263964435066
21,0.016700111347181627
22,0.013674784654601207
23,0.013912164940559517
24,0.014955266630856171
25,0.01566012159224901
26,0.014355321444408365
27,0.013248919863559472
28,0.011722968501515088
29,0.011383516347967552
30,0.011830652967431509
31,0.011212618449764533
32,0.011832286067032198
33,0.01134413861731503
34,0.010099969690801158
35,0.010491642764659618
36,0.011055423823147748
37,0.011266445658855038
38,0.010635375082986901
39,0.010396634070698078
40,0.010101641098613013
41,0.009373327817611904
42,0.009610299032034697
43,0.009544865782708377
44,0.00940851991088823
45,0.010247306806492591
46,0.009964492415529245
47,0.011245048292964823
48,0.010600215709811947
49,0.008987769467448526
50,0.007958401555895202
51,0.007734484373292772
52,0.006883096966620814
53,0.0074025780553513415
54,0.007767988986382636
55,0.008588863220972354
56,0.008180926928211733
57,0.007851470472785204
58,0.008166019024284111
59,0.009141845182091702
60,0.008879075650809174
61,0.008156491002475586
62,0.007956490083065844
63,0.006721014153384896
64,0.00651591588061982
65,0.005249011450942091
66,0.0048072043469490665
67,0.005233562172209348
68,0.005351099504823563
69,0.005925145309507229
70,0.006134428421711285
71,0.0059219876960025074
72,0.006254784020056124
73,0.005985950192560576
74,0.005648795348469342
75,0.005851045790463909
76,0.005691229459824884
77,0.005908581441281639
78,0.005897633134596466
79,0.005822585336429171
80,0.005569690386217482
81,0.005261939484506453
82,0.004765319323375703
83,0.0047027130684405664
84,0.004740045113884566
85,0.004995923703442837
86,0.004157782204535424
87,0.003958347179909092
88,0.0033570156909371734
89,0.003371888140141898
90,0.0031931830995055367
91,0.002852505282977401
92,0.0025928399146467346
93,0.0018945801996991007
94,0.001994271574679178
95,0.0018182810105518018
96,0.0010198403781249573
97,0.0009150370455172102
98,0.0006371920213517087
99,0.0
