BRC Query,Data Size
"[-5.424276613645958, 69.98258818863755, 13.953309726368119, 76.71371956489928]",3
"[-21.485358132510097, -115.02751471713333, -3.999852699139989, -105.34555137974704]",0
"[-13.155076255918445, 136.69316363356404, -10.12231161453448, 156.5727730063245]",0
"[6.4981570103741575, 127.46695665107177, 10.821691997055346, 145.95785979395214]",0
"[-42.64651525476664, -147.23479417737923, -40.55898542776001, -123.33685748659737]",0
"[21.034109295218116, -10.069553795766979, 23.195401579544228, -0.7008277294062673]",0
"[11.367420828473882, -117.47597484832735, 20.840325042327105, -110.84828841379412]",0
"[5.359855970275667, -61.519636208263975, 13.40771910039955, -42.593472784229206]",0
"[-7.051875139442714, 141.93342563879406, 7.20868118858227, 162.98043196902375]",0
"[15.712920581242088, 101.52049878550986, 18.866009779972785, 116.03183332945954]",0
"[-39.772716718284094, 139.53327870018205, -24.950285654540096, 154.71382557469616]",128
"[39.013477305046024, 119.73844686304352, 48.150274203534536, 125.22829227690266]",0
"[36.55386206275598, 99.86002941301575, 40.07431601476722, 114.45832966975702]",0
"[-14.823052971129457, -66.57606021037033, -1.2268395614353906, -45.121527477351066]",0
"[22.510233546101333, -79.68372281841717, 25.142412518937792, -58.14240398352251]",1
"[-2.5240167215706037, 147.10755327794993, 4.868152136446095, 152.82967355624936]",0
"[32.30759368875012, 7.230699343483252, 52.77950377062877, 10.877573662704172]",331
"[39.20982385917418, -140.68944277059384, 59.12150209277816, -121.97905147298106]",4126
"[-5.1321552729998245, -56.118865679867895, 12.435733259606405, -39.681338383575614]",1
"[28.174985677995792, -76.12808446084163, 48.297519155106386, -58.60713037517963]",5716
"[29.699008281378312, -128.47158582406155, 39.540135763645786, -115.5256179420805]",14936
"[13.541706300821438, 81.4350301391766, 34.386016771833795, 85.58235345506762]",0
"[31.947996485978067, -153.9554395231372, 43.55181662276575, -142.9725602151102]",0
"[35.94281658438304, -7.204078487416041, 54.040965459438084, -2.6586080549672104]",129
"[13.07069479840684, 30.704634638974028, 18.187156556006446, 39.928304504414214]",0
"[8.597214258659967, -131.78096175050325, 19.76889724767721, -114.27751357556009]",0
"[21.467022896611127, 97.89483807455377, 44.35019808348984, 99.54891236419036]",0
"[26.846824840412708, -95.29304439293273, 33.544087159982645, -85.50121905778354]",1105
"[-2.277625748210795, 46.83517121379393, 14.712421254059432, 64.30586472793063]",0
"[-8.746989232070561, -68.72969196356492, -3.7597303900993952, -54.74791017374314]",0
"[1.1988170471990998, -124.31215392715762, 18.69615368639867, -99.94011626178703]",0
"[-46.068005706495164, -47.032622424008196, -28.708258375635936, -30.94018474509838]",0
"[18.325590949766564, 147.25688524321077, 29.834659004987813, 159.44027529278085]",0
"[-5.946659397657456, 22.111906999359633, -2.1524866395549505, 43.78921410230976]",0
"[-34.45906096326613, 83.06211504631597, -16.185957613971393, 92.30041805386963]",0
"[7.085634281439916, -71.28292843398462, 31.376779745762153, -62.39534021481887]",77
"[39.25690383921928, -20.323368709094837, 44.51038786553288, 2.218699414477623]",35
"[23.01653514849893, 122.94242514502093, 30.969737226905035, 129.13528134010363]",0
"[-16.38355769669242, 95.13921834688728, -2.001573800512343, 102.11229753337486]",0
"[8.657256471047887, -8.61931705351617, 25.506274352305955, 9.061979439426988]",0
"[11.97040716275039, -90.0420677578736, 20.882220241364195, -78.42907766633517]",18
"[26.04380691570759, -99.52423338667415, 48.48928924330389, -95.7428656336939]",16003
"[-32.180243267486176, -151.56825822755636, -20.95689208586805, -144.55436930294155]",0
"[8.41932464312088, 58.901450816688424, 29.175538889189717, 69.11765075246684]",0
"[12.758576915851542, -35.337454955278645, 19.82539239341923, -23.71809679660536]",0
"[-25.03218523361377, 21.881906058905628, -2.1097997441132605, 31.305047525220324]",0
"[37.31410235206562, 117.27588794060728, 50.53290385426567, 131.49729558599498]",0
"[11.60661668081309, -19.93502910914151, 23.225963544224143, -12.880482412613475]",0
"[-15.581961673181425, -76.38215965974715, 8.12198159519534, -53.18337806992737]",2
"[16.74865867468688, 90.47252762021628, 28.209571103285825, 105.7523502463107]",0
"[37.71337171391107, -157.31954343068895, 53.35234545451638, -146.67799052420847]",0
"[18.750548648974032, 87.55395907634903, 41.47285667850065, 94.52352546057985]",0
"[35.875193308854705, -75.47200350740746, 60.20340963672418, -52.08290821411441]",5491
"[25.723919423820107, 63.14308062528218, 41.43583532639795, 67.5992449839797]",0
"[17.691962668528078, -136.36693587510868, 22.227041076070968, -113.21904622927853]",0
"[38.47486974997042, -78.77726826738424, 39.5753258932553, -70.99604251975681]",1012
"[18.32720580268986, 66.76398642716035, 23.113232802455986, 83.46896040002683]",12
"[7.494235394691309, -88.89827980111002, 10.640660414466637, -83.33139430125385]",1
"[36.61592434839592, -85.34278550231036, 41.76687738981148, -80.92738154231033]",509
"[5.691152815666904, 68.545661893517, 14.229069199658602, 71.97120684393926]",0
"[-47.377912843074036, -163.07041952028976, -35.386135622775775, -140.51268424878003]",0
"[-37.212149987573625, -76.60803385379093, -29.37584484437329, -72.220496563981]",0
"[-24.211461075594244, -55.454816863486016, -22.60622241241372, -33.43033773865516]",7
"[28.031228662192092, -24.269667224907266, 52.651346201193974, -22.56419407265074]",0
"[27.729114372385013, 141.3552498953938, 52.45347638825368, 158.30520689547987]",0
"[-34.26172277803704, -142.0063159073145, -11.928581246298236, -129.71764703106516]",0
"[-37.32761439564756, -82.64156818141018, -27.612039932931356, -61.13992640444552]",8
"[33.317286266613564, 114.88649233353817, 51.48954195720289, 130.7134021708941]",3
"[25.705438820605266, 49.168539870295206, 31.665456601667533, 70.55033684685614]",0
"[-1.959825193393101, 73.29947600503192, 13.816394679726757, 87.38868833574334]",15
"[-20.13712806201294, -98.76356666896073, 2.1128131165718393, -75.6782661614812]",0
"[-18.340029922540925, 86.59938028053716, 3.785679698829167, 91.39873330729235]",0
"[-45.934824500322, 29.915527730991073, -43.675074126831205, 47.74850213197465]",0
