SRC Query,Depth,BBoxes,Data Size
"[32.463946764837246, 42.320643685580706, 59.709068873830745, 68.0718966993833]",0,"[-48.2246696949, -176.30859375, 64.260842233, 177.45290404]",72625
"[34.94437160783144, -58.856330602155154, 52.175624077071504, -37.73282533823826]",0,"[-48.2246696949, -176.30859375, 64.260842233, 177.45290404]",72625
"[4.472118503467691, -174.42772706117591, 25.293709654401933, -148.726863171002]",5,"[-48.2246696949, -176.30859375, 30.23230575, -97.8081893921]",2269
"[19.20895879268562, -32.92024515645787, 36.989488022241346, -30.136647139614908]",2,"[-48.2246696949, -97.7192466833, 37.58712045, 177.45290404]",18156
"[-25.584920688639944, -35.62783308840699, -14.244908311140534, -32.10760506803204]",14,"[-27.4959108167, -40.517769731, 0.03829181, 28.19041591]",4
"[-22.36086123352025, 50.20613148238175, 4.0985080042931195, 56.24950198763719]",12,"[-27.4959108167, -40.517769731, 12.36692075, 121.2299219333]",18
"[-9.583117827711526, -122.65556233291241, -0.4502884982844968, -96.78841964941513]",1,"[-48.2246696949, -176.30859375, 37.58712045, 177.45290404]",36312
"[18.306990946319047, 146.82063086344675, 32.966839487077735, 166.45258851714038]",2,"[-48.2246696949, -97.7192466833, 37.58712045, 177.45290404]",18156
"[11.28813640366944, 95.0571026639272, 13.76097678680016, 100.21391655840803]",12,"[-23.58720582, 76.5946394, 18.5313012667, 121.2299219333]",18
"[26.186568287365745, -13.522184640302783, 42.29828467670393, -9.097034346046959]",0,"[-48.2246696949, -176.30859375, 64.260842233, 177.45290404]",72625
"[-42.957633448687986, -117.10139463029991, -22.5627163869845, -99.30951886857208]",15,"[-48.2246696949, -155.06996005, 19.7147982494, -98.6454647167]",2
"[-1.2478544706989183, 144.1650896094119, 6.3731992964582505, 145.94563359197068]",15,"[-17.75193071, 121.568681722, 25.0436006167, 177.45290404]",2
"[32.270218071684724, -53.99488344008009, 52.35985108195412, -40.23595779153006]",0,"[-48.2246696949, -176.30859375, 64.260842233, 177.45290404]",72625
"[-20.037896995080544, -120.84219638082575, -1.0217612339648525, -108.66414161605131]",15,"[-48.2246696949, -155.06996005, 19.7147982494, -98.6454647167]",2
"[-42.9574208434362, 110.0073835106569, -23.18302057551428, 118.8459026409868]",8,"[-48.2246696949, -58.41979664, 25.7931408333, 177.45290404]",284
"[-14.187768625137558, -1.5290366081113405, -2.784976241159889, 14.179007166828015]",14,"[-27.4959108167, -40.517769731, 0.03829181, 28.19041591]",4
"[14.570179056473457, -69.8814915265426, 31.598523594659483, -41.42118312709492]",4,"[-48.2246696949, -95.4069285431, 32.8138111333, 177.45290404]",4539
"[-38.80870507875225, 48.97150597531555, -35.15262642169109, 73.4458665017207]",12,"[-48.2246696949, -56.1583542667, -34.587573491, 151.2054884434]",18
"[33.24184576016759, 11.087944618164812, 44.983597878914246, 32.857408442498]",0,"[-48.2246696949, -176.30859375, 64.260842233, 177.45290404]",72625
"[-4.292910082085953, 81.74865618257417, 4.550889592337228, 102.23703964858358]",12,"[-27.4959108167, -40.517769731, 12.36692075, 121.2299219333]",18
"[25.775131356102122, -17.443618280501283, 28.806789713038885, 5.931798320307259]",4,"[-48.2246696949, -95.4069285431, 32.8138111333, 177.45290404]",4539
"[-39.34587930801249, 138.9856385791566, -16.02397822177745, 163.14705251725758]",8,"[-48.2246696949, -58.41979664, 25.7931408333, 177.45290404]",284
"[-44.34691918539006, 122.45737571553906, -41.445926053420564, 145.1714639680989]",13,"[-48.2246696949, -56.1583542667, -37.8169421022, 151.2054884434]",9
"[28.805698840940607, 29.115118324155503, 37.80523830328706, 31.034221197860884]",0,"[-48.2246696949, -176.30859375, 64.260842233, 177.45290404]",72625
"[-10.060928795133073, -83.87563316120027, 6.301556378813972, -58.293885623826725]",5,"[-48.2246696949, -95.4069285431, 28.4451665667, 177.45290404]",2269
"[10.678765244261612, -45.24824949296968, 22.547358707348614, -24.489626600588775]",10,"[-27.4959108167, -58.41979664, 25.7931408333, 121.2299219333]",71
"[-23.920461956224152, -108.2054668281756, -10.509551712130849, -81.42016802613853]",1,"[-48.2246696949, -176.30859375, 37.58712045, 177.45290404]",36312
"[3.740727868652158, -74.23284099325203, 7.72696187594933, -72.88070738638687]",14,"[-48.2246696949, -81.01899855, 24.7754977833, -71.5481990833]",4
"[-18.13875541074576, 55.58980930838814, 0.8479604235201563, 66.79014564967692]",15,"[-20.3579528167, 32.43624579, 1.2492005667, 121.2299219333]",2
"[18.405986340757266, -77.29180282543744, 29.033250299276062, -61.182183131400556]",4,"[-48.2246696949, -95.4069285431, 32.8138111333, 177.45290404]",4539
