,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,0,3,15,3,inf,0.0
1,0,567,7,567,inf,0.0
2,0,2,15,2,inf,0.0
3,0,4,14,4,inf,0.0
4,0,4539,4,4539,inf,0.0
5,0,2269,5,2269,inf,0.0
6,0,2,15,2,inf,0.0
7,0,18,12,18,inf,0.0
8,0,4540,4,4540,inf,0.0
9,0,1135,6,1135,inf,0.0
10,0,9,13,9,inf,0.0
11,0,2,15,2,inf,0.0
12,0,4,14,4,inf,0.0
13,0,71,10,71,inf,0.0
14,0,4,14,4,inf,0.0
15,0,4,14,4,inf,0.0
16,0,71,10,71,inf,0.0
17,0,4539,4,4539,inf,0.0
18,0,18,12,18,inf,0.0
19,1,4539,4,4538,4539.0,0.02203128442388191
20,0,4,14,4,inf,0.0
21,0,18,12,18,inf,0.0
22,0,1135,6,1135,inf,0.0
23,0,4,14,4,inf,0.0
24,0,71,10,71,inf,0.0
25,132,72625,0,72493,550.189393939394,0.18175559380378656
26,0,72625,0,72625,inf,0.0
27,2,18157,2,18155,9078.5,0.011015035523489564
28,2,71,10,69,35.5,2.8169014084507045
29,0,2,15,2,inf,0.0
30,0,2,15,2,inf,0.0
31,0,9,13,9,inf,0.0
32,0,9,13,9,inf,0.0
33,0,2,15,2,inf,0.0
34,0,2,15,2,inf,0.0
35,0,141,9,141,inf,0.0
36,9,72625,0,72616,8069.444444444444,0.012392426850258176
37,8,72625,0,72617,9078.125,0.011015490533562823
38,0,3,15,3,inf,0.0
39,0,4539,4,4539,inf,0.0
40,0,2,15,2,inf,0.0
41,0,18,12,18,inf,0.0
42,0,18157,2,18157,inf,0.0
43,8,2269,5,2261,283.625,0.35257822829440283
44,0,18,12,18,inf,0.0
45,0,4,14,4,inf,0.0
46,0,72625,0,72625,inf,0.0
47,0,71,10,71,inf,0.0
48,0,35,11,35,inf,0.0
49,0,4539,4,4539,inf,0.0
50,0,4,14,4,inf,0.0
51,2,4539,4,4537,2269.5,0.04406256884776382
52,0,71,10,71,inf,0.0
53,0,72625,0,72625,inf,0.0
54,0,2,15,2,inf,0.0
55,0,2269,5,2269,inf,0.0
56,0,36312,1,36312,inf,0.0
57,0,71,10,71,inf,0.0
58,0,4539,4,4539,inf,0.0
59,0,141,9,141,inf,0.0
60,0,72625,0,72625,inf,0.0
61,0,284,8,284,inf,0.0
62,0,4,14,4,inf,0.0
63,2,18157,2,18155,9078.5,0.011015035523489564
64,0,2,15,2,inf,0.0
65,0,18,12,18,inf,0.0
66,0,72625,0,72625,inf,0.0
67,1,4,14,3,4.0,25.0
68,0,71,10,71,inf,0.0
69,0,72625,0,72625,inf,0.0
70,0,3,15,3,inf,0.0
71,0,4540,4,4540,inf,0.0
72,0,72625,0,72625,inf,0.0
73,0,284,8,284,inf,0.0
74,0,4540,4,4540,inf,0.0
75,0,18156,2,18156,inf,0.0
76,1,9,13,8,9.0,11.11111111111111
77,0,71,10,71,inf,0.0
78,3,71,10,68,23.666666666666668,4.225352112676056
79,0,72625,0,72625,inf,0.0
80,0,18157,2,18157,inf,0.0
81,0,4,14,4,inf,0.0
82,0,3,15,3,inf,0.0
83,0,18156,2,18156,inf,0.0
84,0,71,10,71,inf,0.0
85,0,4,14,4,inf,0.0
86,0,18,12,18,inf,0.0
87,0,18157,2,18157,inf,0.0
88,0,18157,2,18157,inf,0.0
89,0,36312,1,36312,inf,0.0
90,0,36312,1,36312,inf,0.0
91,0,2,15,2,inf,0.0
92,36,18156,2,18120,504.3333333333333,0.19828155981493722
93,0,2,15,2,inf,0.0
94,0,2,15,2,inf,0.0
95,0,4,14,4,inf,0.0
96,0,2,15,2,inf,0.0
97,0,2,15,2,inf,0.0
98,0,5,14,5,inf,0.0
99,0,71,10,71,inf,0.0
100,0,3,15,3,inf,0.0
101,0,18157,2,18157,inf,0.0
102,0,4,14,4,inf,0.0
103,0,2,15,2,inf,0.0
104,0,71,10,71,inf,0.0
105,1045,4539,4,3494,4.343540669856459,23.022692222956596
106,0,9,13,9,inf,0.0
107,0,1135,6,1135,inf,0.0
108,0,18,12,18,inf,0.0
109,0,4,14,4,inf,0.0
110,0,4,14,4,inf,0.0
111,0,35,11,35,inf,0.0
112,0,36312,1,36312,inf,0.0
113,0,4539,4,4539,inf,0.0
114,0,4,14,4,inf,0.0
115,0,18156,2,18156,inf,0.0
116,0,18,12,18,inf,0.0
117,2,141,9,139,70.5,1.4184397163120568
118,0,283,8,283,inf,0.0
119,0,2269,5,2269,inf,0.0
120,0,1134,6,1134,inf,0.0
121,0,18,12,18,inf,0.0
122,0,2,15,2,inf,0.0
123,13021,72625,0,59604,5.577528607633822,17.92908777969019
124,0,1135,6,1135,inf,0.0
125,0,4,14,4,inf,0.0
126,0,284,8,284,inf,0.0
127,0,4539,4,4539,inf,0.0
128,0,71,10,71,inf,0.0
129,0,2,15,2,inf,0.0
130,0,36,11,36,inf,0.0
131,0,71,10,71,inf,0.0
132,0,1135,6,1135,inf,0.0
133,0,2,15,2,inf,0.0
134,16177,72625,0,56448,4.489398528775422,22.274698795180722
135,0,9,13,9,inf,0.0
136,0,4,14,4,inf,0.0
