BRC Query,Data Size
"[33.340897, -118.54272, 33.550416, -118.320818]",0
"[35.193014, -119.628733, 35.402533, -119.406831]",26
"[38.897442, -119.199435, 39.106961, -118.977533]",0
"[33.465446, -120.901182, 33.674965, -120.67928]",0
"[41.337369, -118.70491, 41.546888, -118.483008]",0
"[36.728012, -114.681634, 36.937531, -114.459732]",0
"[36.71611, -122.248066, 36.925629, -122.026164]",0
"[34.130653, -124.11817, 34.340172, -123.896268]",0
"[34.76153, -122.870989, 34.971049, -122.649087]",0
"[40.327854, -123.915694, 40.537373, -123.693792]",18
"[36.354915, -123.685705, 36.564434, -123.463803]",0
"[37.813463, -115.336883, 38.022982, -115.114981]",0
"[38.430567, -120.631066, 38.640086, -120.409164]",27
"[36.921402, -122.949044, 37.130921, -122.727142]",0
"[32.888105, -119.771403, 33.097624, -119.549501]",0
"[34.404304, -114.572737, 34.613823, -114.350835]",14
"[40.493949, -117.439228, 40.703468, -117.217326]",0
"[34.706136, -114.567533, 34.915655, -114.345631]",7
"[36.431767, -117.146437, 36.641286, -116.924535]",13
"[34.02602, -116.002448, 34.235539, -115.780546]",9
"[35.241268, -123.165045, 35.450787, -122.943143]",0
"[41.045738, -120.027958, 41.255257, -119.806056]",5
"[36.800801, -120.275996, 37.01032, -120.054094]",8
"[33.101426, -122.357953, 33.310945, -122.136051]",0
"[32.714445, -123.472393, 32.923964, -123.250491]",0
"[38.419254, -118.777418, 38.628773, -118.555516]",0
"[36.534929, -122.223041, 36.744448, -122.001139]",0
"[37.719422, -117.655778, 37.928941, -117.433876]",0
"[41.081676, -121.480813, 41.291195, -121.258911]",7
"[34.684899, -119.654633, 34.894418, -119.432731]",29
"[41.769247, -117.345893, 41.978766, -117.123991]",0
"[41.067097, -122.367241, 41.276616, -122.145339]",12
"[38.41361, -122.1391, 38.623129, -121.917198]",15
"[40.486563, -122.813419, 40.696082, -122.591517]",24
"[39.255827, -117.269208, 39.465346, -117.047306]",0
"[38.008371, -114.611029, 38.21789, -114.389127]",0
"[35.068676, -114.57794, 35.278195, -114.356038]",0
"[37.288942, -118.066735, 37.498461, -117.844833]",21
"[35.109225, -117.049899, 35.318744, -116.827997]",18
"[33.083964, -124.109157, 33.293483, -123.887255]",0
"[40.322947, -123.949572, 40.532466, -123.72767]",27
"[41.149232, -118.394945, 41.358751, -118.173043]",0
"[34.122897, -121.736981, 34.332416, -121.515079]",0
"[32.74532, -117.899015, 32.954839, -117.677113]",0
"[35.136452, -118.744663, 35.345971, -118.522761]",24
"[34.27854, -120.870193, 34.488059, -120.648291]",0
"[37.890019, -123.043622, 38.099538, -122.82172]",16
"[34.402739, -116.027792, 34.612258, -115.80589]",8
"[33.171793, -116.325319, 33.381312, -116.103417]",11
"[37.315966, -117.539653, 37.525485, -117.317751]",0
"[36.665031, -117.176449, 36.87455, -116.954547]",12
"[38.862721, -115.36079, 39.07224, -115.138888]",0
"[36.321833, -120.567357, 36.531352, -120.345455]",9
"[33.646899, -123.292809, 33.856418, -123.070907]",0
"[41.066511, -123.942979, 41.27603, -123.721077]",27
"[35.78279, -120.965709, 35.992309, -120.743807]",26
"[33.887007, -115.039652, 34.096526, -114.81775]",11
"[40.380312, -118.515895, 40.589831, -118.293993]",0
"[34.630617, -121.530174, 34.840136, -121.308272]",0
"[33.692096, -116.976993, 33.901615, -116.755091]",43
"[35.576518, -117.475833, 35.786037, -117.253931]",19
"[33.352676, -121.710269, 33.562195, -121.488367]",0
"[34.193042, -115.500159, 34.402561, -115.278257]",3
"[32.88413, -119.584361, 33.093649, -119.362459]",0
"[33.608552, -117.849609, 33.818071, -117.627707]",48
"[39.178765, -118.383919, 39.388284, -118.162017]",0
"[34.132249, -124.195826, 34.341768, -123.973924]",0
"[34.796026, -123.228689, 35.005545, -123.006787]",0
"[38.396277, -123.728722, 38.605796, -123.50682]",0
"[37.88066, -116.468818, 38.090179, -116.246916]",0
"[41.21721, -115.331582, 41.426729, -115.10968]",0
"[32.883886, -116.747677, 33.093405, -116.525775]",47
"[38.837519, -122.612432, 39.047038, -122.39053]",62
"[33.930933, -120.161339, 34.140452, -119.939437]",0
"[41.544817, -118.680152, 41.754336, -118.45825]",0
"[37.83224, -122.865819, 38.041759, -122.643917]",26
"[33.94811, -119.08968, 34.157629, -118.867778]",10
"[35.997982, -117.390419, 36.207501, -117.168517]",25
"[41.412905, -122.593617, 41.622424, -122.371715]",26
"[33.471261, -121.445583, 33.68078, -121.223681]",0
"[33.472847, -116.176224, 33.682366, -115.954322]",30
"[34.27502, -116.457149, 34.484539, -116.235247]",0
"[38.011582, -122.549973, 38.221101, -122.328071]",27
"[35.915254, -124.286127, 36.124773, -124.064225]",0
"[39.964743, -119.267655, 40.174262, -119.045753]",0
"[38.35185, -120.0978, 38.561369, -119.875898]",23
"[38.947335, -116.452942, 39.156854, -116.23104]",0
"[33.573337, -118.825876, 33.782856, -118.603974]",0
"[36.762862, -115.121665, 36.972381, -114.899763]",0
"[37.062474, -120.649536, 37.271993, -120.427634]",8
"[34.621212, -122.36474, 34.830731, -122.142838]",0
"[35.898796, -122.674501, 36.108315, -122.452599]",0
"[41.322193, -117.463268, 41.531712, -117.241366]",0
"[33.975639, -115.530899, 34.185158, -115.308997]",8
"[39.383493, -116.328784, 39.593012, -116.106882]",0
"[41.685089, -117.519962, 41.894608, -117.29806]",0
"[35.485953, -118.234684, 35.695472, -118.012782]",15
"[39.049675, -120.497745, 39.259194, -120.275843]",21
"[33.083292, -123.260741, 33.292811, -123.038839]",0
"[34.91431, -120.500089, 35.123829, -120.278187]",42
"[36.184707, -118.072412, 36.394226, -117.85051]",18
"[32.714448, -116.146741, 32.923967, -115.924839]",27
"[34.078676, -118.540973, 34.288195, -118.319071]",79
"[36.74658, -122.00361, 36.956099, -121.781708]",10
"[39.391691, -120.169252, 39.60121, -119.94735]",21
"[33.558114, -121.604911, 33.767633, -121.383009]",0
"[38.65783, -122.716411, 38.867349, -122.494509]",38
"[40.942417, -123.16859, 41.151936, -122.946688]",8
