,L2 Norm
0,0.022236467180405804
1,0.011355805723248898
2,-0.004238235471337601
3,-0.0110626234568056
4,-0.0046590610885557
5,0.002133911375840302
6,-0.0009384282553400007
7,0.003973288074112
8,0.014409264869640998
9,0.011511456030224
10,0.0122961160801008
11,0.0087075599430437
12,0.0089735313620964
13,0.0026127365762007027
14,0.0004544756712112994
15,0.0025427682971840993
16,0.0022252655511584007
17,0.0012324720131601987
18,-0.0002870376801949997
19,0.0002263265209386002
20,0.004392380826876098
21,0.006273608214289399
22,0.006502535292543601
23,0.0036247365501816987
24,0.0052625484442475005
25,0.000432249627677999
26,-0.0029491275522424004
27,0.0012335201551112
28,-0.0011398349133474994
29,-0.0029583703958533
30,0.00011461674976470139
31,0.0032600848959843005
32,0.0020820651125507007
33,0.004124061089894901
34,0.0013201883739238016
35,0.0019625569465325995
36,0.002209609298954
37,-0.0017384326855867
38,-0.0005304890181288997
39,-0.0019320993090992996
40,-0.0025687805626658997
41,-0.0012593194767999
42,-0.0005712255574858993
43,-0.0027882326019194013
44,-0.0043589069852028005
45,-0.003472419058346299
46,-0.0005660841927433002
47,-0.0014319459458399
48,-0.0009650663955664994
49,-0.00024085620598410067
50,-0.0013883033487429993
51,-0.0020299612411382
52,-0.0031021860168760993
53,-0.0028660009146852005
54,-0.0018389049414197006
55,-0.0015285766855848001
56,-0.0012002543651716997
57,-0.0012455340850991998
58,-0.0012525542063381995
59,-0.0017415647782094996
60,-0.0009993986294494998
61,-0.0014394517181095003
62,-0.0029858421872129
63,-0.0041550406591764
64,-0.0047100699782955
65,-0.0047957433049857
66,-0.004845874508419
67,-0.0049398151025916
68,-0.0040434796669876
69,-0.004725162217851599
70,-0.004377777897932601
71,-0.0034768253932457006
72,-0.0035472685406065
73,-0.003547112435452
74,-0.0037028291391266
75,-0.0023876819715533994
76,-0.0025817896371784998
77,-0.0029509422848505
78,-0.0024517993681010997
79,-0.0016681655652605004
80,-0.0009385798981384006
81,-0.0022192390169348
82,-0.0016771257923155003
83,-0.0018378649205716998
84,-0.0024559139135817
85,-0.0026364474517387997
86,-0.0029268394831711
87,-0.0024124560486688
88,-0.0023020399608286
89,-0.0014059857630047
90,-0.0007496892230259
91,-0.0003648590552866001
92,-0.0011869256254794
93,-0.0023401604073984
94,-0.0010490020081750002
95,-0.00027317506158630015
96,0.000578210842821
97,0.00022177908228349997
98,9.085583441199906e-06
99,0.0
