SRC Query,Depth,BBoxes,Data Size
"[35.247139, -121.503745, 37.970881, -118.619023]",1,"[34.735394, -124.389343, 39.192303, -114.294258]",10524
"[38.893916, -123.264661, 41.617658, -120.379939]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[36.842537, -122.839091, 39.566279, -119.954369]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[32.906526, -121.024813, 35.630268, -118.140091]",2,"[32.541302, -124.389343, 37.009014, -117.970444]",5262
"[34.376004, -121.017294, 37.099746, -118.132572]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[34.411006, -117.954076, 37.134748, -115.069354]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[37.507373, -117.404446, 40.231115, -114.519724]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[38.521162, -123.322463, 41.244904, -120.437741]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[36.908127, -121.095668, 39.631869, -118.210946]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[35.462218, -121.297678, 38.18596, -118.412956]",1,"[34.735394, -124.389343, 39.192303, -114.294258]",10524
"[38.971352, -118.808907, 41.695094, -115.924185]",4,"[38.773846, -120.90374, 42.017231, -114.294258]",1316
"[36.669907, -122.661037, 39.393649, -119.776315]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[33.042721, -117.393705, 35.766463, -114.508983]",2,"[32.541302, -117.970444, 37.009014, -114.294258]",5262
"[34.899341, -119.952357, 37.623083, -117.067635]",2,"[34.735394, -120.2724, 39.192303, -114.294258]",5262
"[38.889996, -122.963252, 41.613738, -120.07853]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[34.486482, -123.669935, 37.210224, -120.785213]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[38.678023, -122.392518, 41.401765, -119.507796]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[33.592567, -118.899474, 36.316309, -116.014752]",1,"[32.541302, -124.389343, 37.009014, -114.294258]",10524
"[32.785793, -117.191579, 35.509535, -114.306857]",2,"[32.541302, -117.970444, 37.009014, -114.294258]",5262
"[37.260416, -119.011554, 39.984158, -116.126832]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[33.950144, -120.040758, 36.673886, -117.156036]",1,"[32.541302, -124.389343, 37.009014, -114.294258]",10524
"[34.084143, -117.678655, 36.807885, -114.793933]",3,"[34.003124, -117.970444, 37.009014, -114.294258]",2631
"[35.883774, -123.708992, 38.607516, -120.82427]",2,"[34.735394, -124.389343, 39.192303, -120.2724]",5262
"[37.911316, -123.95146, 40.635058, -121.066738]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[32.59991, -119.701108, 35.323652, -116.816386]",1,"[32.541302, -124.389343, 37.009014, -114.294258]",10524
"[32.987914, -118.846356, 35.711656, -115.961634]",1,"[32.541302, -124.389343, 37.009014, -114.294258]",10524
"[37.016707, -124.231788, 39.740449, -121.347066]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[33.624277, -120.105375, 36.348019, -117.220653]",1,"[32.541302, -124.389343, 37.009014, -114.294258]",10524
"[35.335173, -117.72214, 38.058915, -114.837418]",2,"[34.735394, -120.2724, 39.192303, -114.294258]",5262
