,DAG,KD
0,14,14
1,6,6
2,4,4
3,7,7
4,6,4
5,6,6
6,4,4
7,4,3
8,5,5
9,6,6
10,5,0
11,5,4
12,8,8
13,4,4
14,5,5
15,5,5
16,3,1
17,4,3
18,5,5
19,4,2
20,6,6
21,8,8
22,5,5
23,5,5
24,4,4
25,6,3
26,5,1
27,6,6
28,14,14
29,3,3
30,6,4
31,5,4
32,5,4
33,8,8
34,5,0
35,5,3
36,4,4
37,8,8
38,6,0
39,5,5
40,6,6
41,4,0
42,4,4
43,5,0
44,8,8
45,7,7
46,6,6
47,5,1
48,5,3
49,4,4
50,8,8
51,14,14
52,6,4
53,3,3
54,5,1
55,5,5
56,3,2
57,4,3
58,5,2
59,4,4
60,6,0
61,8,6
62,4,4
63,5,3
64,6,2
65,6,6
66,5,1
67,4,2
68,5,5
69,14,14
70,6,6
71,7,5
72,5,4
73,8,8
74,4,2
75,5,5
76,4,4
77,6,6
78,4,4
79,8,6
80,8,8
81,14,14
82,6,6
83,6,6
84,6,4
85,6,0
86,8,8
87,4,4
88,7,7
89,4,3
90,8,8
91,6,4
92,5,3
93,6,6
94,6,6
95,6,0
96,6,6
97,8,8
98,4,0
99,5,5
100,4,2
101,3,3
102,8,8
103,5,1
104,6,6
105,4,2
106,8,8
107,5,4
108,6,6
109,4,2
110,4,4
111,3,3
112,4,2
113,5,5
114,8,6
115,4,3
116,4,4
117,6,0
118,5,5
119,6,4
120,9,9
121,3,1
122,3,1
123,6,1
124,4,0
125,5,3
126,6,4
127,3,3
128,6,4
129,5,5
130,5,5
131,3,3
132,10,10
133,8,8
134,5,5
135,4,2
136,4,4
137,3,1
138,6,6
139,5,1
140,5,3
141,4,4
142,6,4
143,3,3
144,5,2
145,7,7
146,4,4
147,6,1
148,5,1
149,4,4
150,8,8
151,4,3
152,6,2
153,5,2
154,4,4
155,6,6
156,8,0
157,2,1
158,5,2
159,6,6
160,5,5
161,4,4
162,3,3
163,6,2
164,7,5
165,3,1
166,4,4
167,5,5
168,8,8
169,6,2
170,4,4
171,4,3
172,6,6
173,5,4
174,8,4
175,6,6
176,6,6
177,4,4
178,14,14
179,6,2
180,5,5
181,6,2
182,6,6
183,5,5
184,5,3
185,6,6
186,6,6
187,14,14
188,8,6
189,5,4
190,4,2
191,5,5
192,7,7
193,4,4
194,6,4
195,5,5
196,5,3
197,6,2
198,15,15
199,4,4
200,14,14
201,6,1
202,4,0
203,14,14
204,6,1
205,6,4
206,5,3
207,6,6
208,5,4
209,6,6
210,6,6
211,7,3
212,7,7
213,5,5
214,6,4
215,4,2
216,5,5
217,8,8
218,7,5
219,6,2
220,5,1
221,6,6
222,8,6
223,6,0
224,5,0
225,14,14
226,6,6
227,4,2
228,14,14
229,4,4
230,5,5
231,4,4
232,4,4
233,5,1
234,6,6
235,4,4
236,4,2
237,4,2
238,4,2
239,4,4
240,5,5
241,6,6
242,5,4
243,8,8
