,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,1742,5262,2,3520,3.020665901262916,33.105283162295706
1,0,1316,4,1316,inf,0.0
2,751,5262,2,4511,7.006657789613848,14.27213987077157
3,0,1316,4,1316,inf,0.0
4,0,1316,4,1316,inf,0.0
5,0,1316,4,1316,inf,0.0
6,1765,2631,3,866,1.4906515580736543,67.08475864690232
7,1762,5262,2,3500,2.986379114642452,33.48536678069175
8,1031,2631,3,1600,2.551891367604268,39.18662105663246
9,1359,2631,3,1272,1.9359823399558498,51.653363740022805
10,0,1316,4,1316,inf,0.0
11,68,1315,4,1247,19.33823529411765,5.171102661596958
12,1366,2631,3,1265,1.9260614934114202,51.91942227290004
13,1397,5262,2,3865,3.766642806012885,26.548840744963893
14,17,5262,2,5245,309.52941176470586,0.32307107563664006
15,1452,5262,2,3810,3.62396694214876,27.594070695553018
16,1694,10524,1,8830,6.212514757969304,16.096541239072597
17,1134,5262,2,4128,4.64021164021164,21.55074116305587
18,1647,5262,2,3615,3.1948998178506374,31.29988597491448
19,1428,10524,1,9096,7.369747899159663,13.568985176738883
20,51,1316,4,1265,25.80392156862745,3.875379939209726
21,1439,2631,3,1192,1.8283530229325922,54.69403268719118
22,879,5262,2,4383,5.986348122866894,16.704675028506273
23,700,2631,3,1931,3.7585714285714285,26.605853287723296
24,37,328,6,291,8.864864864864865,11.28048780487805
25,1348,5262,2,3914,3.9035608308605343,25.617635879893573
26,77,328,6,251,4.259740259740259,23.47560975609756
27,819,5262,2,4443,6.424908424908425,15.56442417331813
28,1562,5262,2,3700,3.3687580025608193,29.68453059673128
29,1486,10524,1,9038,7.082099596231494,14.120106423413151
30,2128,10524,1,8396,4.945488721804511,20.220448498669708
31,1622,2631,3,1009,1.622071516646116,61.64956290383884
32,2287,10524,1,8237,4.601661565369479,21.731280881793992
33,0,5262,2,5262,inf,0.0
34,1141,2631,3,1490,2.305872042068361,43.36754085898898
35,630,2631,3,2001,4.1761904761904765,23.945267958950968
36,1402,2631,3,1229,1.87660485021398,53.28772329912581
37,1019,5262,2,4243,5.1638861629048085,19.3652603572786
38,675,5262,2,4587,7.795555555555556,12.82782212086659
39,432,1316,4,884,3.0462962962962963,32.82674772036474
40,2010,10524,1,8514,5.235820895522388,19.09920182440137
41,2797,10524,1,7727,3.762602788702181,26.577347016343595
42,1008,2631,3,1623,2.6101190476190474,38.31242873432155
43,464,5262,2,4798,11.34051724137931,8.817939946788293
44,1872,5262,2,3390,2.8108974358974357,35.57582668187001
45,2197,10524,1,8327,4.790168411470186,20.87609274040289
46,1066,5262,2,4196,4.936210131332083,20.258456860509312
47,999,2631,3,1632,2.6336336336336337,37.97035347776511
48,1355,10524,1,9169,7.766789667896679,12.875332573166096
49,2014,2631,3,617,1.3063555114200596,76.5488407449639
50,0,5262,2,5262,inf,0.0
51,1295,5262,2,3967,4.063320463320463,24.61041429114405
52,246,5262,2,5016,21.390243902439025,4.67502850627138
53,1272,10524,1,9252,8.273584905660377,12.086659064994299
54,237,1316,4,1079,5.552742616033755,18.009118541033434
55,0,5262,2,5262,inf,0.0
56,1677,5262,2,3585,3.137745974955277,31.870011402508553
57,1005,2631,3,1626,2.617910447761194,38.19840364880274
58,1822,2631,3,809,1.4440175631174534,69.2512352717598
59,766,2631,3,1865,3.4347258485639687,29.114405169137207
60,0,1316,4,1316,inf,0.0
61,1749,10524,1,8775,6.017152658662092,16.619156214367163
62,511,5262,2,4751,10.297455968688846,9.711136450019005
63,148,5262,2,5114,35.554054054054056,2.8126187761307486
64,571,2631,3,2060,4.607705779334501,21.70277461041429
65,1717,2631,3,914,1.532323820617356,65.26035727860129
