BRC Query,Data Size
"[33.43, -118.85, 35.99, -117.38]",2265
"[35.83, -119.66, 37.66, -117.21]",1697
"[33.16, -118.33, 34.21, -116.53]",1753
"[37.6, -121.16, 38.6, -118.83]",1023
"[34.06, -117.85, 36.8, -116.79]",1214
"[32.71, -117.58, 34.71, -115.88]",2302
"[33.98, -124.18, 35.76, -122.77]",0
"[35.45, -122.7, 37.36, -121.27]",668
"[33.99, -122.29, 35.84, -121.25]",20
"[38.1, -119.73, 40.13, -118.39]",138
"[39.12, -123.51, 41.7, -121.9]",1746
"[37.33, -117.6, 39.64, -115.82]",0
"[38.05, -122.19, 40.29, -120.11]",2326
"[38.39, -120.72, 40.95, -118.63]",980
"[32.77, -118.61, 34.22, -116.85]",2020
"[33.69, -119.29, 35.7, -117.05]",2786
"[35.03, -120.7, 36.84, -118.27]",2209
"[36.0, -120.84, 37.72, -119.79]",715
"[32.83, -117.26, 35.13, -115.17]",2164
"[35.15, -120.75, 36.46, -117.94]",1816
"[37.65, -118.15, 39.64, -116.72]",0
"[35.95, -120.2, 38.71, -118.35]",1984
"[34.33, -117.45, 36.34, -116.44]",592
"[37.74, -117.96, 40.25, -115.6]",0
"[37.91, -120.32, 39.87, -118.53]",591
"[32.91, -120.26, 35.51, -118.89]",976
"[35.89, -121.8, 37.78, -120.16]",1273
"[36.11, -119.95, 38.26, -118.11]",1623
"[32.73, -123.1, 34.15, -121.02]",0
"[38.25, -118.61, 40.72, -116.11]",0
"[34.23, -119.51, 36.78, -118.36]",1727
"[32.65, -118.91, 33.68, -117.45]",124
"[33.27, -121.89, 35.42, -120.76]",25
"[33.6, -123.17, 35.57, -121.67]",0
"[37.26, -122.05, 39.1, -120.18]",1885
"[32.7, -121.34, 34.41, -119.99]",0
"[33.26, -120.69, 35.92, -119.3]",1264
"[36.56, -124.24, 39.07, -123.21]",192
"[33.51, -123.23, 35.83, -120.93]",57
"[37.04, -122.79, 39.04, -119.99]",3292
"[37.83, -122.77, 39.78, -120.57]",2438
"[35.16, -122.06, 37.22, -119.9]",1594
"[32.93, -117.37, 34.48, -114.76]",2019
"[34.57, -122.14, 37.15, -119.41]",2440
"[37.48, -122.56, 39.25, -121.54]",1258
"[38.37, -118.45, 39.44, -115.68]",0
"[36.32, -118.1, 37.64, -115.31]",398
"[37.21, -121.65, 39.15, -120.01]",1605
"[33.91, -121.25, 36.15, -119.89]",1044
"[33.23, -122.24, 35.46, -120.32]",340
"[34.7, -117.86, 37.31, -116.83]",709
"[33.87, -117.23, 35.47, -114.79]",1200
"[34.79, -119.5, 36.18, -116.96]",1426
"[38.72, -117.99, 40.35, -115.72]",0
"[35.76, -122.69, 38.58, -120.35]",3148
"[33.1, -117.78, 34.41, -116.39]",1485
"[37.58, -118.29, 39.69, -116.61]",1
"[34.8, -118.1, 36.34, -115.99]",869
"[38.87, -123.41, 41.51, -121.39]",2333
"[33.23, -123.86, 34.3, -121.26]",0
"[37.77, -121.92, 40.3, -119.79]",2638
"[37.73, -120.25, 39.43, -118.84]",643
"[33.08, -117.93, 34.57, -115.89]",2108
"[38.68, -122.38, 40.52, -119.93]",2222
"[38.03, -119.53, 39.05, -118.36]",108
"[33.3, -124.1, 35.93, -122.66]",0
"[39.1, -123.55, 40.88, -122.24]",1172
"[34.14, -123.64, 36.51, -120.96]",338
"[35.05, -117.8, 37.84, -116.26]",776
"[34.22, -123.66, 36.1, -121.46]",20
"[32.8, -117.26, 33.82, -115.72]",1134
"[36.5, -122.12, 38.33, -121.0]",1116
"[38.6, -117.36, 41.39, -116.15]",0
"[33.97, -117.28, 36.11, -115.28]",1250
"[37.11, -122.51, 39.33, -120.51]",2829
"[34.58, -123.8, 36.03, -122.28]",0
"[39.06, -119.66, 40.89, -117.47]",0
"[38.78, -122.16, 40.5, -120.56]",1386
"[34.64, -117.91, 37.2, -116.35]",969
"[34.76, -120.19, 36.76, -118.09]",1967
"[34.17, -122.62, 35.21, -121.49]",0
"[36.2, -123.84, 37.33, -121.67]",332
"[34.47, -120.81, 36.93, -118.22]",3117
"[33.56, -118.62, 35.48, -117.48]",1570
"[38.84, -118.76, 40.16, -115.95]",0
"[37.99, -123.61, 39.58, -121.66]",1770
"[38.64, -117.91, 40.18, -116.65]",0
"[38.58, -122.1, 39.64, -119.44]",1276
"[37.87, -118.29, 40.54, -115.91]",0
"[37.12, -121.25, 38.45, -119.96]",877
"[37.28, -122.56, 39.51, -121.44]",1788
"[38.93, -120.41, 41.42, -118.41]",414
"[38.19, -121.52, 40.03, -119.9]",1590
"[34.25, -119.7, 35.29, -117.93]",914
"[36.33, -121.82, 37.44, -120.57]",569
"[33.37, -118.38, 34.85, -116.65]",2110
"[35.2, -122.7, 37.33, -121.69]",325
"[36.05, -119.68, 37.97, -117.87]",1448
"[37.1, -122.66, 39.45, -120.75]",2828
"[35.72, -121.4, 37.13, -119.37]",1049
"[38.56, -122.39, 41.25, -120.2]",2756
"[32.86, -120.68, 33.99, -118.06]",197
"[33.6, -117.99, 36.01, -116.42]",1988
"[37.14, -121.69, 39.7, -119.4]",2699
"[37.43, -118.18, 39.53, -115.53]",15
"[38.91, -123.11, 40.96, -121.65]",1305
"[33.98, -118.89, 36.03, -117.79]",1358
"[37.06, -121.87, 39.38, -119.92]",2330
"[33.63, -124.09, 35.98, -121.28]",34
"[37.9, -122.45, 40.06, -119.77]",2940
"[38.91, -118.76, 40.17, -116.21]",0
"[36.92, -121.16, 39.21, -118.46]",2293
"[38.98, -118.57, 40.68, -116.77]",0
"[33.63, -123.47, 35.23, -120.8]",0
"[38.91, -120.03, 40.13, -118.28]",31
"[33.32, -122.59, 34.86, -120.21]",158
"[32.57, -121.21, 33.92, -120.17]",0
"[36.7, -118.33, 38.82, -116.95]",256
"[34.43, -122.41, 36.43, -120.33]",994
"[34.21, -118.65, 36.47, -116.16]",2040
"[39.0, -120.83, 41.01, -118.25]",795
"[37.64, -121.61, 39.69, -120.09]",1708
"[33.26, -123.53, 35.75, -121.15]",16
"[36.16, -118.87, 38.94, -116.08]",1044
"[33.45, -120.24, 35.37, -118.67]",991
"[35.88, -120.56, 37.54, -119.56]",641
"[35.48, -122.18, 37.31, -120.44]",1164
"[37.74, -120.82, 40.0, -118.63]",1391
"[35.05, -124.36, 36.43, -122.85]",0
"[36.51, -118.37, 39.13, -116.43]",369
"[39.09, -118.34, 40.94, -116.59]",0
"[37.48, -122.17, 40.3, -120.86]",1988
"[36.65, -121.78, 38.63, -120.77]",911
"[35.12, -121.45, 36.9, -118.86]",2089
"[36.42, -117.88, 38.77, -115.5]",228
