,DAG,KD
0,6,2
1,5,1
2,6,6
3,5,5
4,4,4
5,7,7
6,6,3
7,7,7
8,6,6
9,4,4
10,4,4
11,7,5
12,15,15
13,6,3
14,6,4
15,4,4
16,4,2
17,6,6
18,5,4
19,6,6
20,5,5
21,5,5
22,7,4
23,6,4
24,5,4
25,6,6
26,14,14
27,12,4
28,8,8
29,15,15
30,8,8
31,6,6
32,5,1
33,4,4
34,5,5
35,7,5
36,4,4
37,5,1
38,6,6
39,6,2
40,6,2
41,7,7
42,8,8
43,6,6
44,9,7
45,14,14
46,8,6
47,4,4
48,8,8
49,6,6
50,8,8
51,14,14
52,4,4
53,10,8
54,4,4
55,4,2
56,4,4
57,7,3
58,14,14
59,5,5
60,3,3
61,10,10
62,3,3
63,5,3
64,5,5
65,7,1
66,6,4
67,4,4
68,5,3
69,6,6
70,5,1
71,6,4
72,6,0
73,4,2
74,15,15
75,4,0
76,5,5
77,8,0
78,5,4
79,6,0
80,15,15
81,7,7
82,6,1
83,8,8
84,6,2
85,7,7
86,6,5
87,10,10
88,6,6
89,6,6
90,14,14
91,4,4
92,4,2
93,6,2
94,7,5
95,8,8
96,4,1
97,4,2
98,6,4
99,4,4
100,8,8
101,4,2
102,10,10
103,8,8
104,8,6
105,4,4
106,3,1
107,4,4
108,6,2
109,6,4
110,6,6
111,6,6
112,5,5
113,10,6
114,5,5
115,4,2
116,5,5
117,4,4
118,7,5
119,6,2
120,2,2
121,5,5
122,4,4
123,8,8
124,6,6
125,8,8
126,14,14
127,3,3
128,6,6
129,6,4
130,6,4
131,3,1
132,8,4
133,8,4
134,5,2
135,6,4
136,4,2
137,3,3
138,6,5
139,6,4
140,8,6
141,6,0
142,10,10
143,14,14
144,3,3
145,3,2
146,7,5
147,6,6
148,4,4
149,5,5
150,9,9
151,8,6
152,6,6
153,4,2
154,7,5
155,6,6
156,4,4
157,6,6
158,7,7
159,4,4
160,5,5
161,4,4
162,10,10
163,6,4
164,4,4
165,8,8
166,4,4
167,10,8
168,5,0
169,8,8
170,6,6
171,4,4
172,14,14
173,4,2
174,4,4
175,14,14
176,5,0
177,6,2
178,3,3
179,6,6
180,4,2
181,6,6
182,5,1
183,8,8
184,7,2
185,6,4
186,6,2
187,6,4
188,11,11
189,7,7
190,14,14
191,6,6
192,5,5
193,4,4
194,8,4
195,6,0
196,8,8
197,6,6
198,6,2
199,14,14
200,14,14
201,7,5
