,L2 Norm
0,0.11488228758168076
1,0.07360665730761042
2,0.035162258807483415
3,0.04449651671760386
4,0.034939089856491676
5,0.03805326676004455
6,0.0342937669114898
7,0.027974363263531133
8,0.022701808270827958
9,0.026044961124947003
10,0.018055181715420643
11,0.015389245884346923
12,0.017516494340035504
13,0.010014336661781942
14,0.009685384177546427
15,0.007617988579671152
16,0.007498248930531814
17,0.008228331063998662
18,0.0070235732869709175
19,0.008230431337420914
20,0.008696643604133981
21,0.007963107080792377
22,0.007968541645409874
23,0.0101185198741933
24,0.012756958885251638
25,0.014949789731556518
26,0.014023019483899227
27,0.012113460214461727
28,0.011902474287878276
29,0.012673945277177487
30,0.009227630092715669
31,0.009762940130923716
32,0.010410608596516479
33,0.011044681194989865
34,0.009604272008659825
35,0.009327140802816044
36,0.010340438111415388
37,0.010792469417231831
38,0.009283777286754532
39,0.009500789440883353
40,0.008401833317401469
41,0.006997657528370043
42,0.006721978674158071
43,0.0056945239753455725
44,0.0065500353405888645
45,0.00617441210475295
46,0.005916556478336073
47,0.005965095230682511
48,0.006388568116742394
49,0.007206941098690925
50,0.005702072038184277
51,0.004445168908738916
52,0.005851170038140829
53,0.0058970662999920705
54,0.006044422331564383
55,0.0052990854043362175
56,0.006092218874062229
57,0.0055038134007304
58,0.0055773050404234565
59,0.00505371150739733
60,0.005930093971618663
61,0.005229522772559676
62,0.004984679476000263
63,0.004811542112462502
64,0.004985102065509842
65,0.004282887125572526
66,0.004189078183836675
67,0.0043651101762969425
68,0.004936954766781874
69,0.004649906735953025
70,0.005536940918877426
71,0.005879725575186858
72,0.0047583816086849825
73,0.0052317273927502
74,0.005029026855278395
75,0.005333565899823144
76,0.004691786674896082
77,0.0048101183622419625
78,0.004635254647085367
79,0.004118100290182369
80,0.0034023118994649447
81,0.003746990860890959
82,0.003449796718888644
83,0.003325003196765909
84,0.002931430912921543
85,0.0032644453693540603
86,0.003005826464305341
87,0.0035089790373123747
88,0.003895632818449381
89,0.004185129465378038
90,0.002884047877194839
91,0.0031730969766839145
92,0.0022036731337426872
93,0.002152562770878309
94,0.0011404669306667942
95,0.0008046522713431976
96,0.000664565541471796
97,0.0007945933502447886
98,0.0006063921651987993
99,0.0
