,L2 Norm
0,-0.018424973758811997
1,0.0233122969766891
2,-0.010449322912675495
3,-0.014849952555509204
4,-0.009397510753429303
5,-0.0019798435752992997
6,0.0016935624379306007
7,-0.005648229970121196
8,-0.009606073274180803
9,-0.011332577101612597
10,-0.0092760647775928
11,-0.005652811605484
12,-0.007023850493381698
13,-0.00040936625886430107
14,0.0020053178481787004
15,-0.00016568493100699994
16,0.0009529958137134004
17,0.003057249283311199
18,0.012085531267694398
19,0.0131603003385947
20,0.006623758467846401
21,0.002355346609239901
22,0.0047106479350727
23,0.0034217963786456005
24,0.0034615009380118992
25,0.0037349673260162995
26,-0.00030948361903840056
27,0.0018042136030908002
28,0.0015901298258323999
29,-0.001449241262371801
30,-0.0033363487714306002
31,-0.0021221408951973995
32,-0.0020037401369812
33,0.00033375620244139974
34,1.4275200440399746e-05
35,0.0016470869050259993
36,0.0009258130312448003
37,0.0006423014583257997
38,-0.0004945883960183004
39,-0.000751321949382799
40,-0.0006634693961247995
41,-0.002193288610932399
42,-0.0010783277001713996
43,6.430967512329952e-05
44,0.0005855830158846016
45,0.0016055293551718993
46,0.0008725778349715002
47,0.00015927193537140002
48,0.0006500167478023997
49,0.0006856531531159995
50,0.0010950680013822002
51,-0.0008034631105313999
52,0.0010108129649551998
53,0.0006156603936954995
54,0.00022007985664109983
55,-0.00012386199546599985
56,-0.0017128715089171995
57,-0.0009160660080055
58,-0.0013525447595957004
59,-0.001333618263106899
60,-0.0015258949360356005
61,-0.00027663698873390055
62,-0.0007579538299023999
63,-0.0012817605288553005
64,-0.0012636132952024
65,-0.0027818030510943
66,-0.0028310632910993
67,-0.0021872200751545
68,-0.0024672725128498
69,-0.0006890932982505996
70,-0.0012599205566449995
71,-0.0012163778838361
72,-0.0016776085837337997
73,-0.0025309361954539
74,-0.0021776181978164
75,-0.0024210228839672003
76,-0.0023322176545551
77,-0.0026722392749991
78,-0.0023705306202442002
79,-0.0021592599230647997
80,-0.0023049686429594
81,-0.0033762444750554
82,-0.0039144649322256
83,-0.0036047853135660005
84,-0.0027141863559468
85,-0.0019006639385213998
86,-0.0010940539516325
87,-0.00023317431952270002
88,-0.00030791699664079993
89,0.0002627227537631998
90,0.0010387505391234997
91,0.0017860230139891
92,0.0018875266749177
93,0.0011377533117973
94,0.0012981131054191001
95,0.0003757326913784
96,0.0005363709200506001
97,-0.0008988502822982001
98,-0.0001539464824789
99,0.0
