,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,159,2631,3,2472,16.547169811320753,6.043329532497149
1,62,1316,4,1254,21.225806451612904,4.711246200607903
2,128,658,5,530,5.140625,19.45288753799392
3,0,21,10,21,inf,0.0
4,92,329,6,237,3.5760869565217392,27.96352583586626
5,317,2631,3,2314,8.299684542586752,12.048650703154694
6,69,1316,4,1247,19.07246376811594,5.243161094224924
7,0,329,6,329,inf,0.0
8,149,1315,4,1166,8.825503355704697,11.330798479087452
9,306,1316,4,1010,4.300653594771242,23.252279635258358
10,302,657,5,355,2.1754966887417218,45.96651445966514
11,113,329,6,216,2.911504424778761,34.34650455927052
12,0,83,8,83,inf,0.0
13,0,329,6,329,inf,0.0
14,0,328,6,328,inf,0.0
15,220,657,5,437,2.9863636363636363,33.4855403348554
16,143,657,5,514,4.594405594405594,21.765601217656013
17,0,2,13,2,inf,0.0
18,0,10,11,10,inf,0.0
19,0,82,8,82,inf,0.0
20,122,165,7,43,1.3524590163934427,73.93939393939394
21,330,658,5,328,1.993939393939394,50.15197568389058
22,115,5262,2,5147,45.756521739130434,2.185480805777271
23,61,1316,4,1255,21.57377049180328,4.635258358662614
24,0,21,10,21,inf,0.0
25,0,82,8,82,inf,0.0
26,0,1316,4,1316,inf,0.0
27,0,329,6,329,inf,0.0
28,48,164,7,116,3.4166666666666665,29.268292682926827
29,30,329,6,299,10.966666666666667,9.118541033434651
30,0,329,6,329,inf,0.0
31,0,83,8,83,inf,0.0
32,0,329,6,329,inf,0.0
33,321,2631,3,2310,8.19626168224299,12.200684150513112
34,367,5262,2,4895,14.337874659400544,6.974534397567465
35,0,2,13,2,inf,0.0
36,0,3,13,3,inf,0.0
37,121,658,5,537,5.43801652892562,18.38905775075988
38,74,328,6,254,4.4324324324324325,22.5609756097561
39,0,1315,4,1315,inf,0.0
40,219,658,5,439,3.0045662100456623,33.28267477203647
41,137,657,5,520,4.795620437956204,20.85235920852359
