BRC Query,Data Size
"[38.76397359380118, -120.69571230485289, 39.487019097896, -119.69875138995057]",289
"[41.13997586269139, -120.01054225738457, 41.802630187319124, -119.42143666388863]",9
"[34.55381040202207, -124.25925535506917, 35.13093365113262, -123.58413827502274]",0
"[35.20853314822442, -116.02455125766717, 36.13312276971508, -115.19652552852394]",142
"[36.706611884632686, -117.3814261992303, 37.51067466153217, -116.7362233992241]",43
"[39.5851595104828, -118.82168385776184, 40.52657461235562, -118.0611360689599]",0
"[32.65092648759221, -117.30550332484866, 33.238378331735774, -116.61875144497492]",525
"[36.50256304786349, -118.66533407744373, 37.21818084347968, -117.72763630353231]",224
"[40.315725453787785, -118.63895436886784, 41.0728351548569, -117.99782314230025]",0
"[39.56069293119228, -119.00309557161901, 40.52651858980987, -118.16191386237578]",0
"[39.91467867480859, -116.60270236692676, 40.605658606909415, -115.9078360204432]",0
"[32.795803723223514, -118.54651376083117, 33.78237733386718, -117.81771916059607]",106
"[39.67147972675511, -117.25390404764002, 40.39830362553959, -116.4451522310223]",0
"[37.9347260917099, -117.49307303886333, 38.76397524710756, -116.9182899147509]",0
"[32.605359289496235, -116.84422107654352, 33.185957158595116, -116.13988578564461]",335
"[39.31209566424215, -115.36965693257225, 40.28106695982827, -114.37201881840949]",0
"[33.9000782129718, -119.82007457482908, 34.79170745443144, -119.09143594676]",345
"[36.36968976597845, -118.35725199999447, 37.246782591954826, -117.62506519606382]",197
"[36.93150278421335, -119.03125875978499, 37.581524441890956, -118.29644180763759]",177
"[39.91387334863173, -120.21972851903763, 40.825865066977045, -119.40614328592623]",54
"[40.00785412111724, -120.06457454368254, 40.674933761594744, -119.25763775779181]",14
"[37.57462488750513, -124.33203811467325, 38.35570162934064, -123.76256540127446]",0
"[34.8344347012015, -119.06801110047189, 35.60240877758936, -118.33314379128433]",240
"[34.37899156436925, -119.32904566800705, 35.180077753055606, -118.39673116766569]",282
"[35.34388071489054, -117.79190395774563, 35.950023040772024, -116.88225648980966]",147
"[39.904649050535845, -119.98316122093783, 40.6279424027365, -119.16356899155201]",0
"[39.429488047622854, -120.71285227373608, 40.17265626694128, -120.00057339000989]",212
"[33.91777290410627, -117.59876854817371, 34.91358281510262, -116.96404880145407]",601
"[36.010573860518235, -117.20361528176872, 36.65406145820272, -116.39669785829605]",142
"[34.790108356903346, -116.52166747139623, 35.443344143774006, -115.90857259788918]",57
"[35.95029089056348, -117.44944319378212, 36.57174543222778, -116.52964119123477]",174
"[40.04147418868819, -123.80590232920852, 40.7218295096302, -123.18451645451387]",180
"[34.14305477044108, -115.58898009626965, 34.91190657197761, -114.62700553862481]",155
"[38.224961710038215, -123.53768115611847, 38.91616911567798, -122.62164698315688]",428
"[37.33120301406767, -116.1922250065546, 38.017461674092345, -115.46736134160516]",0
"[41.27255311327094, -118.8614187717405, 42.00763356205996, -117.95489054812535]",0
"[41.20385749801038, -118.0685270726459, 42.017231, -117.18988041831753]",0
"[40.57596457913769, -114.9886289958317, 41.164346425297076, -114.294258]",0
"[38.55248652019334, -119.90123845564928, 39.295926097478976, -119.2905624656554]",80
"[39.90367915957729, -123.59242741953412, 40.66805755830402, -123.00903176630392]",189
"[33.6585628939485, -120.74292830151961, 34.2532348607084, -119.76798784419795]",0
"[38.02657079370026, -121.75424150783596, 38.74979473617805, -121.17510020640937]",250
"[34.96964491422119, -115.05837865860775, 35.8769175808237, -114.46670652975254]",19
"[33.31485201550803, -122.4136851847594, 34.128914256713436, -121.77808229705629]",0
"[37.67862789529187, -121.12731721117267, 38.6495115943659, -120.4371056771267]",388
"[33.05523149461855, -115.16780123130386, 33.97075975898781, -114.30782342406604]",127
"[34.137972737481384, -116.88538504706005, 34.898555304891985, -116.10553111239363]",158
"[35.70814125341142, -120.10329758878403, 36.36758798715651, -119.358867094469]",184
"[41.15797796008586, -115.36016805526457, 42.017231, -114.6923450263635]",0
"[36.634286220892086, -123.15075737980062, 37.61501135309246, -122.50985004947255]",2
"[34.96278958236983, -117.9001567997054, 35.64445601076286, -117.05571325742328]",106
"[35.666691669324, -120.45532406656798, 36.31956595717207, -119.75375588324661]",209
"[33.35045837079672, -115.2059928847588, 34.12018071190644, -114.42191974867995]",152
"[38.82438276647779, -122.56414503889182, 39.49504209927056, -121.63707175045337]",310
"[32.682330507206366, -122.57517602571382, 33.46840575251585, -121.67487977473976]",0
"[38.77946815894722, -119.5579151911864, 39.46044948703229, -118.93665539443208]",0
"[41.40274165288547, -115.1212236578603, 42.017231, -114.294258]",0
"[38.39244939085917, -115.23178916780641, 39.23830994264379, -114.294258]",0
"[39.86588855895789, -117.7103972158795, 40.661104486263206, -116.93276903701292]",0
"[33.19858936176998, -115.32900920551464, 33.93866515463143, -114.39759930405995]",148
"[39.805174844499305, -121.84958568996718, 40.396922549210124, -121.09878847420826]",217
"[40.730229469001664, -120.16483976695785, 41.32169423081605, -119.40721040472756]",45
"[33.733922194286464, -121.46100035029635, 34.4989542872295, -120.86471592758137]",0
