,L2 Norm
0,0.021007105827428804
1,0.0031079487296787056
2,0.007556948305600206
3,-0.0081961294428144
4,-0.0061286828433433985
5,0.0371987847255406
6,0.0231245687129866
7,0.018335333099603904
8,0.0136078897731845
9,0.005828625729384501
10,0.005205954083472599
11,-0.001441315370745301
12,0.0078607919496716
13,0.008146900524274199
14,0.0106922855750874
15,0.0112166584053805
16,0.0153498548132404
17,0.015090072580736401
18,0.0168241449374762
19,0.011280220901990603
20,0.0112177319929949
21,0.0099712538708924
22,0.008908010337374301
23,0.013352928821440601
24,0.011377725727745602
25,0.0093877753921066
26,0.009883060456317
27,0.0151271177574937
28,0.011383998245159701
29,0.011421241826882202
30,0.0093174377710698
31,0.008786391682516999
32,0.0058667525121103
33,0.006406670417161999
34,0.001893711260281301
35,0.0029042553595096995
36,0.004290094507365701
37,0.003759906143817099
38,0.0024708764103798
39,0.0006984527737538999
40,0.00019867704836879982
41,0.0012188796661952994
42,0.0016371067894962992
43,0.004995650154304801
44,0.0071381155222719
45,0.0053299505348145
46,0.0036393943316377006
47,0.0020072749693331015
48,0.002970681421899499
49,0.003621431575897201
50,0.0037270631261010993
51,0.0023825505108721994
52,0.005919133419833301
53,0.0078184800859149
54,0.009030743760356001
55,0.010093061620434
56,0.0082595756532182
57,0.0075872008523896
58,0.0064527701012609
59,0.0062029228861811
60,0.005598080115183901
61,0.0047463793758106
62,0.0036084235960487992
63,0.0029628910167317
64,0.0027486455630452
65,0.0035521518905646003
66,0.0035947356996427994
67,0.0025357616737382996
68,0.0034596625727934
69,0.0035334435442942007
70,0.0022901739845769004
71,0.0008958794155563997
72,0.00019982967396100018
73,0.0009720979203298999
74,0.0020487116451616003
75,0.0021385442359832998
76,0.0016257015825629998
77,0.0007697367139956998
78,-0.0015941505128171003
79,-0.0011506070256449
80,-0.0013575977219926999
81,-0.0019589632133302
82,-0.0017844885259195
83,-0.0018671175865426002
84,-0.0020193929533888003
85,-0.0017542689985591
86,-0.0028936257274367006
87,-0.0022297603998351
88,-0.0015646646915209
89,-0.0031530466685247005
90,-0.0014597791891167
91,-0.0018005813675785998
92,-0.0006069933423548
93,-0.00012058039965599982
94,-0.0003686253886507
95,-0.0008147525098449
96,-0.0006672316485795999
97,-9.12453522758e-05
98,0.00033005052063659994
99,0.0
