,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,1670,10524,1,8854,6.301796407185629,15.868491068034968
1,565,1315,4,750,2.327433628318584,42.96577946768061
2,1479,2631,3,1152,1.7789046653144016,56.21436716077537
3,550,5262,2,4712,9.567272727272726,10.452299505891297
4,897,5262,2,4365,5.866220735785953,17.046750285062714
5,275,1316,4,1041,4.785454545454545,20.89665653495441
6,604,2631,3,2027,4.355960264900662,22.957050551121245
7,487,5262,2,4775,10.804928131416839,9.255036107943749
8,974,1315,4,341,1.3501026694045175,74.06844106463878
9,1204,5262,2,4058,4.370431893687708,22.88103382744204
10,2019,10524,1,8505,5.212481426448737,19.18472063854048
11,54,1316,4,1262,24.37037037037037,4.103343465045593
12,1297,10524,1,9227,8.114109483423285,12.324211326491827
13,55,5262,2,5207,95.67272727272727,1.0452299505891296
14,413,5262,2,4849,12.7409200968523,7.848726719878374
15,1944,5262,2,3318,2.70679012345679,36.94412770809578
16,0,5262,2,5262,inf,0.0
17,1090,2631,3,1541,2.413761467889908,41.42911440516914
18,2501,10524,1,8023,4.207916833266693,23.764728240212847
19,660,5262,2,4602,7.972727272727273,12.542759407069557
20,1559,10524,1,8965,6.750481077613855,14.813759026985936
21,957,5262,2,4305,5.498432601880878,18.187001140250857
22,0,5262,2,5262,inf,0.0
23,2440,10524,1,8084,4.31311475409836,23.185100722158875
24,25,1316,4,1291,52.64,1.8996960486322187
25,1214,2631,3,1417,2.1672158154859966,46.14215127328013
26,0,5262,2,5262,inf,0.0
27,0,5262,2,5262,inf,0.0
28,2241,10524,1,8283,4.696117804551539,21.29418472063854
29,879,2631,3,1752,2.993174061433447,33.409350057012546
30,24,5262,2,5238,219.25,0.45610034207525657
31,537,5262,2,4725,9.798882681564246,10.205245153933866
32,2592,10524,1,7932,4.060185185185185,24.629418472063854
33,538,5262,2,4724,9.780669144981413,10.224249334853667
34,2209,21048,0,18839,9.52829334540516,10.495058912960852
35,225,1315,4,1090,5.844444444444444,17.110266159695815
36,902,5262,2,4360,5.8337028824833705,17.141771189661725
37,1198,2631,3,1433,2.196160267111853,45.53401748384645
38,0,5262,2,5262,inf,0.0
39,1095,5262,2,4167,4.8054794520547945,20.80957810718358
40,797,5262,2,4465,6.602258469259724,15.146332193082479
41,296,5262,2,4966,17.777027027027028,5.625237552261497
42,362,1315,4,953,3.632596685082873,27.528517110266158
43,119,5262,2,5143,44.21848739495798,2.2614975294564807
44,1174,10524,1,9350,8.964224872231686,11.155454199923984
45,0,1315,4,1315,inf,0.0
