SRC Query,Depth,BBoxes,Data Size
"[37.62, -120.5, 39.03, -118.99]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[34.6, -119.08, 36.76, -116.51]",1,"[32.541302, -124.389343, 37.009014, -114.294258]",10524
"[38.74, -120.42, 41.33, -118.87]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[33.61, -118.5, 35.17, -117.42]",2,"[32.541302, -119.324493, 37.009014, -116.844749]",5262
"[35.28, -119.8, 36.65, -118.29]",2,"[32.541302, -124.389343, 37.009014, -117.970444]",5262
"[37.62, -122.67, 39.75, -121.06]",2,"[37.009014, -122.727531, 42.017231, -120.673553]",5262
"[32.66, -117.38, 34.19, -114.95]",2,"[32.541302, -117.970444, 37.009014, -114.294258]",5262
"[35.07, -121.99, 37.84, -120.97]",3,"[34.735394, -124.389343, 37.859238, -120.2724]",2631
"[33.92, -123.99, 35.03, -122.68]",4,"[32.541302, -124.389343, 35.551353, -119.04274]",1315
"[37.67, -117.23, 39.42, -115.35]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[32.75, -122.63, 34.22, -121.25]",13,"[32.541302, -124.389343, 34.512501, -120.432167]",2
"[38.52, -118.65, 40.73, -116.28]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[37.84, -118.48, 40.02, -116.51]",4,"[37.808262, -120.781853, 40.125786, -114.294258]",1316
"[36.97, -117.87, 38.05, -116.63]",6,"[36.775406, -118.572319, 39.192303, -114.294258]",329
"[33.99, -117.7, 35.0, -116.68]",2,"[32.541302, -117.970444, 37.009014, -114.294258]",5262
"[37.0, -117.92, 38.61, -115.49]",6,"[36.775406, -118.572319, 39.192303, -114.294258]",329
"[33.46, -118.82, 35.13, -116.86]",2,"[32.541302, -119.324493, 37.009014, -116.844749]",5262
"[34.09, -117.38, 35.99, -116.2]",4,"[34.003124, -117.421806, 37.009014, -116.030167]",1316
"[38.39, -122.2, 39.75, -119.66]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[36.14, -119.24, 38.81, -118.23]",2,"[34.735394, -120.2724, 39.192303, -114.294258]",5262
"[34.91, -117.24, 37.32, -115.09]",2,"[34.735394, -120.2724, 39.192303, -114.294258]",5262
"[37.76, -121.18, 39.89, -119.92]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[38.52, -120.21, 40.21, -118.56]",2,"[37.009014, -121.790939, 42.017231, -114.294258]",5262
"[32.7, -117.5, 33.74, -114.97]",3,"[32.541302, -117.970444, 34.003124, -114.294258]",2631
"[37.58, -123.54, 40.36, -121.34]",1,"[37.009014, -124.389343, 42.017231, -114.294258]",10524
"[38.49, -122.14, 40.79, -120.72]",2,"[37.009014, -122.727531, 42.017231, -120.673553]",5262
"[35.27, -123.06, 36.29, -121.06]",2,"[32.541302, -124.389343, 37.009014, -117.970444]",5262
"[39.09, -120.01, 41.79, -118.43]",4,"[38.773846, -120.90374, 42.017231, -114.294258]",1316
"[34.53, -123.2, 37.28, -120.74]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[34.64, -123.95, 35.86, -121.12]",4,"[34.6339, -124.389343, 36.289566, -119.650307]",1315
"[36.26, -119.14, 38.54, -117.12]",3,"[36.160179, -120.2724, 39.192303, -114.294258]",2631
"[35.14, -118.14, 37.4, -116.53]",2,"[34.735394, -120.2724, 39.192303, -114.294258]",5262
"[38.17, -122.71, 40.69, -120.69]",2,"[37.009014, -122.727531, 42.017231, -120.673553]",5262
"[35.06, -118.34, 37.62, -116.26]",2,"[34.735394, -120.2724, 39.192303, -114.294258]",5262
"[36.73, -118.17, 38.2, -115.95]",4,"[36.160179, -119.067078, 39.192303, -114.294258]",1316
"[36.91, -120.0, 39.2, -118.03]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[33.87, -118.72, 35.0, -116.05]",1,"[32.541302, -124.389343, 37.009014, -114.294258]",10524
"[36.67, -119.07, 37.7, -118.01]",3,"[36.160179, -120.2724, 39.192303, -114.294258]",2631
"[36.55, -121.4, 37.61, -118.6]",1,"[34.735394, -124.389343, 39.192303, -114.294258]",10524
"[32.66, -117.63, 35.29, -116.12]",2,"[32.541302, -117.970444, 37.009014, -114.294258]",5262
"[32.74, -122.31, 34.23, -119.62]",5,"[32.541302, -124.389343, 34.877285, -119.04274]",657
"[36.98, -120.77, 39.62, -119.56]",0,"[32.541302, -124.389343, 42.017231, -114.294258]",21048
"[34.51, -119.6, 36.56, -116.93]",1,"[32.541302, -124.389343, 37.009014, -114.294258]",10524
"[32.77, -122.01, 34.37, -119.2]",5,"[32.541302, -124.389343, 34.877285, -119.04274]",657
"[39.03, -117.84, 40.14, -115.54]",6,"[38.773846, -120.430931, 40.213436, -114.294258]",329
"[34.94, -118.31, 37.31, -115.91]",2,"[34.735394, -120.2724, 39.192303, -114.294258]",5262
"[34.95, -117.54, 37.25, -116.19]",2,"[34.735394, -120.2724, 39.192303, -114.294258]",5262
