SRC Query,Depth,BBoxes,Data Size
"[11.18050416501451, 26.24896422795652, 13.020927414796937, 27.576525001182986]",4,"[8, 24, 16, 31]",64
"[17.772680216189087, 1.5091050965799924, 19.224187237441004, 3.4890161029856746]",6,"[16, 0, 20, 4]",16
"[7.580976259918466, 7.725608078398172, 9.563077167171429, 10.599863475986579]",4,"[4, 4, 11, 11]",64
"[20.519776598643897, 24.708749389343524, 23.554110110390408, 26.01947553196244]",6,"[20, 24, 24, 28]",16
"[18.043695588020178, 12.069207019404187, 20.002970206147413, 13.969646508622674]",6,"[18, 12, 21, 16]",16
"[26.56893108670635, 17.059372483594977, 29.19421899921629, 18.562737132607516]",4,"[24, 16, 31, 24]",64
"[2.071862135578843, 9.74340245150888, 5.10932416099824, 12.035663405904243]",4,"[0, 8, 8, 16]",64
"[26.23276610104322, 8.037473393114483, 27.64811137530375, 9.246999246271432]",8,"[26, 8, 28, 10]",4
"[25.356898157424176, 4.343819959658407, 26.93846853734941, 6.942730463562126]",6,"[24, 4, 28, 8]",16
"[1.0102363639751433, 19.499352747543696, 4.106567003505908, 22.065620115451196]",4,"[0, 16, 8, 24]",64
"[5.821328663855439, 6.375010528506807, 8.087843133429924, 9.329481548881725]",4,"[4, 4, 11, 11]",64
"[13.811075817658136, 22.188867179669707, 15.00922630703866, 23.316399469739736]",6,"[12, 20, 16, 24]",16
"[0.24216750756555414, 1.845398275730994, 2.607604155653359, 4.459779318130925]",5,"[0, 0, 4, 8]",32
"[18.492346338022706, 4.474846407172027, 19.53823371051318, 6.722541168352364]",7,"[18, 4, 20, 8]",8
"[11.544258097924484, 13.81236442393517, 14.486064214663, 15.124324658510208]",4,"[8, 8, 16, 16]",64
"[5.31670576035997, 6.616496648736657, 7.691987944609761, 9.186454743452323]",5,"[4, 4, 8, 11]",32
"[1.067875777318185, 25.546311246934884, 2.7013077292426435, 26.64761227926186]",6,"[0, 24, 4, 28]",16
"[7.525292515312786, 10.382628450169562, 8.555190836440255, 11.420804179330883]",6,"[6, 8, 9, 12]",16
"[14.77867910816983, 19.427389936587062, 16.191390607133194, 20.79718266700802]",6,"[14, 18, 17, 21]",16
"[18.245153311485865, 1.2228788502181631, 19.732223144845634, 3.8078645790621906]",7,"[18, 0, 20, 4]",8
"[24.66513220549503, 14.554727785186635, 26.516210690126872, 17.149227444898056]",5,"[24, 12, 28, 19]",32
"[14.986299208993396, 6.777401500732773, 16.05918365268664, 9.82617934047762]",5,"[14, 4, 17, 11]",32
"[12.124952552809281, 9.221913681071237, 13.888856295294444, 11.157093435677101]",7,"[12, 8, 14, 12]",8
"[27.235970712921805, 20.63594317773195, 28.619794776198823, 21.758758240679516]",6,"[26, 20, 29, 24]",16
"[13.699494012403939, 9.101197922246088, 15.02541848482004, 10.382384262667596]",6,"[12, 8, 16, 12]",16
"[5.481416573694234, 2.4442870925442555, 6.51591441719266, 4.567199762277857]",6,"[4, 2, 8, 5]",16
"[7.22465274012341, 3.106729409383744, 9.335115268849943, 4.207309488810976]",4,"[4, 0, 11, 8]",64
"[23.198513575342727, 7.805991522752206, 25.52038138461623, 9.162788493056205]",4,"[20, 4, 27, 11]",64
"[8.112275014768928, 21.71253622489651, 9.208847498498239, 23.24503402113112]",7,"[8, 20, 10, 24]",8
"[8.347958654373041, 3.4858697214979593, 11.298025392037491, 5.64537915122327]",5,"[8, 0, 12, 8]",32
"[14.037427799367824, 17.053777515286786, 16.960081318122292, 19.8037101336808]",6,"[14, 16, 17, 20]",16
"[1.8227253625004833, 0.9043677152603267, 4.855141444241765, 3.958705724398061]",4,"[0, 0, 8, 8]",64
"[10.642207396363554, 13.453589678532863, 13.100144661976504, 15.4768733585223]",4,"[8, 8, 16, 16]",64
"[18.051297445099717, 17.474948723675855, 20.55735010354524, 19.67752543448496]",6,"[18, 16, 21, 20]",16
"[24.656777861816646, 0.31708153887426205, 26.875590294463855, 3.3848412086872175]",6,"[24, 0, 28, 4]",16
"[17.558821887017444, 7.594424422524309, 19.55661105949243, 9.62886128576277]",5,"[16, 4, 20, 11]",32
"[14.844246373188598, 7.929226648038223, 17.151787920186738, 10.909161390743863]",4,"[12, 4, 19, 11]",64
"[12.405411998361991, 2.071118990962767, 13.682859149607241, 3.4373268561082213]",8,"[12, 2, 14, 4]",4
"[21.555091358419855, 21.73577252938146, 23.009506806247103, 24.32994585364296]",5,"[20, 20, 24, 27]",32
"[8.4414845814965, 1.915230797722887, 10.612468707199305, 4.664813302403788]",5,"[8, 0, 12, 8]",32
"[3.5927782847619185, 19.902152836766813, 6.335096288086056, 22.080623211992233]",4,"[0, 16, 8, 24]",64
"[12.26843023025259, 17.157047338252443, 15.033446761732808, 18.94020300988028]",6,"[12, 16, 16, 20]",16
"[13.052507189388477, 17.7268058517927, 14.925362447082636, 19.80240201064484]",6,"[12, 16, 16, 20]",16
