,L2 Norm
0,-0.03708134416443809
1,0.01529695201574921
2,0.012219600177938696
3,0.04025216515973069
4,0.016506057275090302
5,0.0036169482896091995
6,-0.004366655448433
7,-0.002543503693938895
8,0.006749864103481398
9,0.013939186228096197
10,0.014110486608411701
11,0.0090383798154096
12,0.0105223769533654
13,0.012115462654135198
14,0.0090444892952861
15,0.004054130317991501
16,0.0036865190935381
17,0.0025208313552486997
18,0.0014930851618931984
19,0.0007385430831329011
20,0.001720244541112699
21,-0.0006364140175091973
22,-0.0058028242576730026
23,-0.006336417507227299
24,-0.0040858931361570025
25,-0.006193101556481501
26,-0.0026441136532453016
27,-0.004161168061762598
28,-0.0009608448478245005
29,-0.0006368239470483025
30,-0.004799414206636401
31,-0.0028345341167577004
32,-0.0006355608089975984
33,-0.0033043250222902984
34,0.00036322528766309994
35,-0.0013603645873555992
36,-0.0026674204385714988
37,-0.0032632792197743003
38,-0.0048399579248626
39,-0.005579385658919101
40,-0.0059408133621055
41,-0.0076026548100948
42,-0.006568856870696801
43,-0.004337011407608201
44,-0.0059562183790558
45,-0.0033232713237119
46,-0.0040820064203804
47,-0.0071862773309561995
48,-0.006699282239681498
49,-0.0081246833189054
50,-0.0073227561036384985
51,-0.0078215280739178
52,-0.0082697247271711
53,-0.0093591121852014
54,-0.010574700942438
55,-0.0098581466259853
56,-0.0083319145056585
57,-0.0091343114569798
58,-0.0079407048114378
59,-0.008191278703059
60,-0.0087094313853094
61,-0.007950154937975198
62,-0.0067138636127203
63,-0.005993028004682899
64,-0.0058772738443981995
65,-0.005632004270302601
66,-0.0053356106880292
67,-0.0054656310416391005
68,-0.004636628316787401
69,-0.0035830830070168003
70,-0.0037440052066023003
71,-0.0032152604087172998
72,-0.0025229692621606004
73,-0.0024102967382750003
74,-0.0026351209053249005
75,-0.003124537783337201
76,-0.0027033101886811
77,-0.0027398521541429997
78,-0.0039674058031789
79,-0.0037771773085487005
80,-0.0027918008037429
81,-0.0026924507794712
82,-0.0019187878146316
83,-0.0017740339934305994
84,0.0006662355190977997
85,-0.0003330857372169996
86,-0.0006115532826824
87,0.0013413096915703996
88,0.0010319580051093
89,0.0008734612526076998
90,0.0009004156484658998
91,0.0009715459593982998
92,0.0011671744660995001
93,0.0019850923770046
94,0.0012380723430605
95,0.0014942501132014
96,0.0010694320554405
97,0.001056502669186
98,-0.00019661581291299996
99,0.0
